predictor,predictor_column,lag_cycles,n,route_centered_spearman,route_mean_spearman,route_min_spearman,route_max_spearman,pooled_rare_auc,route_mean_rare_auc,route_min_rare_auc,circular_shift_p,null_q025,null_q975
loop activation,loop_z,1,145,0.2249370177924736,0.3516256157635468,-0.7714285714285711,0.8320197044334974,0.7501616031027797,0.7621014492753624,0.15217391304347827,0.3168415792103948,-0.3890371595024405,0.4149200913242007
loop activation,loop_z,2,140,0.8262797664603881,0.748768472906404,0.6278051450465244,0.8374384236453202,0.9394277220364177,0.9301795125164689,0.8260869565217391,0.0004997501249375312,-0.48223513590343536,0.4968711596072686
loop activation,loop_z,3,135,0.1046044288362111,0.21636141636141634,-0.8308913308913308,0.7289377289377289,0.643913043478261,0.6966089466089466,0.126984126984127,0.6861569215392304,-0.4081506682274901,0.42040593600624326
loop activation,loop_z,4,130,0.7196192765161342,0.5748376068376069,0.10085470085470086,0.8099145299145298,0.8000992063492064,0.8217287784679088,0.6285714285714286,0.0004997501249375312,-0.4628580207294924,0.4968547979625557
loop activation,loop_z,5,125,0.017364055299539168,0.14753846153846156,-0.6861538461538461,0.7223076923076923,0.5321212121212121,0.581939393939394,0.19999999999999998,0.9410294852573713,-0.4053714285714285,0.40430015360983096
loop activation,loop_z,6,120,0.6183346065699007,0.4906086956521739,-0.1226086956521739,0.7426086956521739,0.7541337167505393,0.7738402329935512,0.5652173913043479,0.0004997501249375312,-0.4526203208556149,0.4695419820820889
loop activation,loop_z,7,115,-0.07807938136195061,0.033992094861660035,-0.6442687747035574,0.7440711462450592,0.5469255663430421,0.5857911825017088,0.22368421052631582,0.7501249375312344,-0.39629764065335754,0.3920567347904987
loop activation,loop_z,8,110,0.5556657575006199,0.4470920383963863,-0.21626199887069456,0.8260869565217391,0.7493112947658402,0.8298902894491129,0.6388888888888888,0.0014992503748125937,-0.42347834907467935,0.43205464012803413
top-5% tail,tail_z,0,150,-0.370212009422641,-0.2339043381535039,-0.6480533926585095,0.7098998887652946,0.22166666666666665,0.22638888888888883,0.0,0.09195402298850575,-0.39595999822214323,0.4042315658473708
top-5% tail,tail_z,1,145,0.17801527318532515,0.11901477832512311,-0.3433497536945812,0.8073891625615762,0.3736263736263736,0.3595652173913043,0.0,0.39480259870064965,-0.3543069004881121,0.35201533223114456
top-5% tail,tail_z,2,140,-0.35187946906912165,-0.2206896551724138,-0.6042692939244664,0.8188286808976464,0.24860646599777034,0.23303689064558633,0.0,0.2158920539730135,-0.47207397607749674,0.43553683496971385
top-5% tail,tail_z,3,135,0.21929567847039316,0.1554334554334554,-0.26190476190476186,0.76007326007326,0.44347826086956527,0.3594083694083694,0.0,0.2673663168415792,-0.34010035606282324,0.3624340308262609
top-5% tail,tail_z,4,130,-0.35420120444086356,-0.22023931623931622,-0.6423931623931624,0.7565811965811965,0.3561507936507936,0.30371118012422355,0.0,0.1774112943528236,-0.4502404784989553,0.43279042455857636
