regime_id,bootstrap,slope_loop_to_overload
R1,127,-1.658260917982047
R1,128,-2.2924416084323256
R1,129,4.228263791926944
R1,130,-5.146508658907558
R1,131,-2.0292897059362835
R1,132,-0.7442616817676697
R1,133,-2.8751837159594698
R1,134,-5.317358547094807
R1,135,-2.1327921264120167
R1,136,-2.605975667496339
R1,137,-3.2829026658479807
R1,138,4.337240408586185
R1,139,4.8377855688614915
R1,140,-1.2901782747431092
R1,141,-0.3779701879880796
R1,142,-1.0874432372862604
R1,143,-6.123269163688153
R1,144,-1.3584322438511682
R1,145,-2.730108143343272
R1,146,-7.307254927035296
R1,147,-3.1262922464262046
R1,148,-2.2252428486302565
R1,149,-3.6963461345926825
R1,150,5.954068412092631
R1,151,-3.6314136804821886
R1,152,5.196070381075602
R1,153,4.047582375346729
R1,154,-2.668269829721184
R1,155,-0.7900056157392372
R1,156,4.167668206883279
R1,157,-4.961363788495193
R1,158,4.027547098904203
R1,159,4.27035554907377
R1,160,-1.5691724094816204
R1,161,4.427085439574311
R1,162,5.5391226084115495
R1,163,4.062250979397073
R1,164,-5.619400257984401
R1,165,-4.207426816650486
R1,166,-1.6030141711203263
R1,167,5.509312700373016
R1,168,0.03243344961802383
R1,169,4.851699626016098
R1,170,-0.7258928503598023
R1,171,-0.7252883392216614
R1,172,5.108160770486719
R1,173,-2.664400301420858
R1,174,-0.29925583185644816
R1,175,-2.5841216332226247
R1,176,-3.53320633600034
R1,177,-2.8560762854846415
R1,178,7.368838191065112
R1,179,-2.2453778783036595
R1,180,3.9860603159825954
R1,181,-1.1551790971854208
R1,182,6.279998971602605
R1,183,-1.5781652670276323
R1,184,5.90521989027508
R1,185,-4.879196600130372
R1,186,-5.4907570131952745
R1,187,-0.5944037573099469
R1,188,-5.013192070496904
R1,189,-8.427363817450493
R1,190,-4.7083653072569005
R1,191,4.642082142643004
R1,192,-1.5102580963140801
R1,193,-0.38383947676560765
R1,194,-6.059843963970876
R1,195,-1.6634980524072873
R1,196,5.719504226989147
R1,197,5.273974028966666
R1,198,-6.792068450740189
R1,199,-2.2427757395740775
R1,200,5.0447528284787895
R1,201,4.014712252860904
R1,202,-1.6234919557209448
R1,203,4.992883056029843
R1,204,3.7214286708317297
R1,205,5.240933310957356
R1,206,-2.5553145127751433
R1,207,-0.4981596448424043
R1,208,3.8690998694785463
R1,209,-0.8129265330293849
R1,210,4.512130497285219
R1,211,-4.007262019241958
R1,212,-1.7999935332001267
R1,213,-1.410388975608166
R1,214,-2.6762642441398237
R1,215,3.8803744927503288
R1,216,3.878847369260835
R1,217,4.7023309185109925
R1,218,-2.2119052261706664
R1,219,-4.220880298460524
R1,220,-7.673422205520204
R1,221,-3.5058441364963513
R1,222,4.933794941500506
R1,223,5.229280560153792
R1,224,-0.9961568508457498
R1,225,4.505487530587318
R1,226,-0.8546119642570851
R1,227,6.198536087290329
R1,228,4.323602167674723
R1,229,-1.9939709485423134
R1,230,5.6641931637660985
R1,231,3.874444358154455
R1,232,-2.219615718966256
R1,233,3.7573420549836025
R1,234,3.6723156789369273
R1,235,4.382771180136464
R1,236,-5.600162276217367
R1,237,-0.8105329389996777
R1,238,-4.084984125468291
R1,239,-6.381034863598628
R1,240,-0.18401157938500334
R1,241,-4.811716724760922
R1,242,-1.8682086617283604
R1,243,-0.8159644547410152
R1,244,-4.129542672545344
R1,245,-0.10375510909468695
R1,246,-2.7338040492885938
R1,247,4.890447040886633
R1,248,0.2933121485664788
R1,249,-1.0350933493221177
R1,250,-6.703858320654598
R1,251,-4.917951720938948
R1,252,-2.919487089584214
R1,253,6.07282488205064
R1,254,-2.6179125603283424
R1,255,5.690051785335759
R1,256,-3.2944623784979403
R1,257,-1.4086571154935075
R1,258,-2.949342277285989
R1,259,-3.052458686501178
R1,260,3.7040577757191766
R1,261,4.360719493684038
R1,262,4.519495305967727
R1,263,-3.315332663793146
R1,264,5.318527960429093
R1,265,-3.835798957912695
R1,266,-9.135959210011894
R1,267,-3.631053556305398
R1,268,4.388899192387088
R1,269,4.482725079750718
R1,270,-1.3368013570399335
R1,271,-0.436267860202216
R1,272,3.961842352998706
R1,273,5.384323444175182
R1,274,5.0108149818918575
R1,275,-2.516264074835531
R1,276,3.8777011512547936
R1,277,-0.4524635342134429
R1,278,-1.3910416067486537
R1,279,4.524717825864356
R1,280,-1.1213460122617473
R1,281,-4.055244274696926
R1,282,-1.353814075156094
R1,283,4.658378848839731
R1,284,4.182808502179823
R1,285,4.698045156587952
R1,286,0.029517697490300275
R1,287,-4.147653058225505
R1,288,-5.538246207613741
R1,289,-4.349182491494216
R1,290,-3.2163515508177793
R1,291,4.644879311236121
R1,292,3.449110703901051
R1,293,5.451522239427771
R1,294,-0.34513513403640406
R1,295,4.008681196110153
R1,296,4.252830999629474
R1,297,-5.315277587913123
R1,298,-6.415789127991361
R1,299,-2.2725604933973296
R1,300,-3.132173921711068
R1,301,4.558782934295075
R1,302,4.693479075163686
R1,303,-2.6540586673768427
R1,304,-2.3837621759878296
R1,305,4.924225177748956
R1,306,4.066826455193658
R1,307,3.785890335345377
R1,308,-2.223704724475442
R1,309,-2.956332731536419
R1,310,4.648200540051924
R1,311,4.2039960407428865
R1,312,-4.413275970884177
R1,313,-2.88343185966493
R1,314,5.8865817902200614
R1,315,4.05994844790289
R1,316,5.127120507560635
R1,317,-7.954041057484135
R1,318,-4.939376642330962
R1,319,-1.6877317808505798
R1,320,-5.390965883570779
R1,321,-0.512497366021156
R1,322,4.915242985259197
R1,323,-8.18722058250392
R1,324,-1.1425527100551522
R1,325,8.108041999965309
R1,326,-5.3913456014223815
R1,327,3.6684109805369753
R1,328,-5.781841388934237
R1,329,3.8593291907920007
R1,330,-3.065375899913072
R1,331,-2.2816788061533146
R1,332,-5.586252523272314
R1,333,-4.696346941175632
R1,334,-0.9424513609526801
R1,335,4.9423849338682695
R1,336,-1.8094038716549992
R1,337,-5.803317888221593
R1,338,-0.8417821111351328
R1,339,0.19909733485696277
R1,340,-1.5001580237190995
R1,341,-3.09011257960259
R1,342,-3.1688153722474457
R1,343,-0.294945977978238
R1,344,-3.0548570417405614
R1,345,5.754234044581391
R1,346,-6.571210732029133
R1,347,4.588685203511015
R1,348,-1.3866625085614437
R1,349,-5.6569193348731766
R1,350,-2.441977455144846
R1,351,4.000643248510846
R1,352,-1.9039563799274062
R1,353,-2.1364003928195583
R1,354,-0.08879325332962835
R1,355,-5.312630464900832
R1,356,4.028202618200789
R1,357,-5.795626691562795
R1,358,4.1910176627384
R1,359,4.652860745038952
R1,360,-2.9008909860545633
R1,361,-1.4862915337857912
R1,362,-7.852356073511399
R1,363,-4.058589200601993
R1,364,0.03167133018414954
R1,365,-0.6237561837646416
R1,366,-0.6638411270845249
R1,367,-0.5237481130141581
R1,368,-4.78955298000526
R1,369,-2.1641453789329748
R1,370,-3.1278675175767963
R1,371,5.160396323113488
R1,372,6.180795773345933
R1,373,-4.93382050313304
R1,374,-2.8219350154947764
R1,375,7.382659129662309
R1,376,-4.479118160632898
R1,377,-1.5544887880795997
R1,378,-4.06960760669759
R1,379,-1.608243618190654
R1,380,-0.9980646347929459
R1,381,0.19917487910778361
R1,382,4.324799535545839
R1,383,-3.668498400612835
R1,384,-6.610726976152194
R1,385,3.417563524246705
R1,386,3.369389904520721
R1,387,-1.439980338443624
R1,388,-3.026493194607171
R1,389,-3.4300528926955236
R1,390,4.343902000814744
R1,391,-4.565438169629815
R1,392,-5.226396690540694
R1,393,-3.4873271215852824
R1,394,-5.6579348508419685
R1,395,-2.6738416931563265
R1,396,5.622827527117291
R1,397,-2.976951507965126
R1,398,-6.211358534173303
R1,399,4.409613551463849
R1,400,4.877442391389242
R1,401,-3.8173082068955733
R1,402,-1.797890056597085
R1,403,-3.5230809575211035
R1,404,-5.539603172498258
R1,405,-0.7610797815230618
R1,406,-4.069394331897889
