bootstrap,feature,standardized_coefficient
15,S,-0.17660418776917128
15,L,0.28420124037189587
15,SxL,0.6753898579144129
15,T,-0.07093336961097638
15,SxT,0.05265039733029057
16,S,-0.3334886790319664
16,L,0.12085947480552339
16,SxL,0.727239888367411
16,T,-0.29047173113679225
16,SxT,0.1614409860491775
17,S,-0.24049960905305742
17,L,0.2536056999658862
17,SxL,0.7734899111643547
17,T,-0.12916319035631968
17,SxT,0.13139413173880854
18,S,-0.32960061785922373
18,L,0.19039148538796102
18,SxL,0.7865755217906002
18,T,-0.24641899827930094
18,SxT,0.19139084239190673
19,S,-0.35395303993006544
19,L,0.13894221440486354
19,SxL,0.7714856015383296
19,T,-0.32083376400235697
19,SxT,0.18338171496089253
20,S,-0.10555068757881661
20,L,0.274160606097145
20,SxL,0.5858548159055474
20,T,-0.0498171692713354
20,SxT,0.06909921260232921
21,S,-0.20580049116934523
21,L,0.274026224053603
21,SxL,0.6766249504637024
21,T,-0.13115554366520013
21,SxT,0.13019648112137477
22,S,-0.22262630871107586
22,L,0.22797101672033926
22,SxL,0.7312424472555823
22,T,-0.12816690067079234
22,SxT,0.06862457056404178
23,S,-0.10434320084035154
23,L,0.2659354020271236
23,SxL,0.5931201639467027
23,T,-0.2076022704171545
23,SxT,0.006601968676419203
24,S,-0.19343764244243342
24,L,0.24407579090855747
24,SxL,0.6287381466702013
24,T,-0.13920957248672777
24,SxT,0.08245990053599535
25,S,-0.12342394766888458
25,L,0.25889175087741134
25,SxL,0.535098441501787
25,T,-0.10494498076341056
25,SxT,0.056093864240743425
26,S,-0.15545942894580977
26,L,0.3030619248442227
26,SxL,0.6283258364192195
26,T,-0.10583185768529677
26,SxT,0.04691739755678666
27,S,-0.3427110540151829
27,L,0.18394469413559322
27,SxL,0.7444674866315498
27,T,-0.22709736555654428
27,SxT,0.13661725054426707
28,S,-0.20217512779235555
28,L,0.24727197982746396
28,SxL,0.542010229192199
28,T,-0.19844844719167132
28,SxT,0.023069768004404117
29,S,-0.25325869927206873
29,L,0.16645362988275458
29,SxL,0.7550872022857952
29,T,-0.2624792042883888
29,SxT,0.1253790502788311
30,S,-0.29410579430545836
30,L,0.3385289052517034
30,SxL,0.584095153700354
30,T,-0.15360460635854237
30,SxT,0.11908238039094242
31,S,0.0032941162189682087
31,L,0.31899434812886013
31,SxL,0.46882568375815925
31,T,0.00511961883957731
31,SxT,-0.0067228147581558295
32,S,-0.16091901140740822
32,L,0.23806449172125
32,SxL,0.6761517566272575
32,T,-0.07770319155708263
32,SxT,0.07948239948622246
33,S,-0.059823659319980134
33,L,0.36969283159985966
33,SxL,0.6416618947196602
33,T,-0.010616713133693053
33,SxT,-0.02077872047093036
34,S,-0.4031680639783946
34,L,0.18986074319841206
34,SxL,0.7504453869737272
34,T,-0.26215024747921534
34,SxT,0.21072429012244656
35,S,-0.04037674674239233
35,L,0.2657288349817286
35,SxL,0.5562518860078758
35,T,-0.061780697137385335
35,SxT,0.021351286722319947
36,S,-0.34071992751197905
36,L,0.16831719869603545
36,SxL,0.735042666020442
36,T,-0.2267371955868073
36,SxT,0.14071825930767545
37,S,-0.11341573402493944
37,L,0.22243795234561092
37,SxL,0.5548704783398102
37,T,-0.11649100507551272
37,SxT,0.08661977590609
38,S,-0.07205909887418241
38,L,0.17138503978415243
38,SxL,0.7099229104730717
38,T,-0.1034206148113405
38,SxT,0.056710251575627466
39,S,-0.2562166813452563
39,L,0.17025882618275356
39,SxL,0.7032324779356245
39,T,-0.19669909581766548
39,SxT,0.1274200499598237
40,S,-0.30630746731289465
40,L,0.2790561778413604
40,SxL,0.7492894031981945
40,T,-0.18254388801040655
40,SxT,0.12777899088471184
41,S,-0.0848176345554695
41,L,0.19496741431739456
41,SxL,0.4855051129238805
41,T,-0.09059098293648968
41,SxT,0.07564895983619555
42,S,-0.02138326817280209
42,L,0.32840941525718204
42,SxL,0.518183008555005
42,T,0.03094324538290295
42,SxT,-0.013615950760432862
43,S,-0.23107815000321363
43,L,0.32951080862780935
43,SxL,0.6356201044169415
43,T,-0.16836421477760152
43,SxT,0.04963166163869275
44,S,-0.29484415579775164
44,L,0.1693496028891197
44,SxL,0.7278123661201411
44,T,-0.18412909747667117
44,SxT,0.11407364722573633
45,S,-0.10074730109019303
45,L,0.2730541680133318
45,SxL,0.6036679460784635
45,T,-0.0856870443187852
45,SxT,0.018042677441091316
46,S,-0.2973978010850626
46,L,0.24527815041088818
46,SxL,0.6265324485626463
46,T,-0.24701250525787183
46,SxT,0.16488143186663592
47,S,-0.1769126386930756
47,L,0.22322341905783294
47,SxL,0.7036619993585586
47,T,-0.16725745372770473
47,SxT,0.07231183523227855
48,S,-0.35872919260564184
48,L,0.2720770066004554
48,SxL,0.7548127312270109
48,T,-0.2859029333674068
48,SxT,0.17399787455543303
49,S,-0.24254531939747254
49,L,0.22746229695736508
49,SxL,0.6312804753030443
49,T,-0.16785003616383787
49,SxT,0.1391602447218344
50,S,-0.3741333616241105
50,L,0.22924823098910185
50,SxL,0.8405961173598184
50,T,-0.21519488560037964
50,SxT,0.15898852022203563
51,S,-0.2297723968706802
51,L,0.2442407457916953
51,SxL,0.6057726364635719
51,T,-0.17396785676290713
51,SxT,0.106327360582786
52,S,-0.1884160576129326
52,L,0.23969419380610524
52,SxL,0.6679056586188696
52,T,-0.08117293590112967
52,SxT,0.10141664097337022
53,S,-0.12788340853791405
53,L,0.3141357356614777
53,SxL,0.5529102648163312
53,T,-0.06296971762754835
53,SxT,0.05556194852741293
54,S,-0.18163471537993675
54,L,0.30539397942185487
54,SxL,0.6112692862243775
54,T,-0.09423079835573504
54,SxT,0.08816409017752626
55,S,-0.41390433915199554
55,L,0.29713915770697863
55,SxL,0.7236735749196419
55,T,-0.3100880961704125
55,SxT,0.16072301423946506
56,S,-0.31995333809568055
56,L,0.21780233611718158
56,SxL,0.6658164650617694
56,T,-0.22955119985084382
56,SxT,0.15088070162150324
57,S,-0.19324611045835424
57,L,0.17992858128665268
57,SxL,0.7671867545538336
57,T,-0.18052312343910357
57,SxT,0.10442425785427571
58,S,-0.29745733607188934
58,L,0.2713365865707845
58,SxL,0.7881208750596241
58,T,-0.16727600534497036
58,SxT,0.09496366263885656
59,S,-0.2508922652860709
59,L,0.23215395785389492
59,SxL,0.6086654112377516
59,T,-0.14329359438566633
59,SxT,0.12699924059855586
60,S,-0.07958256921222662
60,L,0.346687101086872
60,SxL,0.48768000537365214
60,T,-0.03966842787217702
60,SxT,-0.0015835410169293968
61,S,-0.3094507979097101
61,L,0.2057718102253322
61,SxL,0.7290216101771286
61,T,-0.2861552862670081
61,SxT,0.15566758595587238
62,S,-0.29321798709289226
62,L,0.16699251474310206
62,SxL,0.6857368766818128
62,T,-0.2672251274302098
62,SxT,0.1627448738186207
63,S,-0.08375037038415653
63,L,0.32077544895880383
63,SxL,0.6414700558650464
63,T,-0.057352125061040246
63,SxT,0.016863922415412624
64,S,-0.23078488574284664
64,L,0.26130677868232655
64,SxL,0.6579752408916747
64,T,-0.12327329791575233
64,SxT,0.07819629750861509
65,S,-0.252214974024817
65,L,0.2763301964119981
65,SxL,0.738300631768095
65,T,-0.12824800633572808
65,SxT,0.09210679134882374
66,S,-0.3628656949599227
66,L,0.2065153405416027
66,SxL,0.6952567583453909
66,T,-0.25834037290141065
66,SxT,0.1545295643373959
67,S,-0.17823291729449806
67,L,0.2831065461392166
67,SxL,0.679271629256478
67,T,-0.10880414003525965
67,SxT,0.06705269471428925
68,S,-0.18676264576677365
68,L,0.214481545099812
68,SxL,0.5818981511132758
68,T,-0.17401077331493717
68,SxT,0.11197763412788213
69,S,-0.16089472812238503
69,L,0.19478118928482324
69,SxL,0.647158014130216
69,T,-0.10571048001848563
69,SxT,0.1035068426557227
70,S,-0.23691770111403584
70,L,0.21481306546111467
70,SxL,0.7258393413574198
70,T,-0.1758388662835269
70,SxT,0.10625161681098712
71,S,-0.2260360350932082
71,L,0.11622804648641616
71,SxL,0.7192216968455531
71,T,-0.12851888959302638
71,SxT,0.14764661773730353
72,S,-0.2040866952582786
72,L,0.1400583329998033
72,SxL,0.746026390193533
72,T,-0.20021834620853507
72,SxT,0.09117743607777742
73,S,-0.0996258666766286
73,L,0.317884291391492
73,SxL,0.6494706484800926
73,T,-0.09637506530531124
73,SxT,0.022668944386749598
74,S,-0.3752724375660866
74,L,0.2311379188543654
74,SxL,0.7944184764466314
74,T,-0.21492366569932544
74,SxT,0.20678337044865858
75,S,-0.1215475068425485
75,L,0.2535072214512567
75,SxL,0.5227221121577964
75,T,-0.17059181286587272
75,SxT,0.07599330556609969
76,S,-0.12062212610208399
76,L,0.30970621871762627
76,SxL,0.5381325309363619
76,T,-0.10861027115088308
76,SxT,0.025952469256251318
77,S,-0.21719774187864152
77,L,0.25293160205658527
77,SxL,0.7109591383740007
77,T,-0.15829774395223115
77,SxT,0.12246380475105056
78,S,-0.30743885558123724
78,L,0.16225644496335134
78,SxL,0.7892753118242392
78,T,-0.18274701126868806
78,SxT,0.158804114916965
79,S,0.10179845662920088
79,L,0.3574105166790526
79,SxL,0.42555802595455483
79,T,-0.07799275689752798
79,SxT,-0.10226012850557761
80,S,-0.011103161824868396
80,L,0.2661925827288376
80,SxL,0.5717812345399639
80,T,-0.08191680607895847
80,SxT,0.0007557333342307266
81,S,-0.2645016949386596
81,L,0.21744904644315077
81,SxL,0.6145564225308371
81,T,-0.2635558267718279
81,SxT,0.1385103168183344
82,S,-0.318066593914447
82,L,0.2681491101556531
82,SxL,0.6578821839706601
82,T,-0.18771371086239366
82,SxT,0.13001834840201879
83,S,-0.2775167257220096
83,L,0.1606486398688597
83,SxL,0.8421324125419005
83,T,-0.18727195278983513
83,SxT,0.15322196204274924
84,S,-0.3161771856352804
84,L,0.21659504524378304
84,SxL,0.7745684196789034
84,T,-0.22475249554932314
84,SxT,0.1275110138681292
85,S,-0.2089444564383678
85,L,0.18297504015569255
85,SxL,0.679757245159836
85,T,-0.2075662978324938
85,SxT,0.0730929573165926
86,S,-0.19375853463473294
86,L,0.24857492218641342
86,SxL,0.7364210877881651
86,T,-0.15264755551947803
86,SxT,0.06354445965950527
87,S,-0.24029156477661326
87,L,0.27231710175894797
87,SxL,0.7481886217156807
87,T,-0.19894673448526903
87,SxT,0.11475250020709832
88,S,-0.12242548264842278
88,L,0.21190544679368506
88,SxL,0.6920452864073254
88,T,-0.10358163452401017
88,SxT,0.056464098306404246
89,S,-0.17922866836149443
89,L,0.3152991596118664
89,SxL,0.644180221349225
89,T,-0.11862987807493351
89,SxT,0.054649064105656384
90,S,-0.3711410067544913
90,L,0.14675242851506887
90,SxL,0.7246441552384678
90,T,-0.23354584302800085
90,SxT,0.20021606898260866
91,S,-0.25671792982606895
91,L,0.21258470690010722
91,SxL,0.7142902845716346
91,T,-0.15294261804842196
91,SxT,0.11883327585955068
92,S,-0.1624693319657383
92,L,0.3872133973715668
92,SxL,0.6481846075367372
92,T,-0.07065336914855495
92,SxT,0.0385828952983612
93,S,-0.346524638861055
93,L,0.05819310860599769
93,SxL,0.7782939875965618
93,T,-0.3190956954921549
93,SxT,0.19082553069829697
94,S,-0.37425492720678827
94,L,0.07874296306674922
94,SxL,0.8673243372603482
94,T,-0.317073149460016
94,SxT,0.2514552965956191
95,S,-0.26783697116658384
95,L,0.18572442873100936
95,SxL,0.7514646488492271
95,T,-0.18746144247917804
95,SxT,0.131250337873338
96,S,-0.2852541114249525
96,L,0.23590895029617442
96,SxL,0.6585290105395916
96,T,-0.2400125291326506
96,SxT,0.11317470056787694
97,S,-0.11235016864644735
97,L,0.25705183045415814
97,SxL,0.6360557264369469
97,T,-0.01446797967816693
97,SxT,0.04826436517635663
98,S,-0.1989751372848882
98,L,0.26489809781669715
98,SxL,0.591700923076996
98,T,-0.19814923662675635
98,SxT,0.05522236253191991
99,S,-0.2763370499479284
99,L,0.1995029579864105
99,SxL,0.7315767766961695
99,T,-0.19504063769666263
99,SxT,0.1325043117347315
100,S,-0.0321656015764471
100,L,0.26777375984037594
100,SxL,0.5856883424452882
100,T,-0.02139107492808016
100,SxT,-0.009367821752109309
101,S,-0.28986822574140825
101,L,0.23657943017950056
101,SxL,0.7247525674662822
101,T,-0.22936208810366698
101,SxT,0.14215534423420798
102,S,-0.21895094093468512
102,L,0.1963312751684949
102,SxL,0.6171627082633093
102,T,-0.3179613019648021
102,SxT,0.09389645690557345
103,S,-0.12642054690827104
103,L,0.2264609621429673
103,SxL,0.5716413836390201
103,T,-0.17622446622010163
103,SxT,0.03754876355798297
104,S,-0.30349870664440537
104,L,0.2340365354620757
104,SxL,0.7325734337760461
104,T,-0.17865975063688194
104,SxT,0.14683036253593304
105,S,-0.16767657868778854
105,L,0.267790122202916
105,SxL,0.7927915475498017
105,T,-0.09694120023722608
105,SxT,0.024260340641615197
106,S,-0.15583424511891203
106,L,0.23020047084970863
106,SxL,0.6054446672285484
106,T,-0.23044417760919791
106,SxT,0.10343819952285509
107,S,-0.2102265813965557
107,L,0.33646382853474277
107,SxL,0.6980501525168065
107,T,-0.13387353274037259
107,SxT,0.04248973892927361
108,S,-0.03804778253290599
108,L,0.30030104470848074
108,SxL,0.5982582105552428
108,T,-0.04469776281792775
108,SxT,-0.03406085550609569
109,S,-0.0941098852417162
109,L,0.3015440439027981
109,SxL,0.5236128711186103
109,T,-0.06515631890910785
109,SxT,0.027933011524485477
110,S,-0.15930424412223623
110,L,0.2652600611449827
110,SxL,0.6419125712404518
110,T,-0.09956147172290511
110,SxT,0.05218503670539684
111,S,-0.44236176181008346
111,L,0.10585402063143634
111,SxL,0.794866629362714
111,T,-0.279673146024805
111,SxT,0.2275230800529881
112,S,-0.07940289656641869
112,L,0.28288399042202317
112,SxL,0.542816532011928
112,T,-0.10624812159707125
112,SxT,0.01943800055451108
113,S,-0.1116989607311556
113,L,0.23104496964351806
113,SxL,0.6110601842812974
113,T,-0.10249859281584196
113,SxT,0.03442120546922008
114,S,-0.26450819774596407
114,L,0.203842733246278
114,SxL,0.7320809068099251
114,T,-0.14783647977193828
114,SxT,0.1574507518782947
115,S,-0.31946436550602986
115,L,0.22904599425861982
115,SxL,0.7042495582937173
115,T,-0.2179974671517879
115,SxT,0.179798964468048
116,S,-0.20348532285120033
116,L,0.31700188319117206
116,SxL,0.6104377651227835
116,T,-0.12636339004684374
116,SxT,0.05006963369123391
117,S,-0.20729983640239175
117,L,0.22375746150591103
117,SxL,0.6739995750355379
117,T,-0.1952651896853699
117,SxT,0.12645716950603256
118,S,-0.4256668781763663
118,L,0.16332365326334175
118,SxL,0.8248924928948023
118,T,-0.3508219013363512
118,SxT,0.24328652404587875
119,S,-0.2196567409519286
119,L,0.286219720205389
119,SxL,0.6440229469136878
119,T,-0.12137167406577089
119,SxT,0.10040996716766555
120,S,-0.009213956661804688
120,L,0.2873174425326494
120,SxL,0.5128756561630446
120,T,-0.039505925788409
120,SxT,-0.003944392317528644
121,S,-0.10750016834965628
121,L,0.27985439725903094
121,SxL,0.5713209585294885
121,T,-0.15535262525016524
121,SxT,0.06462483972451108
122,S,-0.16150816147211738
122,L,0.14505083791126305
122,SxL,0.7449618336451673
122,T,-0.1860988905596238
122,SxT,0.05425911277880925
123,S,-0.2959061705338371
123,L,0.09643763451148757
123,SxL,0.7959172425351101
123,T,-0.26602219668930344
123,SxT,0.14576241903591447
124,S,-0.2006280618080933
124,L,0.33091255743372205
124,SxL,0.5873145589082771
124,T,-0.11991492159945812
124,SxT,0.08742057627961208
125,S,-0.29577070245897674
125,L,0.21250099871701889
125,SxL,0.7364885884551787
125,T,-0.1968582964667493
125,SxT,0.16210603202381157
126,S,-0.08404521011611654
126,L,0.2530203446462558
126,SxL,0.5726476064209532
126,T,-0.07736307807628214
126,SxT,0.036662917065143734
127,S,-0.18957374543248562
127,L,0.22891092729472173
127,SxL,0.684496684808066
127,T,-0.1918782870139253
127,SxT,0.06531644255875628
128,S,-0.36665745280753886
128,L,0.25741784499526943
128,SxL,0.7619716430928892
128,T,-0.277083045886093
128,SxT,0.19074234620798913
129,S,-0.4143437640029054
129,L,0.11683800175399173
129,SxL,0.7932409746859714
129,T,-0.286237800869949
129,SxT,0.2387218824251732
130,S,-0.19014375083175267
130,L,0.20534475663901097
130,SxL,0.6690933005908982
130,T,-0.2493125705035715
130,SxT,0.07686236102411008
131,S,-0.2813324566584431
131,L,0.17953487001398283
131,SxL,0.7924650144293716
131,T,-0.19338810452130076
131,SxT,0.13715568128797231
132,S,-0.18520030785571492
132,L,0.18456640556392712
132,SxL,0.6511333713498187
132,T,-0.19587440226469746
132,SxT,0.10061931798641614
133,S,0.06311587431601991
133,L,0.4222396758412831
133,SxL,0.43104546434515134
133,T,-0.035643486812917714
133,SxT,-0.10245871943731684
134,S,-0.18484792486851456
134,L,0.20021032624980795
134,SxL,0.6718015896509819
134,T,-0.16169625096735826
134,SxT,0.0873459109221553
135,S,-0.39551374705457115
135,L,0.07001463045815093
135,SxL,0.8490018044676543
135,T,-0.3163951866684235
135,SxT,0.18781329402994504
136,S,-0.2532590777606816
136,L,0.24099938484490946
136,SxL,0.651242420045342
136,T,-0.21881263520455568
136,SxT,0.12451132525691795
137,S,-0.27358868088072963
137,L,0.16027712290751162
137,SxL,0.6802098783102926
137,T,-0.2514883500126164
137,SxT,0.08902355534057602
138,S,-0.3388788190569151
138,L,0.21824640908720627
138,SxL,0.6845444588637445
138,T,-0.23328206623437733
138,SxT,0.16403661552796978
139,S,-0.1970024475507089
139,L,0.233928215898062
139,SxL,0.76021606182274
139,T,-0.20481764550184478
139,SxT,0.07657899691506515
140,S,-0.30160221057327596
140,L,0.2649755840870185
140,SxL,0.6665001668600683
140,T,-0.14920901192716768
140,SxT,0.15525065864973112
141,S,0.007779208416718703
141,L,0.3689741068343866
141,SxL,0.5261448840775148
141,T,0.005733085130916059
141,SxT,-0.0456907239136882
142,S,-0.2724634771784199
142,L,0.3100608327017935
142,SxL,0.772669686576085
142,T,-0.08904452811963072
142,SxT,0.1553085534209964
143,S,-0.30670580401853514
143,L,0.1447634541490983
143,SxL,0.6723410874539183
143,T,-0.2510134888357862
143,SxT,0.13616118369614771
144,S,-0.16725370673056936
144,L,0.2750973803478849
144,SxL,0.7079008815609537
144,T,-0.15319733124605217
144,SxT,0.044426451640019425
145,S,-0.29398232253928713
145,L,0.17864158559512766
145,SxL,0.7040539849843573
145,T,-0.20520844579616687
145,SxT,0.123654687778272
146,S,-0.14583671041943863
146,L,0.2512072862432839
146,SxL,0.6642518367158599
146,T,-0.1417210733224534
146,SxT,0.04594425974039283
147,S,-0.0879616169153694
147,L,0.3282644933760712
147,SxL,0.5917315109690111
147,T,-0.10445409624957921
147,SxT,-0.00017606008598759545
148,S,-0.17553893852626576
148,L,0.3122461405522947
148,SxL,0.6357756545325199
148,T,-0.13721987156327867
148,SxT,0.016565113970807108
149,S,-0.2488367585401594
149,L,0.19883239613577075
149,SxL,0.7177560873182655
149,T,-0.1628853614033115
149,SxT,0.10126942546078978
150,S,-0.3623611389219792
150,L,0.27487337968985304
150,SxL,0.8546658232181847
150,T,-0.16490149732994475
150,SxT,0.20075522310372756
151,S,-0.14887873770636728
151,L,0.34017583095569637
151,SxL,0.5851690313563653
151,T,-0.14106930937948212
151,SxT,0.009442571320853368
152,S,-0.20717719425727285
152,L,0.25832515860644323
152,SxL,0.7645935371587248
152,T,-0.15185628624366715
152,SxT,0.08884433689968646
153,S,-0.1728422766107796
153,L,0.25329574992408743
153,SxL,0.6326253366931133
153,T,-0.10785349624994621
153,SxT,0.07648243932129102
154,S,-0.07429184614641737
154,L,0.3598573086193072
154,SxL,0.6182741946240823
154,T,-0.04142356584598798
154,SxT,-0.018182599176425413
155,S,0.029844985047545475
155,L,0.3018666972400352
155,SxL,0.5513598125164125
155,T,0.027285540021963848
155,SxT,-0.03759695710099116
156,S,-0.09835836235355193
156,L,0.2871937093282997
156,SxL,0.700414159036642
156,T,-0.030543876901782636
156,SxT,0.05500018842945415
157,S,-0.19431677847866635
157,L,0.30536533777745867
157,SxL,0.5888357591824207
157,T,-0.16927957873316157
157,SxT,0.06458608263232152
158,S,-0.25970563525856577
158,L,0.28625897296935565
158,SxL,0.755328622463456
158,T,-0.11113044268784406
158,SxT,0.10932869560770132
159,S,-0.24646242894262113
159,L,0.19658722987909294
159,SxL,0.7460806909600363
159,T,-0.1491182639270667
159,SxT,0.11469573894953687
160,S,-0.16056214752315356
160,L,0.24023487964667656
160,SxL,0.6699475915363893
160,T,-0.14058763699863672
160,SxT,0.08005778092638689
161,S,-0.18592862484655512
161,L,0.2862343801929168
161,SxL,0.6887755072578639
161,T,-0.10808646289264323
161,SxT,0.06425128919060963
162,S,-0.22623382153995572
162,L,0.27513809778924725
162,SxL,0.7476374345315556
162,T,-0.09931719058882951
162,SxT,0.13334001647989252
163,S,-0.19405592104802244
163,L,0.3851677943837517
163,SxL,0.607420957925473
163,T,-0.1262571137672181
163,SxT,0.06557303722592231
164,S,-0.10974019495710018
164,L,0.2931187631436927
164,SxL,0.6730097088249972
164,T,-0.02575681440562887
164,SxT,0.05783635625808888
165,S,-0.00638172936187804
165,L,0.23667665496943957
165,SxL,0.5723065360811512
165,T,-0.05731267195235728
165,SxT,0.030535882215227964
166,S,0.006483038513055559
166,L,0.3772055860989111
166,SxL,0.47002914643028393
166,T,-0.09802062479080524
166,SxT,-0.09134958329751898
167,S,-0.31592492849767967
167,L,0.1813386254138617
167,SxL,0.7114531264480322
167,T,-0.23600768842710945
167,SxT,0.14803771582811417
168,S,-0.08923067240577524
168,L,0.31633530273576915
168,SxL,0.6156909034423496
168,T,-0.01597254948734788
168,SxT,0.048383494884793085
169,S,-0.1335401881657534
169,L,0.2610619298681395
169,SxL,0.587014195795301
169,T,-0.14771291257660174
169,SxT,0.07908440319295822
170,S,-0.1845090380931529
170,L,0.3181417120012131
170,SxL,0.652691187055399
170,T,-0.1307580544401691
170,SxT,0.06877453107149073
171,S,-0.3261641666822604
171,L,0.1802451326819302
171,SxL,0.8257903330743258
171,T,-0.2519229440932881
171,SxT,0.13454930151845512
172,S,0.02140519137012672
172,L,0.26869870469314394
172,SxL,0.4700546188607928
172,T,-0.0683641474188354
172,SxT,-0.03696369311374796
173,S,-0.2502560514841433
173,L,0.20788750483560392
173,SxL,0.6459205615681105
173,T,-0.18814676898909913
173,SxT,0.131450394902268
174,S,0.030609246997363716
174,L,0.26863135862284016
174,SxL,0.5317692268340575
174,T,-0.0931445537532749
174,SxT,-0.031975610452064374
175,S,-0.24461830942429805
175,L,0.16422772469489955
175,SxL,0.7578452213751425
175,T,-0.21605307140614854
175,SxT,0.09597559871590085
176,S,-0.13408062446374053
176,L,0.3845791164090533
176,SxL,0.6953616581951941
176,T,-0.025810301270424007
176,SxT,0.03688483191274674
177,S,-0.14904174632139847
177,L,0.25481061077509903
177,SxL,0.681130267810455
177,T,-0.10107583470701136
177,SxT,0.06262314425215652
178,S,-0.24936459485522938
178,L,0.2276690019668015
178,SxL,0.497912798150234
178,T,-0.24240801710968465
178,SxT,0.16151842409468053
179,S,-0.3774317229610344
179,L,0.2004516841031374
179,SxL,0.7639096588423143
179,T,-0.23768054690051107
179,SxT,0.1500260607822005
180,S,-0.2067415844209694
180,L,0.30646710565787316
180,SxL,0.629223785921827
180,T,-0.15997785299502995
180,SxT,0.07343696584341589
181,S,-0.01128240970719352
181,L,0.32620267286079563
181,SxL,0.5379620701470894
181,T,-0.03707491613090795
181,SxT,-0.06972461309580383
182,S,-0.12795129352319023
182,L,0.28391134447386634
182,SxL,0.6353992055347221
182,T,-0.09996321524308778
182,SxT,0.035782430508422274
183,S,-0.06799828236845437
183,L,0.32660570149021984
183,SxL,0.4964605841413121
183,T,-0.1240998191953885
183,SxT,0.004698608561250197
184,S,-0.20332782527583784
184,L,0.3324740889436003
184,SxL,0.6126060691419308
184,T,-0.1764551983256357
184,SxT,0.09481084161123363
185,S,-0.23562281904699042
185,L,0.21145881109054665
185,SxL,0.7830835985262025
185,T,-0.23212880369366176
185,SxT,0.12942017989516755
186,S,-0.0967527815681292
186,L,0.25302374500448743
186,SxL,0.6268794677592463
186,T,-0.10756008949686821
186,SxT,0.04927972722176866
187,S,-0.21047811718855253
187,L,0.22375270969136662
187,SxL,0.676201830863312
187,T,-0.18659016553251467
187,SxT,0.08510458722551473
188,S,-0.15427728142355232
188,L,0.28406465892348565
188,SxL,0.7147579317506644
188,T,-0.061022857409755264
188,SxT,0.0508107311401213
189,S,-0.09817302039549429
189,L,0.29584043037812546
189,SxL,0.678420865543873
189,T,-0.05441705233618286
189,SxT,0.07334433652208903
190,S,-0.01869030755851693
190,L,0.32888542635931883
190,SxL,0.5685502472311382
190,T,-0.00874076293696975
190,SxT,0.003318078437726467
191,S,-0.04909677441643265
191,L,0.29566422471352005
191,SxL,0.5843147189442957
191,T,0.012227428321445131
191,SxT,0.010469595347317201
192,S,-0.258669961331444
192,L,0.22043809949232118
192,SxL,0.6064906859030806
192,T,-0.22670053928045752
192,SxT,0.1182602839275332
193,S,-0.3381538611901659
193,L,0.3136207703275039
193,SxL,0.6842586401798723
193,T,-0.20048947593968325
193,SxT,0.11845514036550406
194,S,-0.06733032437751109
194,L,0.27903827582836804
194,SxL,0.4983931051691486
194,T,-0.07255248297435933
194,SxT,0.021648804802987885
195,S,-0.2579056588395937
195,L,0.25595959479947095
195,SxL,0.6267387126408485
195,T,-0.1888149680663889
195,SxT,0.09636402413659637
196,S,-0.26747160631116357
196,L,0.09839084774709494
196,SxL,0.719554264640115
196,T,-0.2326396261702528
196,SxT,0.15007014001526853
197,S,-0.3014564279506029
