N,contacts,Z,components,giant_fraction,beta1_loops,loop_density,loop_redundancy,degree_mean,degree_var,degree_susceptibility,degree_entropy,rattler_fraction_Z0,low_coord_fraction_Zle2,mean_core,max_core,kcore4_fraction,kcore5_fraction,triangles,triangle_density,transitivity,boundary_edge_fraction,vertical_spanning_components,bottom_side_spanning_components,largest_component_zspan_norm,height_m,fabric_Qxx,fabric_Qyy,fabric_Qzz,fabric_anisotropy,fabric_vertical_bias,mean_abs_nz,orientation_entropy,family,run,cycle,phase,force_proxy_gini,force_proxy_q99_q50,net_force_p99_N,height_m_micro
10111.0,8305.0,1.642765305113243,4217.0,0.36653150034615767,2411.0,0.2384531698150529,0.2903070439494281,1.642765305113243,2.9126365623646557,1.7730083252299238,0.7462510872910509,0.31302541786173477,0.7404806646226881,1.0870339234497082,3.0,0.0,0.0,393.0,0.03886855899515379,0.058764890594626924,0.16857314870559903,0.0,2.0,0.5335355358708668,0.012447915,0.31274749698917637,0.3166457127699392,0.37060679024088333,0.05797355437192242,0.05591018536132558,0.5197514403033259,0.9250351869761572,long,R3_intermediate,30,cold,0.4762935177312925,4.988689882530673,0.0006574346891307,0.013451546
10111.0,21989.0,4.349520324399169,365.0,0.9598457125902482,12243.0,1.2108594599940659,0.5567783891945973,4.349520324399169,3.4493912742135633,0.7930509612436523,0.8705790578798703,0.0327366234793789,0.16447433488280092,2.628622292552665,3.0,0.0,0.0,2763.0,0.2732667391949362,0.09099691517273935,0.09591159215971622,1.0,1.0,0.9972241110336275,0.012428451,0.34363371841120377,0.34154036203660704,0.31482591955218614,0.029408072403727614,-0.027761120671719264,0.4702823375102165,0.9226611613447124,long,R3_intermediate,30,hot,0.6617134121814359,21.41464226281386,0.0006398779581345,0.013442596
10111.0,8339.0,1.6494906537434477,3047.0,0.38532291563643556,1275.0,0.12610028681633864,0.1528960306991246,1.6494906537434477,1.86863761021331,1.1328573496142689,0.7840361508635731,0.21085945999406586,0.7682721788151519,1.0536049846701612,2.0,0.0,0.0,184.0,0.018198002175848087,0.037139204736594225,0.13262981172802493,0.0,1.0,0.992025970857215,0.012508482,0.3328771076243402,0.3248910606135322,0.34223183176212835,0.021595832749016775,0.013347747643192132,0.5004820860547079,0.9332486758295313,long,R6_high_expansion_high_friction,1,cold,0.5070012964567625,5.853276197694755,0.0007015001151014,0.013514169
10111.0,24692.0,4.884185540500445,170.0,0.9827910196815349,14751.0,1.4589061418257343,0.5973999676008424,4.884185540500445,2.7197489138488797,0.5568479926276937,0.8211868957107924,0.01621995846108199,0.07635248738997132,2.8441301552764315,3.0,0.0,0.0,4015.0,0.39709227573929384,0.10984150723157453,0.0891381824072574,1.0,1.0,1.0,0.012540872,0.3474032764297802,0.34554337736206786,0.30705334620815294,0.04151529534707954,-0.03941998068777108,0.4670131350285602,0.9175298519090809,long,R6_high_expansion_high_friction,1,hot,0.3929147039004135,3.545941664762377,0.0010727015493299,0.013554495
10111.0,8284.0,1.6386114133122343,3324.0,0.38057561072099694,1497.0,0.1480565720502423,0.1807098020280058,1.6386114133122343,2.0333781133659286,1.240915385335762,0.752870564694722,0.23489269112847394,0.7599643952131342,1.0469785382256949,2.0,0.0,0.0,194.0,0.019187024033231134,0.037379576107899805,0.13906325446644133,0.0,1.0,0.8066424294302759,0.01252343,0.3236332551872373,0.31855222416147355,0.35781452065128966,0.040993459085513884,0.03672178097693424,0.5128161800970572,0.9403877129916737,long,R6_high_expansion_high_friction,2,cold,0.5180638101098611,6.589354306303619,0.0008117102077067,0.013529169
10111.0,23931.0,4.733656413806745,173.0,0.9817030956384136,13993.0,1.3839382850360993,0.5847227445572688,4.733656413806745,2.8056311662923115,0.5926985233041152,0.797219404731139,0.015725447532390465,0.09603402235189398,2.8039758678666797,3.0,0.0,0.0,3445.0,0.3407180298684601,0.09982228060347326,0.08946554678032677,1.0,1.0,1.0,0.012534231,0.35110268374199366,0.3495215248137862,0.299375791444218,0.05233689186113699,-0.05093631283367195,0.4590532083923803,0.9120467708740341,long,R6_high_expansion_high_friction,2,hot,0.4605587693287418,5.3940282372315265,0.0019831024828044,0.013549895
10111.0,9668.0,1.912372663435862,3257.0,0.48244486203145087,2814.0,0.27831075066758976,0.2910633016135705,1.912372663435862,2.928331735713992,1.531255801603443,0.7820939594801758,0.2380575610720997,0.6835130056374246,1.2143210364949066,3.0,0.0,0.0,396.0,0.039165265552368704,0.05028571428571429,0.13860157219693836,0.0,1.0,0.9114033652675974,0.01253095,0.31904341634209826,0.31186388909764395,0.3690926945602578,0.059989524103598035,0.05363904184038665,0.523141457673991,0.9432576335022448,long,R6_high_expansion_high_friction,3,cold,0.4855560913896879,5.002522074424679,0.0010030739389691,0.013536469
10111.0,22934.0,4.536445455444565,189.0,0.9791316388092177,13012.0,1.2869152408268223,0.5673672276968693,4.536445455444565,2.8600850410116387,0.6304682970626293,0.8025579094258439,0.017110078132726733,0.1170012857284146,2.752744535654238,3.0,0.0,0.0,2961.0,0.29284937197112054,0.09295341341927922,0.09012819394785035,1.0,1.0,1.0,0.01252823,0.3528086118432652,0.3485968671589083,0.2985945209978283,0.05453389402355813,-0.052108218503258474,0.4576476074290102,0.9118748991896756,long,R6_high_expansion_high_friction,3,hot,0.4713178545423982,5.927467738718461,0.0023391499333305,0.0135458949999999
10111.0,6770.0,1.3391355948966472,3778.0,0.3467510631984967,437.0,0.04322025516763921,0.06454948301329394,1.3391355948966472,1.4071905889723466,1.0508200919571193,0.7158048923850165,0.2748491741667491,0.8442290574621699,0.8964494115319949,2.0,0.0,0.0,104.0,0.0102858273167837,0.033156216790648244,0.12215657311669129,1.0,6.0,0.9978304489901374,0.012532547,0.3234617359768245,0.3208250102325907,0.35571325379058777,0.03912281666182704,0.03356988068588018,0.5121010653774379,0.9401776527937479,long,R6_high_expansion_high_friction,5,cold,0.5409304412209808,8.27696872213967,0.0006871253859361,0.013538269
10111.0,21004.0,4.154683018494708,247.0,0.9729997032934428,11140.0,1.1017703491247157,0.5303751666349267,4.154683018494708,2.8104120026777055,0.6764443858092336,0.8340049201193837,0.02215408960538028,0.16071605182474533,2.6403916526555236,3.0,0.0,0.0,2149.0,0.21254079715161706,0.08011780934272826,0.09022091030279947,1.0,1.0,1.0,0.012527677000000001,0.35296934774116173,0.3546027866085067,0.2924278656503321,0.0636842751104546,-0.06135820152450211,0.4515126678945086,0.9075612705035901,long,R6_high_expansion_high_friction,5,hot,0.5729720657482021,11.668732647215458,0.0038735766111312,0.013546295
10111.0,6202.0,1.2267827118979329,4381.0,0.20185936109188013,472.0,0.046681831668479876,0.07610448242502418,1.2267827118979329,1.4167725488693543,1.1548683683987457,0.7022707719374375,0.32548709326476116,0.8558006131935516,0.8415586984472356,2.0,0.0,0.0,96.0,0.009494609830877262,0.0336095226980978,0.1436633344082554,0.0,3.0,0.5943287988975803,0.012535334,0.3146168715316219,0.3157282195266143,0.36965490894176334,0.05625943420698887,0.05448236341264523,0.5218881530749018,0.9337221784106821,long,R6_high_expansion_high_friction,10,cold,0.517320063428158,6.415368226460404,0.0006679002037409,0.013541169
10111.0,21445.0,4.241914746315894,262.0,0.9727029967362278,11596.0,1.1468697458213826,0.5407321053858708,4.241914746315894,3.057291715014472,0.7207338897298047,0.8177073457049867,0.02442883987736129,0.16101275838196025,2.651765404015429,3.0,0.0,0.0,2466.0,0.24389279003065967,0.08705680226879582,0.0942877127535556,1.0,1.0,1.0,0.012523853000000001,0.3379749596309921,0.3410076145507421,0.3210174258182648,0.0219723880843411,-0.018473861272602254,0.476780043560639,0.9270496096441617,long,R6_high_expansion_high_friction,10,hot,0.5764258136262989,12.53477567650136,0.002024809189408,0.013543595
10111.0,5864.0,1.1599248343388389,4791.0,0.22826624468400752,544.0,0.05380278904163782,0.0927694406548431,1.1599248343388389,1.486143956371684,1.2812416049517479,0.6959085473397465,0.368905152803877,0.860449015923252,0.7904262684205321,2.0,0.0,0.0,90.0,0.008901196716447433,0.03194888178913738,0.1524556616643929,0.0,2.0,0.49993398860774996,0.012535715,0.30907367140559655,0.3128272619746999,0.3780990666197039,0.07344095631769337,0.06714859992955563,0.5279620219226814,0.9216462618295963,long,R6_high_expansion_high_friction,20,cold,0.5254902657938246,6.383075322987934,0.000810740306544,0.013541569
10111.0,18617.0,3.6825239837800416,508.0,0.9423400257145683,9014.0,0.8915043022450796,0.48418112477842834,3.6825239837800416,3.0872220342136223,0.8383440400691285,0.8518064632818606,0.044703787953713776,0.2522994758184156,2.3918504598951635,3.0,0.0,0.0,1625.0,0.16071605182474533,0.07437297858058217,0.10157383037009185,1.0,1.0,0.9999281353355362,0.01252354,0.35004993881920127,0.3518421469981507,0.2981079141826474,0.05545513355479759,-0.052838128726028555,0.45137710157185323,0.9087153445567068,long,R6_high_expansion_high_friction,20,hot,0.6378375736442345,17.650304350419248,0.0013648811489346,0.013544895
10111.0,5542.0,1.0962318267233706,5211.0,0.23706853921471666,642.0,0.06349520324399169,0.11584265608083724,1.0962318267233706,1.5348992614576362,1.400159367791245,0.6846484099624526,0.4043121352981901,0.8686578973395312,0.7495796657106122,2.0,0.0,0.0,108.0,0.010681436059736921,0.03906909441697817,0.1773727896066402,0.0,2.0,0.45903106374112085,0.012535644,0.3064027104948857,0.3124603509546485,0.38113693855046393,0.07590223450182843,0.07170540782569679,0.5287579764983643,0.9028546770189679,long,R6_high_expansion_high_friction,30,cold,0.521633783783853,6.5248006509753615,0.0008549455752601,0.013541469
