predictor,predictor_column,lag_cycles,bins,n,target_entropy_bits,route_mi_bits,predictor_mi_bits,joint_route_predictor_mi_bits,predictor_given_route_mi_bits,route_given_predictor_mi_bits,null_median_predictor_given_route_mi_bits,corrected_predictor_given_route_mi_bits,corrected_predictor_given_route_norm,bootstrap_median_corrected_bits,bootstrap_q025_corrected_bits,bootstrap_q975_corrected_bits,shift_p
Psi,psi_z,6,4,120,2.0,1.1224525048414884,0.16866290872145537,1.3972707277801915,0.2748182229387033,1.2286078190587364,0.21503342932860642,0.059784793610096865,0.029892396805048432,0.16342262858851428,0.02460135065207607,0.2942479099683533,0.08863920099875156
Psi,psi_z,6,5,120,2.321928094887362,1.3265365752877853,0.3801798857415038,1.8701530998159903,0.5436165245282053,1.4899732140744864,0.37363014335266415,0.16998638117554116,0.07320914956403389,0.177235289516114,0.0027587648961117563,0.3423790732585092,0.01373283395755306
loop activation,loop_z,0,2,150,1.0,0.5112287620450551,0.0032083680183633834,0.6678995516626691,0.15667078961761416,0.6646911836443058,0.06866839311069473,0.08800239650691943,0.08800239650691943,0.08175077299242327,0.0065795661874732845,0.174198159955941,0.012484394506866416
loop activation,loop_z,0,3,150,1.584962500721156,0.9498814308883972,0.07118937640608072,1.3702976277863577,0.4204161968979609,1.299108251380277,0.213193134371672,0.2072230625262889,0.13074319577403418,0.182549692709938,0.08066632718328628,0.2714813484433631,0.0012484394506866417
loop activation,loop_z,0,4,150,1.999871756640849,0.9502805004553825,0.18110461671779127,1.427123898583125,0.4768433981277425,1.246019281865334,0.24848519240689926,0.22835820572084325,0.1141864246857572,0.24298820154160847,0.12315606310793586,0.3824466849969617,0.0012484394506866417
loop activation,loop_z,0,5,150,2.321928094887362,1.152162016414139,0.28613416338757425,1.7302643975098462,0.5781023810957072,1.4441302341222717,0.36968775185713043,0.2084146292385768,0.08975929517261261,0.2587976382085424,0.10442177737020665,0.42838169499150436,0.0012484394506866417
loop activation,loop_z,2,2,140,1.0,0.488562019744485,0.005306204638694162,0.6393555357451925,0.1507935160007074,0.6340493311064983,0.07379796781363332,0.07699554818707408,0.07699554818707408,0.06461600207004167,-0.011159871799925034,0.15535165694633218,0.018726591760299626
loop activation,loop_z,2,3,140,1.5848887166855343,0.9028678083946755,0.06873982553806841,1.2548697718925013,0.3520019634978254,1.1861299463544328,0.2474801228654815,0.10452184063234393,0.06594900924711589,0.09533117008396033,-0.014314120233916273,0.19426336110321787,0.011235955056179775
loop activation,loop_z,2,4,140,2.0,1.0546336038460198,0.17098163586205928,1.454000684266548,0.39936708042052815,1.283019048404489,0.24710706287535078,0.15226001754517737,0.07613000877258869,0.15976527982802344,0.046347090774043066,0.2810416387341472,0.0012484394506866417
loop activation,loop_z,2,5,140,2.321928094887362,1.284004746798824,0.26801172535789225,1.6916213837195968,0.4076166369207725,1.4236096583617044,0.3387591229593989,0.06885751396137357,0.02965531711037498,0.1515717563103282,0.006455212434589653,0.3121568049753014,0.07865168539325842
