regime_id,cycle,next_cycle,memory_coordinate,hot_excitation_coordinate,next_memory_coordinate,next_hot_excitation_coordinate,delta_memory_coordinate,delta_hot_excitation_coordinate,step_length,signed_area_increment
R5,4,5,-0.0951470661963391,0.6719856502936357,-0.1310779075270429,0.0316498926464827,-0.0359308413307038,-0.640335757647153,0.6413430500756094,0.042535539248973527
R5,5,6,-0.1310779075270429,0.0316498926464827,-0.3477424215848257,0.2787687936960201,-0.2166645140577828,0.24711890104953738,0.328650670024916,-0.012767209924862279
R5,6,7,-0.3477424215848257,0.2787687936960201,-0.2988622905098283,0.5548878965497543,0.04888013107499739,0.27611910285373426,0.28041224326812125,-0.05482229032383373
R5,7,8,-0.2988622905098283,0.5548878965497543,-0.2783087101875618,0.9751087618403792,0.020553580322266507,0.42022086529062486,0.42072321696058723,-0.06849655163618353
R5,8,9,-0.2783087101875618,0.9751087618403792,-0.3161499364998429,0.47508885097905,-0.037841226312281095,-0.5000199108613292,0.5014497678397996,0.08802960389790307
R5,9,10,-0.3161499364998429,0.47508885097905,-0.2791356665388468,0.8286867027300477,0.037014269960996105,0.3535978517509977,0.35552988192789936,-0.0646875026815784
R5,10,11,-0.2791356665388468,0.8286867027300477,-0.3331013079181786,0.3681269089396388,-0.0539656413793318,-0.46055979379040896,0.46371070087474436,0.08663963721801515
R5,11,12,-0.3331013079181786,0.3681269089396388,-0.2853544975010235,0.2546045207898546,0.04774681041715512,-0.11352238814978416,0.12315474215896847,0.010118785120046991
R5,12,13,-0.2853544975010235,0.2546045207898546,-0.317625105429816,-0.0582483253299479,-0.032270607928792494,-0.3128528461198025,0.3145127906164623,0.04874510468179438
R5,13,14,-0.317625105429816,-0.0582483253299479,-0.340824404881327,-0.2711205988600444,-0.023199299451511002,-0.21287227353009652,0.21413269795365936,0.03313112899060152
R5,14,15,-0.340824404881327,-0.2711205988600444,-0.2175590344596249,0.0376621924163661,0.12326537042170208,0.3087827912764105,0.3324773131112117,-0.035910465013470276
R5,15,16,-0.2175590344596249,0.0376621924163661,-0.2957775968800007,0.1478925507305779,-0.07821856242037581,0.1102303583142118,0.13516240380072317,-0.010517863887285334
R5,16,17,-0.2957775968800007,0.1478925507305779,-0.2907744499267145,0.1022422301552875,0.005003146953286242,-0.04565032057529039,0.04592366762425404,0.006381206975979811
R5,17,18,-0.2907744499267145,0.1022422301552875,-0.2636683189810429,-0.5990914147216033,0.027106130945671547,-0.7013336448768908,0.7018572673778826,0.10057925676270446
R5,18,19,-0.2636683189810429,-0.5990914147216033,-0.2743223568361801,-0.1107049496524622,-0.010654037855137188,0.48838646506914113,0.48850265893375655,-0.06757739043450296
R5,19,20,-0.2743223568361801,-0.1107049496524622,-0.2799421117869594,-0.6853965322198756,-0.0056197549507792655,-0.5746915825674134,0.5747190589492791,0.07851430734746093
R5,20,21,-0.2799421117869594,-0.6853965322198756,-0.2325729609618516,0.1086168315472033,0.047369150825107786,0.7940133637670789,0.7954250802499273,-0.09490556306514705
R5,21,22,-0.2325729609618516,0.1086168315472033,-0.2911582870528119,-0.5569401876786882,-0.05858532609096029,-0.6655570192258915,0.6681305158979328,0.0805769595727347
R5,22,23,-0.2911582870528119,-0.5569401876786882,-0.2962163609789922,0.1008132006655044,-0.005058073926180295,0.6577533883441926,0.6577728361601055,-0.09716369724760882
R5,23,24,-0.2962163609789922,0.1008132006655044,-0.3561399228562518,-1.306274398381778,-0.05992356187725961,-1.4070875990472824,1.4083630017366628,0.21142172711828858
R5,24,25,-0.3561399228562518,-1.306274398381778,-0.3325622269551702,-0.1842893583153432,0.023577695901081608,1.1219850400664346,1.1222327467494801,-0.1843923625433574
R5,25,26,-0.3325622269551702,-0.1842893583153432,-0.3385715893705597,-1.878209157915664,-0.006009362415389519,-1.6939197996003208,1.6939304589960682,0.2811131396475609
R5,26,27,-0.3385715893705597,-1.878209157915664,-0.0712852377919092,-0.3420032596023347,0.2672863515786505,1.5362058983133293,1.5592852708061116,-0.009047999635742536
R5,27,28,-0.0712852377919092,-0.3420032596023347,-0.3897981367008295,-1.8430156548625092,-0.3185128989089203,-1.5010123952601746,1.5344343184040334,-0.0009662120637574517
R5,28,29,-0.3897981367008295,-1.8430156548625092,-0.1381874018999138,-0.1671456231159707,0.2516107348009157,1.6758700317465385,1.6946528627341946,-0.09476424627900695
R5,29,30,-0.1381874018999138,-0.1671456231159707,-0.3729741598618826,-1.948969690390416,-0.2347867579619688,-1.7818240672744452,1.7972261483833187,0.10349102977023045
R6,1,2,-0.048222724968865,2.9682268632719997,-0.0170011805116463,2.394530450294945,0.031221544457218697,-0.5736964129770548,0.5745453499081108,-0.03250371131607031
