regime_id,cycle,memory_coordinate,hot_excitation_coordinate,overload_number,overload_response_asinh,overload_readout_projection,post_map_output_projection,dangerous_input_projection
R6,4,4.179744772756233,0.3724258254288738,5.995590164334436,1.8177489722865605,0.3789670652295414,-0.3806820997630242,-0.8078431397811731
R6,5,-0.5384989533432996,0.1795736716622575,5.021631790909491,1.6512405953991796,0.10212812105426386,0.15202362139509976,0.3226083908467777
R6,6,-0.5724583671437127,-0.2794760321123501,4.050010757392497,1.4547626192975913,-0.2034616811182684,-0.05125332123584194,-0.10876435739203436
R6,7,-0.5127004601268317,0.4547419954819196,4.031175359386061,1.4505848438274038,0.2854796776340476,0.2731588836451896,0.5796687849531608
R6,8,-0.5068973189123651,0.6837817245352504,4.158081837297193,1.47843499128703,0.43760003323145547,0.37604642243637504,0.7980057974713988
R6,9,-0.4922857818085928,0.638099703355661,4.375969458501777,1.5246772578714796,0.4077572643758184,0.35345343105053495,0.7500613495723571
R6,10,-0.6037196897830864,0.526689343344141,3.675983102990614,1.3687436233122954,0.3303345558654985,0.31767804191380306,0.6741426165793909
R6,11,-0.5819610826466977,0.6712083298190287,4.532025414098908,1.5566420775791237,0.4268902628245501,0.380219847666902,0.8068621974544018
R6,12,-0.6155581698462222,0.4327027283351637,3.353784560198973,1.289044859608663,0.26761339319887645,0.27670074229713654,0.5871849413887564
R6,13,-0.4871907080093473,-0.1590324918809354,3.788945500727459,1.3954211322908936,-0.12087247086284611,-0.007951782393512801,-0.01687442845258777
R6,14,-0.428735446543048,0.0822442833264443,2.5860130860035166,1.0741798559541669,0.041027223425167646,0.0935550196377653,0.19853253108961272
R6,15,-0.4805332548908287,-0.7370919679028939,2.359595132828072,1.002975323599376,-0.5041274657616807,-0.2704227085502334,-0.573862364632698
R6,16,1.1981001681699537,-0.3792966930609566,2.0915352758246235,0.9133687743391318,-0.21380066266656508,-0.3290785608109035,-0.6983355875299593
R6,17,-0.5585007798378147,-0.7499258608261012,2.462053301503398,1.0356853756829925,-0.5151016843110401,-0.26598561411098204,-0.5644464338454565
R6,18,0.2909067639011674,-0.2631098365306546,2.0397426578404114,0.895355167548207,-0.16535717449639387,-0.1572935083229157,-0.3337915854459163
R6,19,-0.6643919888869442,-0.9324256322362736,1.8176700283655625,0.815419541484226,-0.6395077766620365,-0.3346602537656641,-0.7101804637788695
R6,20,0.4722137559868318,-0.2260970636921309,1.7412985151411131,0.7868909264460082,-0.1350821205527156,-0.16436750013303472,-0.3488032599066548
R6,21,-0.4144573645508017,-1.2227287526159003,0.9679197289945666,0.46681926863459977,-0.8241971328985193,-0.49887610440413693,-1.0586619092269263
R6,22,0.4099048223097154,-0.3198483781222025,1.6289889373379245,0.743946564335871,-0.1992400357613176,-0.19860647550068586,-0.4214615787010289
R6,23,-0.4941263309602317,-0.9159040834490786,1.561603924891177,0.7176068203733688,-0.6231743711532626,-0.349556546646908,-0.7417917951752632
R6,24,0.1542177180467102,-0.214954767003655,2.3065016868568766,0.9856975723924223,-0.13772662423926318,-0.11754031799604335,-0.24943158504145707
R6,25,-0.5412476351802825,-1.1315458086531165,0.6644629788471983,0.32640467669263706,-0.7677109417014266,-0.4409517016446937,-0.9357408908121724
R6,26,1.518111063018313,-0.5990790668682923,2.0491064488630295,0.8986292067721726,-0.3494973401834669,-0.47058887304621644,-0.998633749746551
R6,27,-0.5336955229596304,-1.1299639076912027,0.641064490786871,0.31528286420877233,-0.7664232181271403,-0.4412281762055903,-0.9363275957754038
R6,28,-0.0278981826297263,-0.3105032905618285,2.6125426089296977,1.0822689547158666,-0.20685784432017706,-0.1368499150883908,-0.2904083621284331
R6,29,-0.4747734847238488,-1.1690481661836147,0.8885049903893575,0.43080277102338566,-0.7904908189461076,-0.46665782380874,-0.9902916943659218
