run,tag,regime_id,cycle,phase,n_contacts,first_cycle_edge_fraction,first_cycle_force_fraction,beta1_birth_density_5pct,beta1_birth_density_10pct,loop_force_share_5pct,loop_force_share_10pct,beta1_birth_area,loop_force_persistence_area,giant_component_area,total_beta1_birth_density,total_loop_force_share,top5_force_share
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,23,cold,15588,0.0001283038234539,0.0007018320515963,0.4923076923076923,0.4971135343168698,0.0763808933105232,0.1325461913093712,0.5664275050719049,0.3875973749919679,0.4737920148560817,0.6685270721067488,0.5884744749292974,0.1550141921083236
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,23,hot,20529,9.742315748453409e-05,0.0016612826458055,0.5150925024342746,0.54164637116415,0.1481328815913136,0.232689576477082,0.5998568215464598,0.4553402707031155,0.4523922067487948,0.6537093867212236,0.5912192820092693,0.2899482280974738
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,24,cold,15841,0.0001893819834606,0.0009412409192286,0.4968474148802018,0.4958990536277602,0.0772957864293154,0.1335749928028685,0.5667514966236729,0.3886964063718268,0.476792383742219,0.6682027649769585,0.5885681809763619,0.155736411781335
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,24,hot,20400,9.80392156862745e-05,0.0014092297958148,0.5137254901960784,0.5470588235294118,0.1465086195044228,0.2353966992601664,0.6005919117647059,0.4553196873833,0.4466588566073102,0.6524509803921569,0.5901965442460502,0.2874253025845849
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,25,cold,15568,0.0001284686536485,0.0007000419348954,0.4955070603337612,0.497752087347463,0.0768827972233016,0.1342484277009187,0.5647402120195395,0.3873558063433813,0.4788440007464078,0.6679727646454265,0.5857198615172124,0.1552795529977885
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,25,hot,20442,9.783778495254869e-05,0.0017541793870909,0.5151515151515151,0.5398533007334964,0.1498912171334367,0.23422841869998,0.5996249925491515,0.4559351178112739,0.4453870195504721,0.6515018099990216,0.5892281629842303,0.2930240451358333
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,26,cold,15010,0.0001332445036642,0.0008393923009321,0.4940079893475366,0.4930046635576282,0.0767577794311447,0.1331785618705939,0.5632168908320292,0.3871644637616093,0.4691936097375427,0.6634910059960026,0.5842460121857663,0.1554101219187864
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,26,hot,20821,9.605686566447336e-05,0.0020292085017351,0.5163147792706334,0.5396063370139222,0.1468892022513783,0.2316315322313605,0.6028401716956354,0.4591542658989981,0.4482884488448845,0.6548676816675472,0.593855587015195,0.2870250725710571
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,27,cold,14977,0.0001335380917406,0.0010771947409081,0.4926568758344459,0.4953271028037383,0.0778127410536908,0.1344047922768955,0.5624538969308097,0.3868627465283292,0.4746141417981372,0.6626160112171997,0.5822349230470194,0.1578231487447598
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,27,hot,20458,9.776126698602014e-05,0.0017888534157376,0.5151515151515151,0.544477028347996,0.1579517773449873,0.2460162611500881,0.5993569632562517,0.4581932760674463,0.4524849377426697,0.6525564571316844,0.5869601971639002,0.3092372442933237
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,28,cold,14420,0.0001386962552011,0.00081301150576,0.4951456310679611,0.4944521497919556,0.0776371115703493,0.1337119024657017,0.5597021146669345,0.3839182008208217,0.4756169085916045,0.6597087378640777,0.579543416563846,0.1568542246967243
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,28,hot,20289,9.857558282813348e-05,0.0015125732744895,0.5211822660098522,0.5362247412518482,0.1563930501793651,0.2389210060787607,0.5983197073890155,0.4565418194259233,0.4494399946602589,0.652126768199517,0.5872312983904046,0.303922345119675
