run,tag,regime_id,cycle,force_p99_cold,force_p99_hot,force_p99_hot_minus_cold,force_share_top5_edges_cold,force_share_top5_edges_hot,force_share_top5_edges_hot_minus_cold,giant_fraction_after_top5_edges_cold,giant_fraction_after_top5_edges_hot,giant_fraction_after_top5_edges_hot_minus_cold,force_h1_birth_fraction_cold,force_h1_birth_fraction_hot,force_h1_birth_fraction_hot_minus_cold,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_h1_birth_force_share_hot_minus_cold,bottom_side_percolation_edge_fraction_cold,bottom_side_percolation_edge_fraction_hot,bottom_side_percolation_edge_fraction_hot_minus_cold,alpha_mult,friction,lid_gap_radii,hot_susceptibility_index,cold_memory_index,loss_index,overload_number,loop_activation,top5_activation,giant_activation,frictional_expansion,boundary_attenuation,dimensionless_loop_number,dimensionless_top5_number,loop_number_no_boundary,loop_number_no_friction,loop_number_friction_only,overload_positive,overload_asinh,overload_z,loop_activation_z,top5_activation_z,giant_activation_z,percolation_activation_z,rare_overload
R1_low_expansion_low_friction,a050_mu010_g002,R1,12,0.0010422983577861,0.0004563735449321,-0.0005859248128539,0.1516790075948072,0.2948735298075308,0.1431945222127235,0.0022078536508437,0.0526179367547952,0.0504100831039515,0.7222397689843433,0.6742502123094801,-0.0479895566748631,0.6310982625796844,0.587749000844794,-0.0433492617348904,0.0004963226999954,0.0001340901980065,-0.0003622325019889,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5689707048752929,-0.0433492617348904,0.1431945222127235,0.0504100831039515,0.05,0.9803921568627452,-0.0021249638105338,0.0070193393241531,-0.0021674630867445,-0.0216746308674452,-0.004334926173489,False,-0.280781398831636,-0.5596358736194424,0.13498057599414431,-0.6760325093497728,0.3363210281815382,-0.3571287114442768,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,13,0.001013515495139,0.0004990887750218,-0.0005144267201171,0.1516307036433429,0.3082099434072162,0.1565792397638733,0.0033546325878594,0.048093083387201,0.0447384507993416,0.718988748437283,0.6721223263530783,-0.0468664220842046,0.6277918557271203,0.5856357217708598,-0.0421561339562605,0.0031485854516831,0.003273395811847,0.0001248103601638,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.4995414550308427,-0.0421561339562605,0.1565792397638733,0.0447384507993416,0.05,0.9803921568627452,-0.0020664771547186,0.0076754529296016,-0.002107806697813,-0.0210780669781302,-0.004215613395626,False,-0.24724402856779548,-0.20242771905619694,0.265354736693769,-0.36445369848600667,-0.10223567478771532,0.07537044460430306,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,14,0.0010089406015131,0.0005187157758242,-0.0004902248256888,0.1509138818233295,0.3227329605326466,0.1718190787093171,0.0019096117122851,0.0509436452421802,0.0490340335298951,0.7196710708675967,0.6662307333021953,-0.0534403375654014,0.6292086406374711,0.5826882523677797,-0.0465203882696914,0.0029104684468262,0.001401214385801,-0.0015092540610251,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.4760398578461868,-0.0465203882696914,0.1718190787093171,0.0490340335298951,0.05,0.9803921568627452,-0.0022804111896907,0.0084225038582998,-0.0023260194134845,-0.0232601941348457,-0.0046520388269691,False,-0.23582792160231114,-0.08083421099769446,-0.2115313130524301,-0.009690075105043007,0.22991854439747536,-1.3756958536871862,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,15,0.0010366818749553,0.0005033285286124,-0.0005333533463428,0.1516358167789948,0.3281090324152075,0.1764732156362126,0.0027432628691302,0.0493013445821249,0.0465580817129947,0.7214146838255717,0.6705218356772761,-0.0508928481482956,0.6302546506422168,0.5809842123885399,-0.0492704382536768,0.002546060549949,0.0017579570688378,-0.0007881034811111,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5179204272612489,-0.0492704382536768,0.1764732156362126,0.0465580817129947,0.05,0.9803921568627452,-0.0024152175614547,0.0086506478253045,-0.0024635219126838,-0.0246352191268384,-0.0049270438253676,False,-0.25614989258568666,-0.29728450793365074,-0.5120317833003271,0.09865217744810646,0.03846655893501922,-0.7353065955053025,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,16,0.001006105762365,0.000536999202983,-0.0004691065593819,0.151084026024469,0.3267416346292522,0.1756576086047832,0.0024181847493148,0.0450379680544645,0.0426197833051496,0.7222529753667313,0.6701856570804514,-0.0520673182862798,0.6296994624600653,0.584049848000553,-0.0456496144595122,0.0002306485838176,0.0005915544230069,0.0003609058391892,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.4555326620374693,-0.0456496144595122,0.1756576086047832,0.0426197833051496,0.05,0.9803921568627452,-0.0022377261989956,0.0086106670884697,-0.0022824807229756,-0.0228248072297561,-0.0045649614459512,False,-0.225841608599821,0.02553049233017917,-0.11638106452524137,0.07966590687394172,-0.2660607926793943,0.28502569953206414,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,17,0.0010140557325294,0.0005597376901206,-0.0004543180424088,0.1521690534066738,0.330181239628498,0.1780121862218242,0.0019169329073482,0.044905905256327,0.0429889723489788,0.7221561270248009,0.6773222350128398,-0.044833892011961,0.6316204888183788,0.589786862541371,-0.0418336262770078,0.0002287910679967,0.0005313025768174,0.0003025115088207,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.4411720602304538,-0.0418336262770078,0.1780121862218242,0.0429889723489788,0.05,0.9803921568627452,-0.0020506679547552,0.0087260875598933,-0.0020916813138503,-0.0209168131385039,-0.0041833626277007,False,-0.2188352152904842,0.10015592671824411,0.3005954449857494,0.13447741045632783,-0.23751339730214063,0.23317092336150194,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,18,0.0010507335508066,0.0006205593868228,-0.0004301741639838,0.1526433112147861,0.3278852896023805,0.1752419783875944,0.0024142926122646,0.0506148867313915,0.0482005941191269,0.7220921155347385,0.6798415492957747,-0.0422505662389638,0.6302070204546347,0.5942594513599369,-0.0359475690946978,0.0001377600220416,0.0003080985915492,0.0001703385695076,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.417726800319058,-0.0359475690946978,0.1752419783875944,0.0482005941191269,0.05,0.9803921568627452,-0.0017621357399361,0.0085902930582154,-0.0017973784547348,-0.0179737845473489,-0.0035947569094697,False,-0.20737388572376758,0.22223110289215475,0.9437702823488343,0.06999057615920364,0.1654731747965493,0.11579997072560566,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,19,0.001040816991614,0.0006542240416211,-0.0003865929499929,0.151567515104842,0.3452949235190358,0.1937274084141937,0.0027057138309724,0.0490196078431372,0.0463138940121647,0.7214686943416907,0.6756841774142812,-0.0457845169274094,0.6312952802423286,0.5887972606407856,-0.0424980196015429,4.566835639585331e-05,0.0003145643284051,0.0002688959720093,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.3754066365373846,-0.0424980196015429,0.1937274084141937,0.0463138940121647,0.05,0.9803921568627452,-0.0020832362549775,0.009496441588931,-0.0021249009800771,-0.0212490098007714,-0.0042498019601542,False,-0.18661822486051824,0.44330065173795785,0.22799658037783227,0.5003073373446785,0.019584842485487836,0.20331997505524746,1
R1_low_expansion_low_friction,a050_mu010_g002,R1,20,0.0010358063469621,0.0006179546432402,-0.0004178517037218,0.1496785040177828,0.3408410271790745,0.1911625231612916,0.0031867431485022,0.045889348500517,0.0427026053520148,0.7230748274609516,0.6758816232500443,-0.0471932042109073,0.6329070320894471,0.589417441186051,-0.0434895909033961,4.540501271340356e-05,0.0003101187311713,0.0002647137184579,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.405760898300131,-0.0434895909033961,0.1911625231612916,0.0427026053520148,0.05,0.9803921568627452,-0.0021318426913429,0.0093707119196711,-0.0021744795451698,-0.021744795451698,-0.0043489590903396,False,-0.2015138375104815,0.2846467601560305,0.11964667974824823,0.44060014561297134,-0.2596566109807954,0.19960609015532965,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,21,0.001027342277169,0.0006223667456171,-0.0004049755315519,0.1523987846286844,0.3536063798991316,0.2012075952704471,0.0038247011952191,0.0470726300691094,0.0432479288738902,0.7196652719665272,0.6704706258273612,-0.049194646139166,0.6299649835157286,0.5867663376757942,-0.0431986458399343,0.0005977286312014,0.000684712648925,8.698401772356667e-05,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.3932573063803424,-0.0431986458399343,0.2012075952704471,0.0432479288738902,0.05,0.9803921568627452,-0.0021175806784281,0.0098631174152179,-0.0021599322919967,-0.0215993229199671,-0.0043198645839934,False,-0.19538316649185394,0.3499448340231835,0.15143851222246077,0.6744363555180947,-0.21748968742849223,0.041780256854715876,0
