group,tier,bytes,mb,path
atom_dump,archive_required,1905982,1.818,runs/long_cycle_force_probe/a150_mu030_g020_c30/cycle_1_hot.dump
atom_dump,archive_required,1906145,1.818,runs/regime_matrix_10k/a150_mu030_g020/cycle_1_hot.dump
atom_dump,archive_required,1904830,1.817,runs/contact_force_probe/a150_mu060_g020/cycle_2_hot.dump
atom_dump,archive_required,1904830,1.817,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_2_hot.dump
atom_dump,archive_required,1904263,1.816,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_2_hot.dump
atom_dump,archive_required,1904155,1.816,runs/regime_matrix_10k/a150_mu060_g002/cycle_4_hot.dump
atom_dump,archive_required,1904263,1.816,runs/regime_matrix_10k/a150_mu060_g020/cycle_2_hot.dump
atom_dump,archive_required,1902648,1.815,runs/regime_matrix_10k/a150_mu060_g000/cycle_5_hot.dump
atom_dump,archive_required,1901842,1.814,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_5_hot.dump
atom_dump,archive_required,1900736,1.813,runs/free_quasistatic_10k_prod/cycle_2_cold.dump
atom_dump,archive_required,1900915,1.813,runs/free_quasistatic_10k_prod/cycle_5_cold.dump
atom_dump,archive_required,1901266,1.813,runs/free_quasistatic_10k_prod/cycle_8_cold.dump
atom_dump,archive_required,1900779,1.813,runs/free_quasistatic_10k_prod/cycle_9_cold.dump
atom_dump,archive_required,1900703,1.813,runs/regime_matrix_10k/a150_mu030_g002/cycle_3_hot.dump
atom_dump,archive_required,1899701,1.812,runs/confined_structural_10k_prod/cycle_2_cold.dump
atom_dump,archive_required,1900444,1.812,runs/free_quasistatic_10k_prod/cycle_10_cold.dump
atom_dump,archive_required,1900506,1.812,runs/free_quasistatic_10k_prod/cycle_3_cold.dump
atom_dump,archive_required,1900402,1.812,runs/free_quasistatic_10k_prod/cycle_4_cold.dump
atom_dump,archive_required,1900430,1.812,runs/free_quasistatic_10k_prod/cycle_6_cold.dump
atom_dump,archive_required,1900287,1.812,runs/free_quasistatic_10k_prod/cycle_7_cold.dump
atom_dump,archive_required,1898728,1.811,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_3_hot.dump
atom_dump,archive_required,1899307,1.811,runs/regime_matrix_10k/a150_mu030_g000/cycle_3_hot.dump
atom_dump,archive_required,1898032,1.810,runs/free_quasistatic_10k_prod/cycle_1_cold.dump
atom_dump,archive_required,1896518,1.809,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_6_hot.dump
atom_dump,archive_required,1896733,1.809,runs/regime_matrix_10k/a150_mu060_g000/cycle_6_hot.dump
atom_dump,archive_required,1896669,1.809,runs/regime_matrix_10k/a150_mu060_g002/cycle_5_hot.dump
atom_dump,archive_required,1896259,1.808,runs/confined_structural_10k_precompressed_prod/cycle_1_hot.dump
atom_dump,archive_required,1893505,1.806,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_3_hot.dump
atom_dump,archive_required,1894000,1.806,runs/regime_matrix_10k/a150_mu060_g002/cycle_6_hot.dump
atom_dump,archive_required,1893505,1.806,runs/regime_matrix_10k/a150_mu060_g020/cycle_3_hot.dump
atom_dump,archive_required,1892464,1.805,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_7_hot.dump
atom_dump,archive_required,1891716,1.804,runs/contact_force_probe/a150_mu060_g020/cycle_3_hot.dump
atom_dump,archive_required,1891716,1.804,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_3_hot.dump
atom_dump,archive_required,1891937,1.804,runs/regime_matrix_10k/a150_mu060_g000/cycle_7_hot.dump
atom_dump,archive_required,1890447,1.803,runs/regime_matrix_10k/a150_mu060_g000/cycle_8_hot.dump
atom_dump,archive_required,1890011,1.802,runs/regime_matrix_10k/a150_mu060_g002/cycle_7_hot.dump
atom_dump,archive_required,1886640,1.799,runs/confined_structural_10k_precompressed_prod/cycle_2_hot.dump
atom_dump,archive_required,1886552,1.799,runs/contact_force_probe/a150_mu060_g020/cycle_4_hot.dump
atom_dump,archive_required,1886552,1.799,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_4_hot.dump
atom_dump,archive_required,1886007,1.799,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_4_hot.dump
atom_dump,archive_required,1886007,1.799,runs/regime_matrix_10k/a150_mu060_g020/cycle_4_hot.dump
atom_dump,archive_required,1885030,1.798,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_8_hot.dump
atom_dump,archive_required,1885527,1.798,runs/regime_matrix_10k/a150_mu060_g002/cycle_8_hot.dump
atom_dump,archive_required,1884522,1.797,runs/regime_matrix_10k/a150_mu030_g000/cycle_4_hot.dump
atom_dump,archive_required,1883352,1.796,runs/regime_matrix_10k/a150_mu030_g002/cycle_4_hot.dump
atom_dump,archive_required,1882157,1.795,runs/long_cycle_force_probe/a150_mu030_g020_c30/cycle_2_hot.dump
atom_dump,archive_required,1881020,1.794,runs/regime_matrix_10k/a150_mu030_g020/cycle_2_hot.dump
atom_dump,archive_required,1880087,1.793,runs/regime_matrix_10k/a150_mu060_g000/cycle_9_hot.dump
atom_dump,archive_required,1876493,1.790,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_4_hot.dump
atom_dump,archive_required,1875733,1.789,runs/regime_matrix_10k/a100_mu060_g000/cycle_1_hot.dump
atom_dump,archive_required,1874977,1.788,runs/contact_force_probe/a100_mu060_g000/cycle_1_hot.dump
atom_dump,archive_required,1873017,1.786,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_14_hot.dump
atom_dump,archive_required,1871853,1.785,runs/regime_matrix_10k/a150_mu010_g000/cycle_1_hot.dump
atom_dump,archive_required,1871894,1.785,runs/regime_matrix_10k/a150_mu030_g000/cycle_8_hot.dump
atom_dump,archive_required,1870779,1.784,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_8_hot.dump
atom_dump,archive_required,1870193,1.784,runs/regime_matrix_10k/a100_mu060_g002/cycle_1_hot.dump
atom_dump,archive_required,1869096,1.783,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_17_hot.dump
atom_dump,archive_required,1868330,1.782,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_23_hot.dump
atom_dump,archive_required,1867792,1.781,runs/regime_matrix_10k/a150_mu030_g002/cycle_8_hot.dump
atom_dump,archive_required,1866235,1.780,runs/contact_force_probe/a150_mu060_g020/cycle_5_hot.dump
atom_dump,archive_required,1866192,1.780,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_13_hot.dump
atom_dump,archive_required,1866914,1.780,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_15_hot.dump
atom_dump,archive_required,1866908,1.780,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_20_hot.dump
atom_dump,archive_required,1866199,1.780,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_24_hot.dump
atom_dump,archive_required,1866652,1.780,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_9_hot.dump
atom_dump,archive_required,1866235,1.780,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_5_hot.dump
atom_dump,archive_required,1865137,1.779,runs/contact_force_probe/a150_mu010_g002/cycle_1_hot.dump
atom_dump,archive_required,1865802,1.779,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_10_hot.dump
atom_dump,archive_required,1865607,1.779,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_16_hot.dump
atom_dump,archive_required,1865615,1.779,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_18_hot.dump
atom_dump,archive_required,1865350,1.779,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_22_hot.dump
atom_dump,archive_required,1865572,1.779,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_30_hot.dump
atom_dump,archive_required,1864985,1.779,runs/regime_matrix_10k/a150_mu010_g002/cycle_1_hot.dump
atom_dump,archive_required,1865278,1.779,runs/regime_matrix_10k/a150_mu030_g000/cycle_10_hot.dump
atom_dump,archive_required,1865335,1.779,runs/regime_matrix_10k/a150_mu030_g002/cycle_10_hot.dump
atom_dump,archive_required,1865672,1.779,runs/regime_matrix_10k/a150_mu060_g000/cycle_10_hot.dump
atom_dump,archive_required,1863557,1.777,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_5_hot.dump
atom_dump,archive_required,1863067,1.777,runs/regime_matrix_10k/a150_mu030_g000/cycle_9_hot.dump
atom_dump,archive_required,1863557,1.777,runs/regime_matrix_10k/a150_mu060_g020/cycle_5_hot.dump
atom_dump,archive_required,1862294,1.776,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_21_hot.dump
atom_dump,archive_required,1862348,1.776,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_7_hot.dump
atom_dump,archive_required,1861971,1.776,runs/regime_matrix_10k/a150_mu030_g020/cycle_4_hot.dump
atom_dump,archive_required,1862348,1.776,runs/regime_matrix_10k/a150_mu060_g020/cycle_7_hot.dump
atom_dump,archive_required,1861408,1.775,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_12_hot.dump
atom_dump,archive_required,1861698,1.775,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_28_hot.dump
atom_dump,archive_required,1861284,1.775,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_8_hot.dump
atom_dump,archive_required,1861010,1.775,runs/regime_matrix_10k/a150_mu060_g002/cycle_10_hot.dump
atom_dump,archive_required,1861344,1.775,runs/regime_matrix_10k/a150_mu060_g002/cycle_9_hot.dump
atom_dump,archive_required,1861284,1.775,runs/regime_matrix_10k/a150_mu060_g020/cycle_8_hot.dump
atom_dump,archive_required,1859822,1.774,runs/confined_structural_10k_precompressed_prod/cycle_1_cold.dump
atom_dump,archive_required,1860512,1.774,runs/contact_force_probe/a150_mu060_g020/cycle_8_hot.dump
atom_dump,archive_required,1860554,1.774,runs/long_cycle_force_probe/a150_mu030_g020_c30/cycle_4_hot.dump
atom_dump,archive_required,1860056,1.774,runs/long_cycle_force_probe/a150_mu030_g020_c30/cycle_5_hot.dump
atom_dump,archive_required,1859969,1.774,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_11_hot.dump
atom_dump,archive_required,1860501,1.774,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_19_hot.dump
atom_dump,archive_required,1860512,1.774,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_8_hot.dump
atom_dump,archive_required,1860402,1.774,runs/regime_matrix_10k/a150_mu030_g000/cycle_6_hot.dump
atom_dump,archive_required,1859757,1.774,runs/regime_matrix_10k/a150_mu030_g002/cycle_6_hot.dump
atom_dump,archive_required,1860061,1.774,runs/regime_matrix_10k/a150_mu030_g002/cycle_7_hot.dump
atom_dump,archive_required,1859380,1.773,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_6_hot.dump
atom_dump,archive_required,1858766,1.773,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_25_hot.dump
atom_dump,archive_required,1859077,1.773,runs/regime_matrix_10k/a150_mu030_g020/cycle_6_hot.dump
atom_dump,archive_required,1858503,1.772,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_27_hot.dump
atom_dump,archive_required,1858511,1.772,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_10_hot.dump
atom_dump,archive_required,1857827,1.772,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_6_hot.dump
atom_dump,archive_required,1858246,1.772,runs/regime_matrix_10k/a150_mu030_g000/cycle_7_hot.dump
atom_dump,archive_required,1858511,1.772,runs/regime_matrix_10k/a150_mu060_g020/cycle_10_hot.dump
atom_dump,archive_required,1857827,1.772,runs/regime_matrix_10k/a150_mu060_g020/cycle_6_hot.dump
atom_dump,archive_required,1857627,1.772,runs/stiffness_sensitivity/E5e8/a150_mu060_g020/cycle_2_hot.dump
atom_dump,archive_required,1857253,1.771,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_26_hot.dump
atom_dump,archive_required,1857335,1.771,runs/regime_matrix_10k/a150_mu030_g020/cycle_5_hot.dump
