perm,run,tag,regime_id,cycle,null_beta1_birth_area_delta,overload_asinh,beta1_birth_area_delta
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10226962050839705,0.4723967156796417,-0.0776029168994541
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10503855989235217,0.4723967156796417,-0.0776029168994541
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.0984830067481885,0.4723967156796417,-0.0776029168994541
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10732971032826977,0.4723967156796417,-0.0776029168994541
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10321589511477292,0.4723967156796417,-0.0776029168994541
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10288810609175428,0.4723967156796417,-0.0776029168994541
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10092014822861578,0.4723967156796417,-0.0776029168994541
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10117593093485283,0.4723967156796417,-0.0776029168994541
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.10022135910459884,0.4723967156796417,-0.0776029168994541
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.051788704289307486,-0.6397629609502089,-0.0480966680837021
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.0547957915224368,-0.6397629609502089,-0.0480966680837021
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05357405081631439,-0.6397629609502089,-0.0480966680837021
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05145463180873966,-0.6397629609502089,-0.0480966680837021
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.052817449945724015,-0.6397629609502089,-0.0480966680837021
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05709980635010625,-0.6397629609502089,-0.0480966680837021
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05598550535867175,-0.6397629609502089,-0.0480966680837021
