Cycle,BedHeight_m,Porosity,k_eff_W_mK,cycle,z_mean,contact_survival,contacts_broken,contacts_created,rms_displacement_m,phi_voro_mean,phi_voro_std,compactivity_like_theta,free_volume_entropy,coordination_entropy_Hz,cumulative_edge_entropy,persistent_edge_fraction,edge_pool,nonGaussian_alpha2,irreversible_work_proxy_J,activity_index,memory_index,free_volume_width_norm,transport_norm,work_norm,rms_norm,edge_pool_norm,cycle_fraction
11,0.0131614408489977,0.430941511984989,0.483411153871543,11,6.2583325091484525,0.9105241540551642,2832,2820,0.0002268595334059,0.6069401010822203,0.0941786755833495,7.418972881045121e-11,1.9144078874551336,1.7877797475749355,0.3462402360746007,0.334316238346905,44087,0.1872293360872323,2.895066207917887e-05,0.002503489038404537,0.8095007238045977,0.9317387840220085,1.2566786739529072,0.03290126342740962,0.16239144052842708,1.505035332673335,0.5263157894736842
12,0.0131280583671693,0.429494490338363,0.486782210653652,12,6.274156858866581,0.9112593618226446,2820,2761,0.000224872654192,0.6079362382751876,0.0925939805482383,7.075417237866998e-11,1.9228883872177327,1.7846262351943327,0.3508758988367969,0.3186477938042576,44579,0.169553377446783,2.8439289352960757e-05,0.0010031049765304167,0.8519610455862594,0.9160609056072342,1.265442094351532,0.03232010888493734,0.1609691852109751,1.5218311542006622,0.5789473684210527
13,0.0131136729769902,0.428868659240531,0.488245768611297,13,6.284838294926318,0.9102390901379246,2857,2801,0.0002249973204026,0.6084722360599019,0.0923755476251958,7.929568945349508e-11,1.9035408195560983,1.7834714708278212,0.3547420645938897,0.305197403521252,44984,0.1610763489701827,2.8350280544146532e-05,0.0006511137876816139,0.8612062999054462,0.913899881098816,1.2692467688170188,0.03221895395251654,0.16105842424457717,1.5356569828969378,0.631578947368421
14,0.0130855757225999,0.42764233011969,0.49112346185204,14,6.3028384927306895,0.9111125031320472,2838,2774,0.0002259111101838,0.6094975775989971,0.0903582926144964,7.424984742692682e-11,1.8940538209400304,1.7829892936098326,0.3580810776181793,0.293602663902794,45347,0.1510343300483514,2.9483036675946906e-05,0.000936462022795054,0.909613635898047,0.8939425529766136,1.2767276382526072,0.0335062857513351,0.16171253666683857,1.5480490219506367,0.6842105263157895
15,0.0130794418519415,0.427373911332625,0.491755069745958,15,6.312530906933043,0.9107826523567438,2843,2890,0.0002273320424872,0.6094347942583607,0.0913303825486439,7.406515213455839e-11,1.905458469450932,1.7855367060051115,0.3609649070338606,0.2833227564172703,45697,0.1610441133456526,3.091720723130922e-05,0.002318059653037406,0.900048973255512,0.9035597395381407,1.278369570103435,0.03513616292349642,0.16272967374800168,1.5599972689721093,0.7368421052631579
16,0.0131007296315592,0.428304389124452,0.489568262629069,16,6.293343882899812,0.9092652560757066,2886,2895,0.0002271096857007,0.6092165564182263,0.0928516611892729,7.444026968839797e-11,1.8997749681707343,1.7809455387449258,0.3637725907514658,0.2720109403490492,46068,0.1561562553150679,3.0773509727358804e-05,0.0019952817757122386,0.8590222421886103,0.918610219936157,1.272684732577793,0.034972856487933614,0.162570505480621,1.5726624108148703,0.7894736842105263
17,0.0131261636320146,0.42941213902267,0.486974602888873,17,6.299080209672634,0.91072438273544,2842,2853,0.0002262081896738,0.6089523523829345,0.0944664719267191,7.068976450272442e-11,1.8952147577215963,1.7919744449104995,0.3663586847426512,0.2629491518116957,46393,0.1579450408002896,2.9362173574842116e-05,0.0012611235530770916,0.832833875361945,0.9345860423143579,1.2659422384154413,0.033368929696498545,0.16192519321958848,1.5837572116205236,0.8421052631578947
18,0.0130354707008172,0.425442333343582,0.496318688606534,18,6.301453862130353,0.9100125549278092,2867,2864,0.0002261248440244,0.6107296332493308,0.0908847814423878,6.561780826068623e-11,1.9062482001534864,1.797374572387152,0.368857410612377,0.2539413931968126,46684,0.1743848757577013,3.071988659731827e-05,0.0024524833594296532,0.9151970144439749,0.8991512698890378,1.2902331823767652,0.03491191595667942,0.16186553242480217,1.5936913255726624,0.8947368421052632
19,0.0130073470631751,0.424200062222264,0.499270937199485,19,6.303629710216596,0.910690164294914,2843,2878,0.0002263833382533,0.6116816799920501,0.0887963952551476,7.149958888707704e-11,1.8913965207935295,1.7922318403061004,0.3710125454385494,0.2456808510638297,47000,0.1498595732379704,3.134250654782802e-05,0.0017494197505362958,0.9583363229977294,0.8784902190235957,1.2979078663745507,0.03561949849661776,0.16205056873149443,1.6044788857406207,0.9473684210526315
20,0.0129765148684308,0.422831961773468,0.502537884319277,20,6.324596973593116,0.9116541353383458,2820,2874,0.0002254728927852,0.6122960101697944,0.0875530591727168,6.370374019428319e-11,1.907847657697186,1.7887647842874208,0.3729410313615198,0.238404295801446,47302,0.1534630880988519,3.0294637999830228e-05,0.0012304127987966971,0.9978490536084953,0.8661895103716727,1.3064006426406636,0.03442863802369726,0.16139885024795683,1.61478851602772,1.0
