predictor,predictor_column,target,lag_cycles,n,mi_bits,normalised_mi,route_centered_spearman,circular_shift_p,null_q025,null_q975
loop activation,loop_z,overload tertile,1,145,0.11581340978904729,0.0730732824757857,0.2249370177924736,0.12035185925629747,0.007426073400565806,0.18553905819981067
loop activation,loop_z,rare overload,1,145,0.09029769339082439,0.13307134747574553,0.14425091615468047,0.021191523390643743,0.00040326392106163327,0.086691988897108
loop activation,loop_z,overload tertile,2,140,0.5801636697880503,0.3660595622141485,0.8262797664603881,0.00039984006397441024,0.011047231602037865,0.24247449763202167
loop activation,loop_z,rare overload,2,140,0.2664710342157501,0.4134766902079651,0.34177747610022274,0.00039984006397441024,0.0006454532270487347,0.08494194448988655
loop activation,loop_z,overload tertile,3,135,0.0215648345772452,0.01360589576563056,0.1046044288362111,0.8424630147940824,0.007965347144907937,0.18558659443891842
loop activation,loop_z,rare overload,3,135,0.025732597835557307,0.04252010673915575,-0.022620423153676916,0.3954418232706917,0.0006366023072539176,0.09386444707000483
loop activation,loop_z,overload tertile,4,130,0.37331551414714736,0.23554851990384149,0.7196192765161342,0.00039984006397441024,0.01388083803868468,0.2290893828465524
loop activation,loop_z,rare overload,4,130,0.10536513684783466,0.18160281782570376,0.17258863091272783,0.008796481407437025,0.0018719136417676033,0.08922278361164221
loop activation,loop_z,overload tertile,5,125,0.02394695156994556,0.015109726850295994,0.017364055299539168,0.8132746901239504,0.007634188943704798,0.17652637709276303
loop activation,loop_z,rare overload,5,125,1.2663919513630816e-05,2.392303689989661e-05,-0.0672579440243023,1.0,1.2663919513630816e-05,0.08635312479269008
loop activation,loop_z,overload tertile,6,120,0.31898477494570787,0.2012569854495423,0.6183346065699007,0.0007996801279488205,0.012427651140194462,0.22210904268372356
loop activation,loop_z,rare overload,6,120,0.07275622557829106,0.14702141131138577,0.14054469855349222,0.09196321471411435,0.001016353142824531,0.09633834040700083
top-5% tail,tail_z,overload tertile,0,150,0.13037877232863207,0.082259846696253,-0.370212009422641,0.08836465413834466,0.009135575996130102,0.16794896546693602
top-5% tail,tail_z,rare overload,0,150,0.08776454490592704,0.12156964873298132,-0.3856785505483581,0.027189124350259896,0.0012038803614930985,0.08776454490592704
top-5% tail,tail_z,overload tertile,1,145,0.05695395262768256,0.035935495518661056,0.17801527318532515,0.3510595761695322,0.005743355838541893,0.1399448850686193
top-5% tail,tail_z,rare overload,1,145,0.010389289244068794,0.015310653762103617,-0.063097013002101,0.6505397840863655,0.00040326392106163327,0.08273602785930118
top-5% tail,tail_z,overload tertile,2,140,0.09945479466997995,0.0627519103536613,-0.35187946906912165,0.249500199920032,0.009850716303228887,0.186040758946062
top-5% tail,tail_z,rare overload,2,140,0.07883656611650554,0.12232880215724187,-0.1846656441110573,0.03598560575769692,0.0006454532270487347,0.08494194448988655
top-5% tail,tail_z,overload tertile,3,135,0.041221255756831235,0.026007716736563553,0.21929567847039316,0.4750099960015994,0.005716544723472772,0.13300420247606362
top-5% tail,tail_z,rare overload,3,135,0.0006366023072539176,0.0010519108186358972,0.06778409389968292,0.9772091163534586,0.0006366023072539176,0.07600880693952299
top-5% tail,tail_z,overload tertile,4,130,0.0341368892187423,0.021539136266452416,-0.35420120444086356,0.7385045981607357,0.006930499248002903,0.169321364175527
top-5% tail,tail_z,rare overload,4,130,0.01359582615261274,0.02343318116265144,-0.07399397756195246,0.6345461815273891,0.0018719136417676033,0.08342672710020944
top-5% tail,tail_z,overload tertile,5,125,0.07787334667473392,0.049135481555421634,0.22458986175115206,0.18032786885245902,0.006864180619297626,0.13162501759976272
top-5% tail,tail_z,rare overload,5,125,0.017319181013896706,0.032717154118476366,0.12287502792933333,0.5177928828468612,1.2663919513630816e-05,0.0749245703799463
top-5% tail,tail_z,overload tertile,6,120,0.10143364793125467,0.06399750649312048,-0.3597194249600666,0.1951219512195122,0.011769114728834074,0.16854429872678067
top-5% tail,tail_z,rare overload,6,120,0.001016353142824531,0.0020537853944612885,0.016864507216528702,1.0,0.001016353142824531,0.08213875573477913
cold loop memory,cold_loop_z,overload tertile,0,150,0.06721701666622584,0.04240921576103042,0.04440552913462821,0.06397441023590564,0.004083856173334996,0.08464105906804278
cold loop memory,cold_loop_z,rare overload,0,150,0.008217103933541088,0.01138216394642897,0.13702750897726093,0.6429428228708517,0.0012038803614930985,0.042455300919612374
cold loop memory,cold_loop_z,overload tertile,1,145,0.05911373633247416,0.037298226182012624,0.20688080617225635,0.08316673330667733,0.0032078886665734196,0.0845361952169095
cold loop memory,cold_loop_z,rare overload,1,145,0.06274342838532743,0.0924647379899948,0.18782639589517616,0.006397441023590564,0.00040326392106163284,0.04292948265792835
cold loop memory,cold_loop_z,overload tertile,2,140,0.05052300110928132,0.03187794863915726,0.08242986158185915,0.12794882047181128,0.00325436134310232,0.08335646984085238
cold loop memory,cold_loop_z,rare overload,2,140,0.003936045598334589,0.006107467219830465,-0.18321594135329233,0.7548980407836865,0.0003811944049390134,0.04806534819676141
cold loop memory,cold_loop_z,overload tertile,3,135,0.04441242026180559,0.02802111737129301,0.10433616232562679,0.21591363454618154,0.0035202325747197352,0.1025315430051543
cold loop memory,cold_loop_z,rare overload,3,135,0.021693619948535563,0.03584616841506059,-0.12652267976414844,0.21631347461015593,0.0006366023072539172,0.05003275393061755
cold loop memory,cold_loop_z,overload tertile,4,130,0.02825974988706073,0.017830874974368572,0.039582678993295005,0.40863654538184724,0.0030084743896039573,0.09586165344704531
cold loop memory,cold_loop_z,rare overload,4,130,0.002463964014256418,0.004246782393082364,-0.18461656889737207,0.7588964414234306,1.3645024950943718e-05,0.05314619948938982
cold loop memory,cold_loop_z,overload tertile,5,125,0.09839819933169903,0.06208597825574214,0.05988940092165898,0.05797680927628948,0.00429190648291708,0.12095071470548935
cold loop memory,cold_loop_z,rare overload,5,125,0.011408180444617024,0.021550857255804273,-0.21703550356667958,0.47980807676929227,1.2663919513630816e-05,0.048943014898525226
cold loop memory,cold_loop_z,overload tertile,6,120,0.03819524876382106,0.024098518890158138,0.08845753177303979,0.485405837664934,0.003605361545106378,0.13374564199097386
cold loop memory,cold_loop_z,rare overload,6,120,0.007152415791484578,0.014453172296827722,-0.23812684189738528,0.7313074770091963,0.001016353142824531,0.07303738390655794
