scope,predictor,target,n,spearman_rho,spearman_p,pearson_r,pearson_p
long_cycle_pooled,force_share_top5_edges_delta,overload_delta,90,-0.7471128122813515,2.7684704615161502e-17,-0.6860045700539124,8.575848284912973e-14
long_cycle_pooled,fabric_reservoir,loop_activation,90,-0.7556076881919578,7.538307845123179e-18,-0.8128130984927713,2.3103761961953033e-22
long_cycle_pooled,thermal_rewrite,loop_activation,90,0.7496481047042844,1.887959604851382e-17,0.7865864165345821,4.023654305208124e-20
long_cycle_pooled,Z_geom_cold,loop_activation,90,-0.6131671660673311,1.3247308121413465e-10,-0.8205996246598426,4.262713018391238e-23
long_cycle_pooled,force_h1_birth_force_share_cold,loop_activation,90,-0.7927316129563319,1.2842719579748381e-20,-0.8511541519288912,2.3148860704767242e-26
long_cycle_pooled,cycle_birth_positive_fraction_delta,loop_activation,90,0.9273655183767543,2.4498342717720433e-39,0.9511750051113123,1.0543597022519023e-46
long_cycle_pooled,force_h1_birth_force_share_delta,loop_activation,90,1.0,0.0,1.0,0.0
long_cycle_pooled,force_share_top5_edges_delta,loop_activation,90,-0.7548997818660739,8.418406078813377e-18,-0.807744291214857,6.658422637406084e-22
long_cycle_within_regime,fabric_reservoir,force_p99_cold,90,0.19700374531835205,0.06273005381610129,0.34061952323683964,0.0010196460341311204
long_cycle_within_regime,thermal_rewrite,force_p99_cold,90,-0.3792484668889163,0.0002275489511038728,-0.461015671247669,4.8145061663924955e-06
long_cycle_within_regime,Z_geom_cold,force_p99_cold,90,-0.08162391755569412,0.4443872891712459,0.2854599201526445,0.0063864754604768545
long_cycle_within_regime,force_h1_birth_force_share_cold,force_p99_cold,90,0.3793801703914063,0.00022631428609544774,0.5155617349545616,1.992794241184578e-07
long_cycle_within_regime,cycle_birth_positive_fraction_delta,force_p99_cold,90,-0.30450672922583033,0.003522178827899147,-0.49884200598913,5.611946454632203e-07
long_cycle_within_regime,force_h1_birth_force_share_delta,force_p99_cold,90,-0.23098324896077702,0.028496661654042892,-0.5022050527505079,4.5770342652952923e-07
long_cycle_within_regime,force_share_top5_edges_delta,force_p99_cold,90,-0.2053833806642795,0.05214219773535131,-0.06709538585788331,0.5297853267450578
long_cycle_within_regime,fabric_reservoir,force_p99_hot,90,-0.25627032143886075,0.014765814691700848,-0.10642097817652298,0.31812230852800794
long_cycle_within_regime,thermal_rewrite,force_p99_hot,90,0.6066016380623122,2.3454188166304083e-10,0.7423485293307643,5.615472855309101e-17
long_cycle_within_regime,Z_geom_cold,force_p99_hot,90,0.500477429143425,5.08370843528523e-07,0.23580559124373116,0.02525824541538153
long_cycle_within_regime,force_h1_birth_force_share_cold,force_p99_hot,90,-0.11007943367493928,0.30167399501259096,0.014877576991096278,0.8893112036847063
long_cycle_within_regime,cycle_birth_positive_fraction_delta,force_p99_hot,90,0.6998147919496234,1.664899339610422e-14,0.6459930681977206,6.181396974471681e-12
long_cycle_within_regime,force_h1_birth_force_share_delta,force_p99_hot,90,0.7462238136395439,3.16278085702357e-17,0.6259325682453996,4.1980240403954896e-11
long_cycle_within_regime,force_share_top5_edges_delta,force_p99_hot,90,-0.38273860970490187,0.00019684328361182542,-0.5623191453522184,8.042647050683227e-09
long_cycle_within_regime,fabric_reservoir,overload_delta,90,-0.29724657365106805,0.004439505188524275,-0.11759665035525728,0.26965370513333614
long_cycle_within_regime,thermal_rewrite,overload_delta,90,0.653751491953739,2.835081748068591e-12,0.7529105839132053,1.1458289832389145e-17
long_cycle_within_regime,Z_geom_cold,overload_delta,90,0.4556402489371053,6.403102772146422e-06,0.2239607197895165,0.03383666653039613
long_cycle_within_regime,force_h1_birth_force_share_cold,overload_delta,90,-0.15908959953903773,0.13420713176924423,-0.0033800794019927644,0.9747766119756403
long_cycle_within_regime,cycle_birth_positive_fraction_delta,overload_delta,90,0.7406099518459068,7.24099380711284e-17,0.6586213248143269,1.7179830377575503e-12
long_cycle_within_regime,force_h1_birth_force_share_delta,overload_delta,90,0.7919249290035806,1.495239607820495e-20,0.6388321978943814,1.2446577515698549e-11
long_cycle_within_regime,force_share_top5_edges_delta,overload_delta,90,-0.3861793637074536,0.0001703589275351261,-0.5556686042595462,1.3088640101226375e-08
long_cycle_within_regime,fabric_reservoir,loop_activation,90,-0.3053628019920155,0.0034260429009263294,-0.31143079737506224,0.0028092540645490516
long_cycle_within_regime,thermal_rewrite,loop_activation,90,0.7839074782895007,6.542649186374285e-20,0.7523002619857931,1.258769043486731e-17
long_cycle_within_regime,Z_geom_cold,loop_activation,90,0.351461920923303,0.0006820330304431011,0.001618469919781684,0.987920861535967
long_cycle_within_regime,force_h1_birth_force_share_cold,loop_activation,90,-0.2503765897024324,0.017306945135225533,-0.3471360206049461,0.0008021030045163188
long_cycle_within_regime,cycle_birth_positive_fraction_delta,loop_activation,90,0.8154504671358603,1.3150792786294933e-22,0.8356143277876791,1.28468079583667e-24
long_cycle_within_regime,force_h1_birth_force_share_delta,loop_activation,90,1.0,0.0,0.9999999999999996,0.0
long_cycle_within_regime,force_share_top5_edges_delta,loop_activation,90,-0.4777462238136395,1.920500763110833e-06,-0.580549169438597,2.000381121271524e-09
