run,tag,regime_id,cycle,phase,n_contacts,edge_fraction,rank,beta1_birth_density,loop_force_share_partial,giant_component_fraction,added_force_fraction
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,cold,3626,1.0,3626,0.5033094318808604,0.4921359249742427,0.051953125,0.9999999999999984
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,hot,21836,0.01,219,0.4794520547945205,0.0330316011191235,0.000516795865633,0.0688534074105527
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,hot,21836,0.02,437,0.4874141876430206,0.0565541594472334,0.0007751937984496,0.1164207482639971
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,hot,21836,0.05,1092,0.4853479853479853,0.1093827110218945,0.0024547803617571,0.2253717426190186
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,hot,21836,0.1,2184,0.4922161172161172,0.1753346528251497,0.0045219638242894,0.3574573000352945
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,hot,21836,0.2,4368,0.4951923076923077,0.2687349603953897,0.0263565891472868,0.5449682412139505
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,hot,21836,0.4,8735,0.5219232970807098,0.39601535542876,0.3608527131782946,0.7785958930759986
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,hot,21836,0.8,17469,0.61068177915164,0.5324995855896361,0.8080103359173126,0.9794589527771846
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,hot,21836,1.0,21836,0.6586829089576846,0.549398874342601,0.905813953488372,1.000000000000004
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,cold,1965,0.01,20,0.5,0.0355578109709004,0.0012187690432663,0.0715974594609221
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,cold,1965,0.02,40,0.45,0.0521629673253052,0.0018281535648994,0.1126991626067123
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,cold,1965,0.05,99,0.4747474747474747,0.1001891167410667,0.0018281535648994,0.2096448188116641
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,cold,1965,0.1,197,0.482233502538071,0.1628441093055384,0.0018281535648994,0.3377141703640987
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,cold,1965,0.2,393,0.4809160305343511,0.255777874409244,0.0024375380865326,0.5307856514616672
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,cold,1965,0.4,786,0.4910941475826972,0.3778322140492349,0.0036563071297989,0.7739239525510367
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,cold,1965,0.8,1572,0.4917302798982188,0.4812884396542549,0.0060938452163315,0.9838100337745308
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,cold,1965,1.0,1965,0.4997455470737914,0.4892380603935453,0.0073126142595978,1.0000000000000002
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,hot,6361,0.01,64,0.484375,0.084613945580318,0.0006535947712418,0.1746464640103372
