run,tag,regime_id,cycle,force_p99_cold,force_p99_hot,force_p99_hot_minus_cold,force_share_top5_edges_cold,force_share_top5_edges_hot,force_share_top5_edges_hot_minus_cold,giant_fraction_after_top5_edges_cold,giant_fraction_after_top5_edges_hot,giant_fraction_after_top5_edges_hot_minus_cold,force_h1_birth_fraction_cold,force_h1_birth_fraction_hot,force_h1_birth_fraction_hot_minus_cold,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_h1_birth_force_share_hot_minus_cold,bottom_side_percolation_edge_fraction_cold,bottom_side_percolation_edge_fraction_hot,bottom_side_percolation_edge_fraction_hot_minus_cold
R1_low_expansion_low_friction,a050_mu010_g002,R1,21,0.0010273422771690688,0.0006223667456171464,-0.0004049755315519224,0.15239878462868447,0.35360637989913163,0.20120759527044715,0.0038247011952191236,0.0470726300691094,0.04324792887389028,0.7196652719665272,0.6704706258273612,-0.04919464613916602,0.6299649835157286,0.5867663376757942,-0.04319864583993438,0.0005977286312014345,0.0006847126489250012,8.698401772356667e-05
R1_low_expansion_low_friction,a050_mu010_g002,R1,22,0.0009985776544576572,0.0005704445784933559,-0.0004281330759643013,0.15337827447052962,0.3329721330243084,0.17959385855377877,0.005460093142765377,0.05436616063319061,0.04890606749042523,0.7208668330098882,0.6734383390012529,-0.04742849400863525,0.6299959169969548,0.5890116692631406,-0.04098424773381415,0.0003234451529433509,0.0009844281367460176,0.0006609829838026667
R1_low_expansion_low_friction,a050_mu010_g002,R1,23,0.0010352922078210348,0.0005680363601992249,-0.00046725584762180995,0.15394560295048343,0.34018104921318676,0.18623544626270333,0.0020736959642686232,0.055334921895684404,0.05326122593141578,0.7225565280816922,0.6681006265781352,-0.05445590150355706,0.6313888496024449,0.5828251755640363,-0.048563674038408555,0.00018234865061998541,0.0003273169363134761,0.0001449682856934907
R1_low_expansion_low_friction,a050_mu010_g002,R1,24,0.0010171485260414691,0.000537909990134928,-0.00047923853590654114,0.15071307947062598,0.3180024203034481,0.16728934083282213,0.0031665611146295125,0.05435205603839668,0.051185494923767165,0.7205002967088145,0.6753742947265539,-0.04512600198226069,0.6306763788729959,0.5908245770393309,-0.03985180183366499,4.564750992833341e-05,0.0006664001066240171,0.0006207525966956837
R1_low_expansion_low_friction,a050_mu010_g002,R1,25,0.001039644199910404,0.000584835333754946,-0.0004548088661554579,0.15203799377087046,0.33446176260309823,0.18242376883222777,0.0023610892491736186,0.05446451950772453,0.052103430258550916,0.7224550493443288,0.6732162260050706,-0.04923882333925822,0.6311961084717898,0.5878537052432751,-0.04334240322851468,0.002117975755937092,0.0007696486780152118,-0.00134832707792188
R1_low_expansion_low_friction,a050_mu010_g002,R1,26,0.0010134921046860478,0.000606973245073284,-0.0004065188596127638,0.1504857080024916,0.3350552133198478,0.18456950531735616,0.002723049815793689,0.0539872512033303,0.05126420138753661,0.722856360149758,0.6750603810716522,-0.04779597907810573,0.631735649411842,0.5880807192199538,-0.043654930191888264,0.0007761848233038079,0.00040254047768136685,-0.00037364434562244106
R1_low_expansion_low_friction,a050_mu010_g002,R1,27,0.0010154670012826987,0.0006202824568658427,-0.00039518454441685603,0.15216918498691592,0.33777962839782744,0.1856104434109115,0.0033370411568409346,0.05504587155963303,0.051708830402792096,0.7215,0.6781814129708046,-0.04331858702919544,0.6305116343960709,0.5926303126229142,-0.03788132177315673,0.002681818181818182,0.0004011589034989971,-0.002280659278319185
R1_low_expansion_low_friction,a050_mu010_g002,R1,28,0.0010119562441710818,0.0006194377734528904,-0.00039251847071819143,0.15109491987654533,0.32374652579123225,0.17265160591468692,0.0030669895076674736,0.05344108446298227,0.050374094955314794,0.7210176888434932,0.6743924392439244,-0.04662524959956871,0.6301899261841744,0.590316119495819,-0.039873806688355384,0.00023213705371651422,0.000225022502250225,-7.114551466289205e-06
R1_low_expansion_low_friction,a050_mu010_g002,R1,29,0.000993914325324119,0.0006138290792213369,-0.0003800852461027821,0.14877518622552163,0.3326188476439884,0.18384366141846678,0.0020944095376188173,0.05457653866386113,0.05248212912624231,0.7209570880872096,0.6718336828667821,-0.04912340522042746,0.6308484984637579,0.5880145289175811,-0.0428339695461768,0.0006004896300060049,0.0003191392358894866,-0.00028135039411651826
R1_low_expansion_low_friction,a050_mu010_g002,R1,30,0.0010193142635371865,0.000620187084697895,-0.00039912717883929156,0.151618020154821,0.3319574221795379,0.18033940202471688,0.003032237472071497,0.0566649377593361,0.0536327002872646,0.723404255319149,0.6752841542233118,-0.0481201010958372,0.6317364431344094,0.590256278465154,-0.041480164669255304,0.002693817916172039,0.00022286605749944285,-0.0024709518586725964
R3_intermediate,a100_mu030_g002,R3,1,0.0018405155352817914,0.0017034588769509567,-0.0001370566583308347,0.16046882267069246,0.2955313278432119,0.13506250517251944,0.002780503761858031,0.0021766169154228856,-0.0006038868464351452,0.6815477785519053,0.5540131834044203,-0.127534595147485,0.6010644066482509,0.5041564614605686,-0.09690794518768231,0.019186451578326814,0.0005428460643660334,-0.01864360551396078
R3_intermediate,a100_mu030_g002,R3,2,0.0008960872261189144,0.0009813392139650843,8.525198784616983e-05,0.18962651820261833,0.3393454695035967,0.14971895130097834,0.0016313213703099511,0.007398485891259464,0.005767164520949513,0.5213819763227833,0.5566198191746486,0.035237842851865375,0.49665599138829014,0.5108798695012972,0.014223878113007016,0.05387774824836917,0.008951750067138126,-0.04492599818123104
R3_intermediate,a100_mu030_g002,R3,3,0.0009063763883098713,0.002389249122864916,0.001482872734555045,0.18678108013508507,0.2826123649997547,0.0958312848646696,0.002007226013649137,0.0486102608056814,0.04660303479203226,0.520671206225681,0.6761470902076664,0.15547588398198542,0.4976998401180221,0.5845084482164442,0.08680860809842211,0.006809338521400778,0.00036936715094804237,-0.006439971370452736
R3_intermediate,a100_mu030_g002,R3,4,0.0008644623918522115,0.0012106671663055383,0.0003462047744533268,0.19930543397537206,0.3146601702708514,0.11535473629547935,0.0016625103906899418,0.019426048565121413,0.01776353817443147,0.5103229221810481,0.5990153527239749,0.08869243054292675,0.4938730313893163,0.5365772746819287,0.04270424329261241,0.010322922181048173,0.0019433827816285549,-0.008379539399419617
R3_intermediate,a100_mu030_g002,R3,5,0.0009330975454836434,0.002494857899303242,0.0015617603538195988,0.19497455105032618,0.26612292749862304,0.07114837644829686,0.00291970802919708,0.05157557853274249,0.04865587050354541,0.5213787085514834,0.6851674258770878,0.1637887173256044,0.4968436371740422,0.5943490445805563,0.09750540740651409,0.007635253054101222,0.00043954287540957405,-0.0071957101786916475
R3_intermediate,a100_mu030_g002,R3,6,0.0008911246935518963,0.0008417935185914036,-4.9331174960492714e-05,0.18643213538092346,0.3142748147596909,0.12784267937876742,0.0015704750687082843,0.008056222146040452,0.0064857470773321685,0.5283648498331479,0.5535698085820557,0.025204958748907824,0.49956774828263384,0.5101719147146285,0.010604166431994688,0.04382647385984427,0.006168919531887871,-0.0376575543279564
R3_intermediate,a100_mu030_g002,R3,7,0.0008738431507515996,0.002473667804337442,0.0015998246535858423,0.1864020197108914,0.26707807783404386,0.08067605812315246,0.0014104372355430183,0.036943955767780846,0.03553351853223783,0.518541797611565,0.6801101055177878,0.16156830790622279,0.4949766749406332,0.5887435637276373,0.09376688878700407,0.042949926670856904,0.001793385327605622,-0.04115654134325128
R3_intermediate,a100_mu030_g002,R3,8,0.0009365680741549704,0.0008424305278061769,-9.413754634879346e-05,0.18139025226368485,0.3037780678997312,0.12238781563604637,0.002172338884866039,0.01063264221158958,0.008460303326723541,0.548219584569733,0.5540208136234627,0.005801229053729706,0.5060853291431631,0.5099665840147988,0.0038812548716357087,0.030229970326409495,0.005014191106906339,-0.025215779219503156
R3_intermediate,a100_mu030_g002,R3,9,0.0009057579182122012,0.0024612584672953825,0.0015555005490831813,0.19537131085909584,0.28459331840843943,0.08922200754934359,0.0020913210177762286,0.05281779125600202,0.050726470238225796,0.5200930626057529,0.6762510602205258,0.1561579976147729,0.49705277912600343,0.5827216699551578,0.08566889082915441,0.013747884940778343,0.0010602205258693808,-0.012687664414908963
