run,cycle,transition,jaccard,survival_fraction_of_cold,created_fraction_of_hot
R6_high_expansion_high_friction,2,cold_to_hot_same_cycle,0.26179938114449103,0.8068565910188314,0.7206970038861727
R6_high_expansion_high_friction,3,cold_to_hot_same_cycle,0.2925504499861238,0.7632395531650806,0.6782506322490626
R6_high_expansion_high_friction,5,cold_to_hot_same_cycle,0.1975164920450136,0.6766617429837518,0.7818986859645781
R6_high_expansion_high_friction,10,cold_to_hot_same_cycle,0.18733089972085032,0.7033215091905837,0.7965959431102821
R6_high_expansion_high_friction,20,cold_to_hot_same_cycle,0.17055560868317873,0.6082878581173261,0.8084009238867702
R6_high_expansion_high_friction,30,cold_to_hot_same_cycle,0.16700201207243462,0.5990617105738001,0.8119832370596897
R6_high_expansion_high_friction,2,cold_cycle_to_cycle,0.25466072911163107,0.4046048686892913,0.5927088363109609
R6_high_expansion_high_friction,2,hot_cycle_to_cycle,0.6998077259220415,0.8107079215940386,0.16351176298524925
R6_high_expansion_high_friction,3,cold_cycle_to_cycle,0.2984232605236511,0.49806856591018833,0.5732312784443525
R6_high_expansion_high_friction,3,hot_cycle_to_cycle,0.6757249615618407,0.7896870168400819,0.17598325630068892
R6_high_expansion_high_friction,5,cold_cycle_to_cycle,0.1692154491784622,0.24606950765411667,0.6485967503692762
R6_high_expansion_high_friction,5,hot_cycle_to_cycle,0.5480393193108551,0.6782506322490626,0.2594267758522186
R6_high_expansion_high_friction,10,cold_cycle_to_cycle,0.1293748911718614,0.21949778434268832,0.7603998710093518
R6_high_expansion_high_friction,10,hot_cycle_to_cycle,0.42255361930294905,0.6003142258617407,0.4120307764047563
R6_high_expansion_high_friction,20,cold_cycle_to_cycle,0.13776520509193776,0.23556917123508544,0.7508526603001364
R6_high_expansion_high_friction,20,hot_cycle_to_cycle,0.35271474878444087,0.4871065516437398,0.43889993017134876
R6_high_expansion_high_friction,30,cold_cycle_to_cycle,0.16447166921898929,0.27472714870395637,0.7093107181522916
R6_high_expansion_high_friction,30,hot_cycle_to_cycle,0.3575973053892216,0.5132405865606704,0.45888549099558273
free_surface,1,cold_to_hot_same_cycle,0.5072394317987335,0.57990921186507,0.19810606060606062
free_surface,5,cold_to_hot_same_cycle,0.7059029101537679,0.8250343470350154,0.1698176655208489
free_surface,10,cold_to_hot_same_cycle,0.6943580072292943,0.8158886098389718,0.1766306373462542
free_surface,20,cold_to_hot_same_cycle,0.6865355898456944,0.8061664353035727,0.17773306505700873
free_surface,5,cold_cycle_to_cycle,0.5268363636363637,0.7086953118885497,0.32754075229289664
free_surface,5,hot_cycle_to_cycle,0.4104370596670615,0.7124458874458874,0.5080705425198028
free_surface,10,cold_cycle_to_cycle,0.6052967927949351,0.756154617355464,0.24789481459595214
free_surface,10,hot_cycle_to_cycle,0.5837470449172577,0.7380810043341802,0.26373462541930676
free_surface,20,cold_cycle_to_cycle,0.5696166042087056,0.7297976067365933,0.2781471469277417
free_surface,20,hot_cycle_to_cycle,0.5527138062724222,0.7120387625792024,0.28817348535658394
semi_confined,1,cold_to_hot_same_cycle,0.6675222999422448,0.7837257487285741,0.1817502458210423
semi_confined,5,cold_to_hot_same_cycle,0.6902177343010414,0.8128205128205128,0.17934191273027428
semi_confined,10,cold_to_hot_same_cycle,0.6790706401075706,0.8015650376494906,0.18370108634364546
semi_confined,20,cold_to_hot_same_cycle,0.6677690548309329,0.7907547031696069,0.18891016255584336
semi_confined,5,cold_cycle_to_cycle,0.6039066250600096,0.758221887361085,0.2520624303232999
semi_confined,5,hot_cycle_to_cycle,0.5557746310569397,0.7317207472959686,0.30199227103890747
semi_confined,10,cold_cycle_to_cycle,0.6336519845111326,0.7783723522853958,0.2268566366455042
semi_confined,10,hot_cycle_to_cycle,0.6184282501671428,0.7635163021048287,0.23504867872044508
semi_confined,20,cold_cycle_to_cycle,0.5821242694734393,0.7390004429351839,0.267220554864212
semi_confined,20,hot_cycle_to_cycle,0.5571804621234279,0.7160846521069052,0.2848293726771033
