predictor,predictor_column,lag_cycles,bins,n,observed_mi_bits,null_median_mi_bits,null_q025_mi_bits,null_q975_mi_bits,bias_corrected_mi_bits,bias_corrected_normalised_mi,bootstrap_median_corrected_mi_bits,bootstrap_q025_corrected_mi_bits,bootstrap_q975_corrected_mi_bits,circular_shift_p
loop activation,loop_z,4,3,130,0.37331551414714736,0.07705799517916835,0.0161086513331732,0.23075662824087262,0.296257518967979,0.18692772590154338,0.33087723951336484,0.1805026892601384,0.48809994569170057,0.0006662225183211193
loop activation,loop_z,4,4,130,0.5222322460018822,0.13648641052123917,0.05562389740416982,0.3086748234108883,0.38574583548064306,0.19288938469519232,0.4094001212273083,0.24485269022875278,0.5866706740792198,0.0013324450366422385
loop activation,loop_z,4,5,130,0.5659876403566917,0.21277821867016694,0.1191334301556077,0.3840768322657398,0.35320942168652475,0.15211901801104616,0.42832616721051386,0.2675850793103343,0.6187281104568996,0.0006662225183211193
loop activation,loop_z,6,2,120,0.18872187554086717,0.0201312433488472,0.0,0.1400469502822478,0.16859063219201997,0.16859063219201997,0.14322801470998547,0.061572922596663186,0.2925536638202254,0.0033311125916055963
loop activation,loop_z,6,3,120,0.31898477494570787,0.0779297929579797,0.0145913866775823,0.20459851655982858,0.24105498198772818,0.15208876038268945,0.2453833306414247,0.10598426784876877,0.4133251455840547,0.001998667554963358
loop activation,loop_z,6,4,120,0.4108969556057881,0.1423489605304084,0.05988483246770435,0.3062634473890157,0.2685479950753797,0.13427399753768984,0.3126232520415108,0.14877490845515065,0.4849417600270688,0.0013324450366422385
loop activation,loop_z,6,5,120,0.4367922190163197,0.21285048139558205,0.10360522255568873,0.3830260066451279,0.22394173762073766,0.09644645676747418,0.32533208006087744,0.16736965621633293,0.5268504428902787,0.004663557628247834
top-5% tail,tail_z,0,2,150,0.015573102199988705,0.0155731021999887,0.000128243359151,0.1107118472727603,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,-0.01544485884083762,0.0533710744149784,0.47901399067288475
top-5% tail,tail_z,0,3,150,0.13037877232863207,0.057908509973153194,0.009135575996130048,0.17350580970195112,0.07247026235547888,0.04572364476920116,0.0785079637743516,-0.004196503420659009,0.20447723994849126,0.09460359760159893
top-5% tail,tail_z,0,4,150,0.30596125416201103,0.1060106945810846,0.034633304298291694,0.2208518638205453,0.19995055958092645,0.09998169078440311,0.2093430238474788,0.05083032771234708,0.40606319833256654,0.0006662225183211193
top-5% tail,tail_z,0,5,150,0.49845840679515996,0.1714520978962084,0.08361414423264295,0.3178327164488649,0.32700630889895155,0.14083395158488524,0.31371906545909006,0.13826374590210705,0.4466605681138964,0.0006662225183211193
top-5% tail,tail_z,2,2,140,0.029049405545331364,0.0213038551699053,0.0,0.1187091007693073,0.007745550375426062,0.007745550375426062,7.632783294297951e-17,-0.02071491990866062,0.05116955639841884,0.3670886075949367
top-5% tail,tail_z,2,3,140,0.09945479466997995,0.06536501147912645,0.0090853548521188,0.18445342744752194,0.0340897831908535,0.021509259818661086,0.018017164848159968,-0.0365436919155195,0.11121288628990131,0.27048634243837444
