tag,label,phase,force_over_mean,ccdf
a050_mu010_g002,memory-rich,hot,1.9278976905644138,0.1374172661870503
a050_mu010_g002,memory-rich,hot,1.969623464830408,0.13382733812949632
a050_mu010_g002,memory-rich,hot,2.0165948561102556,0.13023741007194245
a050_mu010_g002,memory-rich,hot,2.0532935333493287,0.12664748201438847
a050_mu010_g002,memory-rich,hot,2.099530971728316,0.1230575539568346
a050_mu010_g002,memory-rich,hot,2.1503918437714624,0.11946762589928062
a050_mu010_g002,memory-rich,hot,2.205270292426671,0.11587769784172663
a050_mu010_g002,memory-rich,hot,2.244757104259854,0.11228776978417265
a050_mu010_g002,memory-rich,hot,2.2934917040517377,0.10869784172661867
a050_mu010_g002,memory-rich,hot,2.348416100640077,0.10510791366906469
a050_mu010_g002,memory-rich,hot,2.4083297980022236,0.10151798561151071
a050_mu010_g002,memory-rich,hot,2.46215596030745,0.09792805755395684
a050_mu010_g002,memory-rich,hot,2.5232280941859764,0.09433812949640286
a050_mu010_g002,memory-rich,hot,2.579624232317378,0.09074820143884899
a050_mu010_g002,memory-rich,hot,2.6238841758775417,0.087158273381295
a050_mu010_g002,memory-rich,hot,2.6967566295442182,0.08356834532374102
a050_mu010_g002,memory-rich,hot,2.771376398619751,0.07997841726618704
a050_mu010_g002,memory-rich,hot,2.828217340372563,0.07638848920863306
a050_mu010_g002,memory-rich,hot,2.946871520903923,0.07279856115107908
a050_mu010_g002,memory-rich,hot,3.04260482462339,0.0692086330935251
a050_mu010_g002,memory-rich,hot,3.1520965357693855,0.06561870503597123
a050_mu010_g002,memory-rich,hot,3.2432649747906024,0.062028776978417244
a050_mu010_g002,memory-rich,hot,3.328151124140356,0.05843884892086337
a050_mu010_g002,memory-rich,hot,3.435647641775311,0.05484892086330939
a050_mu010_g002,memory-rich,hot,3.552060697885941,0.05125899280575541
a050_mu010_g002,memory-rich,hot,3.6965610886532407,0.04766906474820143
a050_mu010_g002,memory-rich,hot,3.884232786202646,0.04407913669064745
a050_mu010_g002,memory-rich,hot,4.099133940843181,0.040489208633093465
a050_mu010_g002,memory-rich,hot,4.301802261663382,0.036899280575539484
a050_mu010_g002,memory-rich,hot,4.490677567517995,0.03330935251798561
a050_mu010_g002,memory-rich,hot,4.732804130694579,0.02971942446043163
a050_mu010_g002,memory-rich,hot,5.05063098099006,0.02612949640287776
a050_mu010_g002,memory-rich,hot,5.419792140322786,0.02253956834532378
a050_mu010_g002,memory-rich,hot,5.84085727640246,0.018949640287769798
a050_mu010_g002,memory-rich,hot,6.346143407182058,0.015359712230215816
a050_mu010_g002,memory-rich,hot,7.006316830077683,0.011769784172661835
a050_mu010_g002,memory-rich,hot,8.084113779550906,0.008179856115107853
a050_mu010_g002,memory-rich,hot,9.342084639254995,0.0045899280575538715
a050_mu010_g002,memory-rich,hot,11.792272406145038,0.0010000000000000009
a050_mu010_g002,memory-rich,cold,0.856631966884852,0.5
