run,cycle,phase,persistent_edges,created_edges,broken_edges,jaccard,persistent_fraction_of_current,created_fraction_of_current,broken_fraction_of_previous
R1_low_expansion_low_friction,29,cold_to_hot,16153,10138,2146,0.5680275697155115,0.6143927579780153,0.3856072420219847,0.11727416798732171
R1_low_expansion_low_friction,30,cold_to_hot,15940,10521,2119,0.5577326801959412,0.6023959789879445,0.3976040210120555,0.11733761559333296
R3_intermediate,2,cold,4706,3375,10742,0.25001328162354564,0.5823536691003589,0.41764633089964115,0.6953650958052823
R3_intermediate,3,cold,3618,4862,4463,0.2795333384841227,0.4266509433962264,0.5733490566037736,0.5522831332755848
R3_intermediate,4,cold,3495,4169,4985,0.2763064273855641,0.4560281837160752,0.5439718162839249,0.5878537735849056
R3_intermediate,5,cold,3631,5350,4033,0.27900722299062547,0.40429796236499277,0.5957020376350073,0.5262265135699373
R3_intermediate,6,cold,3744,4025,5237,0.28786713824388743,0.48191530441498265,0.5180846955850174,0.5831199198307538
R3_intermediate,7,cold,3915,5734,3854,0.2899355698733615,0.40574152761944243,0.5942584723805576,0.4960741408160638
R3_intermediate,8,cold,4104,3948,5545,0.3018312863131573,0.5096870342771982,0.4903129657228018,0.57467095035755
R3_intermediate,9,cold,4270,5557,3782,0.3137629509883166,0.43451714663681695,0.565482853363183,0.4696969696969697
R3_intermediate,10,cold,4283,3734,5544,0.31583216576948603,0.5342397405513284,0.46576025944867155,0.5641599674366541
R3_intermediate,11,cold,4268,5768,3749,0.30961189698948133,0.4252690314866481,0.5747309685133519,0.46763128352251465
R3_intermediate,12,cold,4272,3587,5764,0.3135873155692579,0.5435806082198753,0.4564193917801247,0.5743324033479474
R3_intermediate,13,cold,4243,5642,3616,0.31427301681356934,0.42923621648963073,0.5707637835103693,0.4601094286804937
R3_intermediate,14,cold,4402,3877,5483,0.31986629850312454,0.5317067278656843,0.46829327213431576,0.5546788062721295
R3_intermediate,15,cold,4229,5262,4050,0.31231075991433427,0.4455800231798546,0.5544199768201454,0.48918951564198576
R3_intermediate,16,cold,4170,4031,5321,0.3083863333826357,0.5084745762711864,0.4915254237288136,0.5606363923717206
R3_intermediate,17,cold,4088,5326,4113,0.3022103940267613,0.4342468663692373,0.5657531336307627,0.5015242043653213
R3_intermediate,18,cold,4053,4148,5361,0.2988497271788822,0.49420802341177905,0.505791976588221,0.5694710006373487
R3_intermediate,19,cold,4207,5390,3994,0.3095430799793981,0.43836615609044494,0.5616338439095551,0.4870137788074625
R3_intermediate,20,cold,4235,4087,5362,0.3094855305466238,0.5088920932468157,0.49110790675318433,0.5587162654996353
R3_intermediate,21,cold,4256,5339,4066,0.31154381084840055,0.44356435643564357,0.5564356435643565,0.4885844748858447
R3_intermediate,22,cold,4278,4092,5317,0.31255936289910136,0.5111111111111111,0.4888888888888889,0.5541427826993226
R3_intermediate,23,cold,4313,5279,4057,0.3159938457029819,0.44964553794829026,0.5503544620517098,0.48470728793309437
R3_intermediate,24,cold,4221,3981,5371,0.3109850438370294,0.5146305779078274,0.48536942209217265,0.5599457881567973
R3_intermediate,25,cold,4239,5274,3963,0.31455921638468387,0.445600756859035,0.554399243140965,0.48317483540599854
