run,cycle,phase,persistent_edges,created_edges,broken_edges,jaccard,persistent_fraction_of_current,created_fraction_of_current,broken_fraction_of_previous
R6_high_expansion_high_friction,2,hot,20018,3913,4674,0.6998077259220415,0.8364882370147507,0.16351176298524925,0.18929207840596143
R6_high_expansion_high_friction,3,hot,18898,4036,5033,0.6757249615618407,0.8240167436993111,0.17598325630068892,0.2103129831599181
R6_high_expansion_high_friction,4,hot,17749,4353,5185,0.6504562612232931,0.803049497783006,0.19695050221699395,0.22608354408302084
R6_high_expansion_high_friction,5,hot,16066,4938,6036,0.5941568047337278,0.7649019234431537,0.2350980765568463,0.27309745724368834
R6_high_expansion_high_friction,6,hot,14890,6167,6114,0.5480107467520519,0.7071282708837916,0.2928717291162084,0.29108741192153875
R6_high_expansion_high_friction,7,hot,15018,6442,6039,0.5461289501436416,0.6998136067101585,0.3001863932898416,0.2867929904544807
R6_high_expansion_high_friction,8,hot,15249,6237,6211,0.5505650431454671,0.7097179558782463,0.2902820441217537,0.2894221808014911
R6_high_expansion_high_friction,9,hot,15395,5997,6091,0.5601644653058254,0.7196615557217652,0.28033844427823484,0.28348692171646656
R6_high_expansion_high_friction,10,hot,15511,5934,5881,0.5676279001683379,0.7232921426906038,0.2767078573093961,0.274915856394914
R6_high_expansion_high_friction,11,hot,15358,5797,6087,0.5637618383378606,0.7259749468210824,0.2740250531789175,0.2838423875029144
R6_high_expansion_high_friction,12,hot,15152,5884,6003,0.5603757535411813,0.7202890283323826,0.27971097166761744,0.2837627038525171
R6_high_expansion_high_friction,13,hot,14545,5892,6491,0.5401440879382056,0.7116993687918971,0.28830063120810295,0.30856626735120746
R6_high_expansion_high_friction,14,hot,14407,6137,6030,0.5421464589448333,0.7012753115264797,0.29872468847352024,0.2950530899838528
R6_high_expansion_high_friction,15,hot,14118,6332,6426,0.5253013841345439,0.6903667481662592,0.30963325183374085,0.31279205607476634
R6_high_expansion_high_friction,16,hot,14324,6286,6126,0.5357570317175344,0.6950024260067929,0.3049975739932072,0.299559902200489
R6_high_expansion_high_friction,17,hot,13804,6151,6806,0.5158252681140466,0.6917564520170383,0.30824354798296166,0.330228044638525
R6_high_expansion_high_friction,18,hot,13535,6092,6420,0.5196375782239797,0.6896112498089366,0.3103887501910633,0.32172387872713604
R6_high_expansion_high_friction,19,hot,12892,6432,6735,0.49472351203039255,0.6671496584558062,0.33285034154419374,0.34314974270138077
R6_high_expansion_high_friction,20,hot,12650,5967,6674,0.5001779289075166,0.6794864908417039,0.3205135091582962,0.345373628648313
R6_high_expansion_high_friction,21,hot,12708,6484,5909,0.5062746504123342,0.6621508962067528,0.3378491037932472,0.31739807702637374
R6_high_expansion_high_friction,22,hot,12582,5627,6610,0.5069503203191104,0.6909769894008457,0.30902301059915427,0.344414339308045
R6_high_expansion_high_friction,23,hot,12276,6535,5933,0.4961202715809893,0.652596884801446,0.34740311519855405,0.32582788730847384
R6_high_expansion_high_friction,24,hot,12585,5927,6226,0.5087315061848169,0.6798292999135696,0.32017070008643045,0.3309765562702674
R6_high_expansion_high_friction,25,hot,12494,6222,6018,0.5051346324896903,0.6675571703355417,0.3324428296644582,0.3250864304235091
R6_high_expansion_high_friction,26,hot,12407,5721,6309,0.5077137128125384,0.6844108561341571,0.3155891438658429,0.33709125881598634
R6_high_expansion_high_friction,27,hot,12356,6493,5772,0.501848015921368,0.6555254920685447,0.34447450793145523,0.3184024713150927
R6_high_expansion_high_friction,28,hot,12265,5669,6584,0.5002447181662452,0.6838965094234415,0.3161034905765585,0.3493023502573081
R6_high_expansion_high_friction,29,hot,11880,6366,6054,0.4888888888888889,0.6511016113120685,0.3488983886879316,0.33757109401137503
R6_high_expansion_high_friction,30,hot,11886,5772,6360,0.49487884086934797,0.6731226639483521,0.326877336051648,0.3485695494902992
R6_high_expansion_high_friction,1,cold_to_hot,7273,17419,1066,0.2823588787949375,0.29454884173011503,0.705451158269885,0.1278330735100132
R6_high_expansion_high_friction,2,cold_to_hot,6684,17247,1600,0.26179938114449103,0.27930299611382725,0.7206970038861727,0.19314340898116852
R6_high_expansion_high_friction,3,cold_to_hot,7379,15555,2289,0.2925504499861238,0.3217493677509375,0.6782506322490626,0.2367604468349193
R6_high_expansion_high_friction,4,cold_to_hot,6921,15181,2537,0.28089614026543286,0.31313908243597866,0.6868609175640213,0.2682385282300698
R6_high_expansion_high_friction,5,cold_to_hot,4581,16423,2189,0.1975164920450136,0.21810131403542182,0.7818986859645781,0.32333825701624813
R6_high_expansion_high_friction,6,cold_to_hot,4505,16552,2132,0.19427314675061452,0.2139431068053379,0.7860568931946621,0.3212294711466024
R6_high_expansion_high_friction,7,cold_to_hot,4662,16798,2007,0.19866195082456214,0.21724137931034482,0.7827586206896552,0.300944669365722
R6_high_expansion_high_friction,8,cold_to_hot,4494,16992,1906,0.1921169630642955,0.20915945266685285,0.7908405473331471,0.2978125
R6_high_expansion_high_friction,9,cold_to_hot,4566,16826,1822,0.19669165158955804,0.21344427823485415,0.7865557217651459,0.2852222917971196
R6_high_expansion_high_friction,10,cold_to_hot,4362,17083,1840,0.18733089972085032,0.20340405688971788,0.7965959431102821,0.29667849080941633
R6_high_expansion_high_friction,11,cold_to_hot,4334,16821,1855,0.1883528900478053,0.20486882533679981,0.7951311746632002,0.2997253191145581
R6_high_expansion_high_friction,12,cold_to_hot,4119,16917,1997,0.17883037381148786,0.19580718767826583,0.8041928123217341,0.3265206017004578
R6_high_expansion_high_friction,13,cold_to_hot,4616,15821,2083,0.2049733570159858,0.22586485296276362,0.7741351470372364,0.3109419316315868
R6_high_expansion_high_friction,14,cold_to_hot,3960,16584,2014,0.1755474776132636,0.1927570093457944,0.8072429906542056,0.3371275527284901
R6_high_expansion_high_friction,15,cold_to_hot,4387,16063,2030,0.19515124555160143,0.2145232273838631,0.7854767726161369,0.31634720274271466
R6_high_expansion_high_friction,16,cold_to_hot,3794,16816,2062,0.16734297812279464,0.18408539543910724,0.8159146045608928,0.3521174863387978
R6_high_expansion_high_friction,17,cold_to_hot,4618,15337,2230,0.20815866576515663,0.23142069656727637,0.7685793034327236,0.32564252336448596
R6_high_expansion_high_friction,18,cold_to_hot,3719,15908,2194,0.17043215251363367,0.189483874254853,0.810516125745147,0.37104684593269066
R6_high_expansion_high_friction,19,cold_to_hot,5377,13947,2683,0.2443313491161903,0.2782550196646657,0.7217449803353343,0.33287841191066997
R6_high_expansion_high_friction,20,cold_to_hot,3567,15050,2297,0.17055560868317873,0.19159907611322985,0.8084009238867702,0.39171214188267395
R6_high_expansion_high_friction,21,cold_to_hot,5440,13752,2688,0.24862888482632542,0.28345143809920803,0.716548561900792,0.33070866141732286
R6_high_expansion_high_friction,22,cold_to_hot,3456,14753,2218,0.16918783962402703,0.18979625459937394,0.8102037454006261,0.3909058864998238
R6_high_expansion_high_friction,23,cold_to_hot,5529,13282,2858,0.2551571369237159,0.2939237680080804,0.7060762319919196,0.34076547037081195
R6_high_expansion_high_friction,24,cold_to_hot,3542,14970,2186,0.17112764518310947,0.19133535004321522,0.8086646499567848,0.3816340782122905
R6_high_expansion_high_friction,25,cold_to_hot,5689,13027,2982,0.2621900636003318,0.30396452233383203,0.696035477666168,0.3439049705916273
R6_high_expansion_high_friction,26,cold_to_hot,3415,14713,2262,0.16748406081412456,0.18838261253309796,0.811617387466902,0.39844988550290644
R6_high_expansion_high_friction,27,cold_to_hot,5481,13368,2865,0.2524177949709865,0.290784657010982,0.709215342989018,0.3432782171099928
R6_high_expansion_high_friction,28,cold_to_hot,3334,14600,2281,0.1649270343804106,0.18590386974461917,0.8140961302553809,0.406233303650935
R6_high_expansion_high_friction,29,cold_to_hot,5733,12513,3181,0.2675596210388762,0.31420585333771783,0.6857941466622821,0.3568543863585371
R6_high_expansion_high_friction,30,cold_to_hot,3320,14338,2222,0.16700201207243462,0.18801676294031033,0.8119832370596897,0.4009382894261999
