run,cycle,phase,contacts,Z_geom,mean_positive_overlap_m,overlap_p90_m,overlap_p99_m,orientation_entropy,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,cycle_births_during_overlap_filtration,cycle_birth_count,cycle_birth_positive_count,cycle_birth_overlap_median,cycle_birth_overlap_p90,cycle_birth_positive_fraction,force_proxy_q99_q50,force_proxy_gini,net_force_p99_N
R1_low_expansion_low_friction,23,hot,26365.0,5.215112253980813,1.1850114961819777e-07,1.580851757025313e-07,4.183362755319325e-07,0.9301672051770962,0.500891333206903,0.00022757443580504456,0.08881416279299773,0.16536445455444565,16392.0,16392.0,3670.0,0.0,6.922595396142463e-08,0.22388970229380187,15.376237933097997,0.6106137131798224,0.0002320396604601
R1_low_expansion_low_friction,24,cold,18227.0,3.6053802789041636,3.5020805142406734e-07,5.363657656092763e-07,7.973778371082881e-07,0.9443693085642663,0.9292807373676414,0.0015910462500685796,0.0029670655721491445,0.047077440411433094,9540.0,9540.0,4997.0,4.123385088634999e-08,3.68167193025553e-07,0.5237945492662474,3.9676543969192695,0.4096824026640092,0.0007094450855054
R1_low_expansion_low_friction,24,hot,26294.0,5.201068143605974,1.2149888683558334e-07,1.631127801677646e-07,4.2519033388715595e-07,0.928575368737004,0.4077356050810071,0.0004563778808853731,0.08772623874987637,0.15765008406685788,16346.0,16346.0,3831.0,0.0,7.497269539707366e-08,0.2343692646519026,14.776651032322428,0.5985528440311176,0.0002159895921352
R1_low_expansion_low_friction,25,cold,18170.0,3.5941054297299972,3.4757267023139133e-07,5.257691920164441e-07,7.789031889650339e-07,0.9449577625203425,0.9282333516785911,0.0003302146395156852,0.003263772129364059,0.03402235189397686,9421.0,9421.0,4890.0,3.4550404656632366e-08,3.6275266027140964e-07,0.5190531790680395,3.8840880700094056,0.4074378531989134,0.0006814980182769
R1_low_expansion_low_friction,25,hot,26433.0,5.228562951241223,1.248519991009761e-07,1.6832268875718175e-07,4.3389520958725406e-07,0.9298338360676225,0.3570915143948852,0.00018915749252827906,0.09692414202353872,0.17001285728414597,16445.0,16445.0,3965.0,0.0,7.941683460815746e-08,0.24110671936758893,14.433745487315976,0.6040188783156879,0.0002133568243206
R1_low_expansion_low_friction,26,cold,18213.0,3.602611017703491,3.4973958925730187e-07,5.34859858691318e-07,7.949126332755434e-07,0.9449967351284932,0.938670180640202,0.00038434085543293255,0.003659380872317278,0.02828602512115518,9417.0,9417.0,4804.0,2.0849714396815877e-08,3.639043220711891e-07,0.5101412339386217,3.991709203156388,0.4115011465721613,0.0007362522166048
R1_low_expansion_low_friction,26,hot,26381.0,5.218277123924438,1.2564984127202825e-07,1.7222079301527048e-07,4.349541184322038e-07,0.9294790921586406,0.34138205526704823,0.0001137182062848262,0.0944515873800811,0.16388092176837107,16429.0,16429.0,4076.0,0.0,8.117591569246908e-08,0.24809787570759023,13.358010812209972,0.5980935997601364,0.0002596014070651
R1_low_expansion_low_friction,27,cold,18135.0,3.5871822767283157,3.4469135351894827e-07,5.304591698716746e-07,7.907081673035009e-07,0.9427964091104636,0.9711607389026744,0.003418803418803419,0.0028681633864108395,0.04608841855405005,9448.0,9448.0,4904.0,3.44242835749551e-08,3.637720260800135e-07,0.519051651143099,4.067801973187664,0.4155841307260059,0.000681949742392
R1_low_expansion_low_friction,27,hot,26444.0,5.230738799327465,1.2660052483765492e-07,1.6979722070370377e-07,4.38234877210052e-07,0.929165881788703,0.44550748752079866,3.7815761609438814e-05,0.09375927207991297,0.166452378597567,16460.0,16460.0,3945.0,0.0,8.340471366128768e-08,0.2396719319562576,14.08602192264282,0.6017019314139629,0.0002266942860839
R1_low_expansion_low_friction,28,cold,18043.0,3.568984274552468,3.427898400186193e-07,5.231343933492436e-07,7.812253837156677e-07,0.943713490616059,,0.0017181178296292192,0.004549500543962022,0.01968153496192266,9316.0,9316.0,4754.0,1.9277571172184038e-08,3.5598308971082626e-07,0.5103048518677544,4.036458496455509,0.4132238210844022,0.0006801382142585
R1_low_expansion_low_friction,28,hot,26429.0,5.227771733755316,1.2232240291721882e-07,1.5942713253343233e-07,4.3993735341691193e-07,0.9287709740482474,0.4633168110787393,0.00030269779408982557,0.09118781525071704,0.16813371575511818,16440.0,16440.0,3698.0,0.0,7.212418145329928e-08,0.22493917274939174,14.836628390047554,0.6098600434299032,0.0002399406488376
R1_low_expansion_low_friction,29,cold,18299.0,3.6196221936504798,3.4405475747436546e-07,5.246033815590936e-07,7.934019066109001e-07,0.9439617118045421,0.9468823432974479,0.003552106672495765,0.003758283058055583,0.07566017208980319,9565.0,9565.0,4929.0,2.7439642529296024e-08,3.584318467668088e-07,0.5153162571876634,4.076028299774564,0.4166087371729648,0.0007542480492576
R1_low_expansion_low_friction,29,hot,26291.0,5.2004747304915435,1.2436702759717203e-07,1.6755094586437015e-07,4.4867586820691444e-07,0.9283762635257533,0.4334182800197786,0.0007987524247841467,0.09168232617940857,0.1640787261398477,16359.0,16359.0,3912.0,0.0,7.939208568623525e-08,0.23913442141940217,14.557175308832662,0.6035214314480813,0.0002357079620929
R1_low_expansion_low_friction,30,cold,18059.0,3.5721491444960933,3.432355106573378e-07,5.212581172810062e-07,7.80855014913687e-07,0.9421890019395708,0.9439060856082839,0.002325710172213301,0.003263772129364059,0.03679161309464939,9344.0,9344.0,4700.0,5.403785718915456e-09,3.5808330856909176e-07,0.5029965753424658,4.002885240632192,0.4133670129904632,0.0006758019698461
