bootstrap_id,angle_degrees,cold_r2,hot_r2
109,84.42890409986678,0.9521484326029565,0.9940610951587469
110,98.43012358430327,0.9987383995219776,0.996379970331038
111,77.32723706936191,0.9447749271398298,0.9853908776291038
112,90.76691145857549,0.9659588673738966,0.999602926720219
113,92.84245144014349,0.9773688697322644,0.9812706405558738
114,77.97435418276461,0.9894228063576821,0.9999752647769541
115,88.0444763140124,0.9619059736057254,0.9993545401715295
116,88.6765744434764,1.0,1.0
117,98.47015367373334,0.9615872776295297,0.9872695459797627
118,75.94830231124416,0.9850488684617787,0.9999653821924591
119,97.62584676612366,0.9704776131130919,0.9897209621538745
120,92.83777473256733,0.9862255195849992,0.9926078409998863
121,86.95290264798155,0.9431518566684431,0.9842602617934703
122,101.43356721500989,0.9743177355981347,0.9820128507750214
123,67.15823464879136,0.9848272559553881,0.9995032496035416
124,92.0675354420914,0.975468845180173,0.9906036801486203
125,76.66765427854021,1.0,1.0
126,83.21709299890256,0.9866383765088036,0.9818781578967158
127,124.86010606715918,1.0,1.0
128,79.11733433499596,0.9724584234735146,0.9878621715373306
129,90.1608596560021,0.9750668813877805,0.9978961677860541
130,91.39914116082196,0.9704161469975277,0.9968601090066729
132,99.70186011896476,0.9989554375118533,0.9971380009807367
133,98.47015367373332,0.9615872776295297,0.9872695459797627
134,99.62207874923746,0.9937427648619291,0.9841086449362305
135,81.86970866625511,0.9692269802974623,0.9801265967665874
136,101.7294537395652,0.9660053051344886,0.9874484373944572
137,79.94504480093882,0.9687074759911005,0.9878511913492107
138,124.81550668955968,1.0,1.0
139,86.35665878450727,0.9580372378923335,0.9819262199665588
140,90.13283159674872,0.9774050774969689,0.9840380319156153
141,105.50363767571758,1.0,1.0
142,116.68911873325972,1.0,1.0
143,88.67657444347637,1.0,1.0
144,100.3653887442628,0.9990879720268443,0.9969365218511255
145,143.39171434021588,1.0,1.0
146,85.68443690605231,0.9574554395413157,0.9936613620599554
147,97.04847532579414,0.9989124374381055,0.996479510662659
148,84.79577538337689,0.9427714561621271,0.9827203709833943
149,89.18047586344133,0.9784794465978661,0.9782553066704904
150,82.94670432435288,0.9514412185617086,0.9863444638992654
151,84.000334329711,0.985801732625651,0.9968755679600525
152,84.42890409986676,0.9521484326029565,0.9940610951587467
153,88.62748914417072,0.9578896052648189,0.9932478250323405
154,76.96840831075123,0.9733576819388796,0.9897780837424415
156,90.0438756086412,0.9874624218507627,0.9904354574977463
157,87.19939957351464,0.9839901581843834,0.9795218218196641
158,87.2863242962389,0.9856791110445533,0.9887578585780173
159,74.21069056273369,0.9763886463131707,0.9890216746128216
160,90.04387560864122,0.9874624218507627,0.9904354574977463
161,86.35665878450725,0.9580372378923335,0.9819262199665587
162,84.91422832332985,0.987515456812909,0.9911774606323637
163,76.9684083107513,0.9733576819388796,0.9897780837424415
164,74.91725095513152,0.9698617178293516,0.9805188506897844
165,151.53083722434022,1.0,1.0
166,87.83604401983659,0.9775778350559363,0.9864304073701419
167,99.62011672496376,1.0,1.0
168,86.8087549040346,0.9699209667460426,0.9921101357071695
169,99.06845013343579,0.9773440806837952,0.9812582066251435
170,81.21560464580091,0.9590616998244127,0.9945049408962902
171,86.1613580889622,0.9810988790089412,0.9957927085366441
173,76.8698954131104,1.0,1.0
175,73.75665195033643,0.9755065414784142,0.9882849091479229
176,73.96852576621303,0.9685500478242525,0.9885745092611212
177,86.8928417254068,0.959173328938795,0.981469892674469
178,101.64080353903,0.9944206649589642,0.9882144831721338
180,85.02855267375075,0.9543622943186064,0.9932027121219055
181,73.70607651187088,1.0,1.0
182,98.53258971181788,0.9766529473853096,0.9534923528641309
183,63.55232212932905,0.9729935011030951,0.9986838223804879
184,87.2869222582024,0.9728941957966328,0.99355218707426
185,74.46595841089555,1.0,1.0
186,79.11733433499589,0.9724584234735146,0.9878621715373306
187,97.44063535159466,0.9796245084832512,0.9823114089160283
188,90.13283159674874,0.9774050774969689,0.9840380319156153
189,90.7669114585755,0.9659588673738966,0.999602926720219
190,81.95224685683712,0.9773015383257816,0.9941959575626702
191,91.03052960921445,0.9484416111258551,0.9916180707854596
192,88.71136632216532,0.9691439388132496,0.994748639842578
193,134.6207611568731,0.9995396551970859,0.9999831714819585
194,59.862877183767225,1.0,1.0
195,125.37527683953479,1.0,1.0
196,84.94195867224904,1.0,1.0
197,71.29739977085055,0.9560303499404557,0.9879370577011267
198,89.13167370499615,0.9702119473344111,0.986035032376195
199,84.42890409986676,0.9521484326029566,0.9940610951587469
200,82.45127257855837,0.9870105000039315,0.9847870390579009
201,97.8109490586493,0.99523248848508,0.9876199095100981
202,101.4335672150099,0.9743177355981348,0.9820128507750214
203,97.15874866981355,1.0,1.0
204,101.25403648343381,0.9745461050002406,0.9422703823804438
205,89.07108474227667,0.9780736275510268,0.9993698950439085
206,125.43891989520027,1.0,1.0
207,91.03052960921448,0.9484416111258551,0.9916180707854596
208,88.23013612262574,0.9701921960574169,0.9200985109800323
209,97.6258467661237,0.9704776131130918,0.9897209621538745
