run,tag,regime_id,folder,cycle,phase,contacts,force_sum,force_mean,force_p99,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top1_edges,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,force_share_top1_edges,force_share_top5_edges,force_share_top10_edges,force_h1_births,force_h1_birth_fraction,force_h1_birth_force_share
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,11,cold,6927.0,2.604643697422977,0.00037601323768196576,0.0015293977560854569,,0.0030316154179298397,0.0007729966503478485,0.0012883277505797476,0.002576655501159495,0.04750213983001676,0.17732559472154658,0.3029728546065166,3726.0,0.537895192724123,0.5035657560946966
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,11,hot,14857.0,5.732256567174271,0.0003858286711431831,0.0024396090189208715,0.7463821767516995,0.07201992326849296,0.00045662100456621003,0.00106544901065449,0.00213089802130898,0.08389796030098896,0.26371109855102676,0.40781918405103446,8801.0,0.5923806959682305,0.5085291701407353
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,12,cold,2062.0,0.6082086147071997,0.0002949605308958291,0.0015674078894281304,,0.025703200775945685,0.0017814726840855108,0.0017814726840855108,0.0017814726840855108,0.068916175858164,0.23353160480312696,0.36778765272814523,1023.0,0.4961202715809893,0.48847886755240005
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,12,hot,6583.0,1.1152410062396605,0.0001694122749870364,0.0011982678411197,,0.027950782318092057,0.00043308791684711995,0.0008661758336942399,0.0015158077089649198,0.10850436849522126,0.2988594743471928,0.4419635986162304,3291.0,0.4999240467871791,0.4874199899602199
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,13,cold,6891.0,2.5202263508118348,0.0003657272312889036,0.00142801324638983,,0.005079088666376433,0.0007743933918430562,0.0012906556530717604,0.002581311306143521,0.045779002918538855,0.17461113122496852,0.30032237719384336,3692.0,0.535771295893194,0.5020547462786594
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,13,hot,13946.0,5.352145363837856,0.0003837763777310954,0.0024647966741544397,0.40520579377599314,0.15473971031120035,0.0006259780907668231,0.0010954616588419405,0.0018779342723004694,0.08400212181888836,0.2674689962320258,0.4148175453425613,8104.0,0.5810985228739424,0.5048578619221648
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,14,cold,2074.0,0.6548260815854647,0.00031573099401420673,0.0014868542182282494,,0.289778206364513,0.0011883541295306002,0.0011883541295306002,0.0023767082590612004,0.060551088204161885,0.20281505824405585,0.33881615637263884,1035.0,0.4990356798457088,0.48964353930946175
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,14,hot,6534.0,1.158239395098705,0.0001772634519587856,0.0012427826329653882,,0.1179981634527089,0.0004361098996947231,0.0006541648495420846,0.0010902747492368076,0.10281279707480107,0.2908918306102468,0.43455645895804856,3265.0,0.4996939087848179,0.4868041255456992
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,15,cold,6521.0,2.2976119334573815,0.0003523404283786814,0.0014183727393367765,,0.015948474160404846,0.0010770059235325794,0.0013462574044157242,0.001884760366182014,0.04704963352647675,0.17657309773233187,0.3005592286031157,3458.0,0.5302867658334611,0.4991054965168012
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,15,hot,14396.0,5.44335597071342,0.00037811586348384415,0.002227136287811724,,0.020144484579049736,0.0004704406460718206,0.0010976948408342481,0.001254508389524855,0.0763314375016374,0.2527755868192513,0.39975052945144285,8524.0,0.5921089191442067,0.508703272100122
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,16,cold,1906.0,0.6090885225405152,0.0003195637578911412,0.0016489756060344633,,0.1584470094438615,0.0012554927809165098,0.0018832391713747645,0.0025109855618330196,0.07286831223926724,0.22488757620289496,0.35873779020203245,941.0,0.49370409233997903,0.48923277916538654
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,16,hot,6615.0,1.1517139244625074,0.00017410641337301699,0.0011721292525430581,,0.02040816326530612,0.000641025641025641,0.0008547008547008547,0.002564102564102564,0.10621281664749174,0.2887237956154463,0.43296611422939907,3311.0,0.5005291005291005,0.48785747674316776
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,17,cold,6927.0,2.5877058507065414,0.00037356804543186683,0.0014806080443761044,,0.0017323516673884798,0.0013000520020800832,0.0018200728029121164,0.0026001040041601664,0.0446799208733529,0.17361302474980933,0.2991102445373994,3747.0,0.5409268081420529,0.5030964893822888
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,17,hot,13769.0,5.390187881391402,0.00039147271997904,0.0026063159641141953,0.6484131018955624,0.03783862299368146,0.0006314127861089187,0.0007892659826361484,0.0017363851617995265,0.08415754156339814,0.2670986879366473,0.41447192371107755,7987.0,0.5800711743772242,0.504425381249682
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,18,cold,1997.0,0.6101352773831008,0.00030552592758292476,0.0014894132443917772,,0.02904356534802203,0.0012217470983506415,0.0012217470983506415,0.0018326206475259622,0.061767796025398086,0.20984169176631184,0.3396767106146607,988.0,0.49474211316975464,0.4893597731340777
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,18,hot,6765.0,1.152361423060968,0.0001703416737710226,0.0013236332850391258,,0.0712490761271249,0.00042634832658281814,0.0008526966531656363,0.0014922191430398635,0.11240753240528441,0.3160180919655422,0.46065066916903175,3374.0,0.49874353288987433,0.4865021293222249
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,19,cold,7040.0,2.607884470261232,0.0003704381349802886,0.0014189937044820538,,0.007102272727272727,0.0007749935417204857,0.0015499870834409714,0.0018083182640144665,0.045346570607399425,0.17344913223263392,0.2966355957962902,3810.0,0.5411931818181818,0.5042525039942466
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,19,hot,13779.0,5.064091575204793,0.0003675224308879304,0.002439496811793726,,0.2054575803759344,0.00047393364928909954,0.001263823064770932,0.001579778830963665,0.08404156879827859,0.2721723433528424,0.4174021402470617,8002.0,0.5807388054285507,0.5034735690098909
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,20,cold,1842.0,0.5757242136431031,0.000312553861912651,0.0015715675642314424,,0.3295331161780673,0.0013020833333333333,0.0013020833333333333,0.001953125,0.06989518264606906,0.21687904099805827,0.350129736870956,915.0,0.496742671009772,0.48895580867787514
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,20,hot,6803.0,1.1527994893569251,0.0001694545772977988,0.0011822256611787008,,0.36439805967955313,0.0006391137622496804,0.0008521516829995739,0.0014912654452492544,0.10376142219275683,0.286068405669521,0.4316150162424003,3403.0,0.5002204909598706,0.4872808244800461
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,21,cold,6693.0,2.4279831976863107,0.00036276455964235927,0.0014498019899086127,,0.04571940833706858,0.0007798284377436964,0.0012997140629061607,0.002339485313231089,0.0457038155439426,0.17501509469662735,0.29941110568486745,3552.0,0.5307037203047961,0.4988697760907131
