regime_id,cycle,response_amplitude,response_loop_cost_positive,response_loop_activation,response_imprint_efficiency,response_hazard_number,response_quality_number,response_overload_asinh,force_p99_hot_minus_cold,activation_eps,imprint_eps,log_activation,log_hazard,buffer_number,log_buffer_number,measured_overload_class,positive_overload,strong_overload
R3,1,2.667379610795471,0.0,0.0,1.120339506166282,0.0,1120339.506166282,-0.0755865524969351,-0.0001370566583308,1e-05,1.120349506166282,-5.0,-5.0,112033.9506166282,5.0493496506656115,negative/buffered,0,0
R3,2,1.9953534737207617,0.0071285004388137,0.0142238781130068,0.0395903885287039,0.3592669679340625,2.7831794560336816,0.0470437788710683,8.525198784616983e-05,0.0142338781130068,0.0396003885287039,-1.8466767574268401,-0.4445706230952579,2.781419667527329,0.4442680826514779,mild overload,1,0
R3,3,3.0093530055968865,0.0288462695924914,0.086808608098422,0.0464195842631617,1.870045573022036,0.534728646747635,0.7471120373717037,0.001482872734555,0.086818608098422,0.046429584263161704,-1.0613871811789635,0.2718545127922182,0.5346732144166386,-0.2719034497142391,mild overload,1,0
R3,4,2.442152938695429,0.0174863099750929,0.0427042432926123,0.0916162730862907,0.4661156335922687,2.1453167344942785,0.1899686383543734,0.0003462047744533,0.0427142432926123,0.09162627308629069,-1.3694272830094083,-0.33149701330521064,2.1448647107869125,0.33140192868714896,mild overload,1,0
R3,5,3.034910637240346,0.0321279335905507,0.0975054074065137,0.061038324437323,1.5974195046446686,0.6259929584201402,0.7804513796784028,0.0015617603538195,0.0975154074065137,0.061048324437323005,-1.010926760475969,0.2034217016227043,0.6259351835845979,-0.20346369795427982,mild overload,1,0
R3,6,2.0961615999560745,0.0050588496765787,0.0106041664319944,0.1363719706694077,0.0777585644717006,12.859012778714188,-0.0272286218923869,-4.9331174960492714e-05,0.0106141664319944,0.13638197066940771,-1.974114106839468,-1.1091959176036137,12.848109320986353,1.108839561263164,negative/buffered,0,0
R3,7,2.915431185499715,0.0321622713145712,0.0937668887870038,0.1288448403131382,0.7277447883386774,1.3740827694842594,0.7962834128996001,0.0015998246535858,0.0937768887870038,0.1288548403131382,-1.0279041798403978,-0.1380149283938253,1.3739508953616975,0.13797437233757315,mild overload,1,0
R3,8,2.017796308666813,0.0019235117315682,0.0038812548716356,0.1595929330707937,0.0243195640144663,41.108309049157306,-0.0519428129092566,-9.413754634879346e-05,0.0038912548716356,0.1596029330707937,-2.409910322596448,-1.6138656735520425,41.01323052214065,1.6129240849491422,negative/buffered,0,0
R3,9,2.7052800186862296,0.0316672914587074,0.0856688908291542,0.1222522172590646,0.7007495814822996,1.4270149766253837,0.7778319433956307,0.0015555005490831,0.0856788908291542,0.1222622172590646,-1.0671261643738643,-0.15443095542077212,1.4268650781537136,0.15438595262176602,mild overload,1,0
R3,10,2.0190742314866283,0.0008246800017863,0.001665090140829,0.1781854591520458,0.009344650254306,106.94827055598492,-0.0652309739576391,-0.0001182507619426,0.0016750901408290001,0.17819545915204582,-2.7759618175159164,-2.02897244498539,106.37365405533463,2.0268341188314025,negative/buffered,0,0
R3,11,2.729040597467444,0.0313906708291496,0.0856664150744862,0.1283505034859215,0.667436007743242,1.498241815447835,0.7607273622010075,0.0015148852824822,0.0856764150744862,0.1283605034859215,-1.0671387138141664,-0.17558386028184547,1.4980844305207552,0.17553918943923694,mild overload,1,0
R3,12,2.05295247047658,0.0073920841716659,0.0151755974621923,0.1678559944266084,0.0904078946130988,11.060186240345924,-0.0030685943584563,-5.558816005920512e-06,0.0151855974621923,0.1678659944266084,-1.8185681165261696,-1.043745609760902,11.053631234761804,1.0435053646883328,negative/buffered,0,0
R3,13,2.7473612864315182,0.0333779231696755,0.091701213937852,0.1119520102343491,0.8191044952332738,1.2208212367721092,0.8512038494095018,0.0017350376541638,0.09171121393785199,0.1119620102343491,-1.0375775579660764,-0.08665538862710856,1.220701432544697,0.08661301196692307,mild overload,1,0
R3,14,1.9946066226256,0.0103686251286425,0.0206813283491125,0.174002057936406,0.118856120084229,8.413078788775357,0.0062411135917189,1.1305949517751185e-05,0.0206913283491125,0.174012057936406,-1.684211627450681,-0.9249419128933583,8.409419395438155,0.9247665286374245,mild overload,1,0
R3,15,2.6856070948042063,0.0311814362460507,0.0837410864085788,0.1043691174849545,0.8023473425777307,1.2463161829493494,0.7599804978404616,0.0015131220186675,0.0837510864085788,0.1043791174849545,-1.0770095506410795,-0.09563216869097885,1.2461822522013728,0.09558504684118657,mild overload,1,0
R3,16,2.0143164213076106,0.0099866444410496,0.0201162618913665,0.143370887791406,0.1403082724322779,7.126759524512346,0.0072141699179775,1.3068696425225085e-05,0.0201262618913665,0.143380887791406,-1.6962368803873535,-0.8528857708833041,7.123572602069109,0.8526984645631321,mild overload,1,0
R3,17,2.743588297051645,0.0313648842579299,0.0860523293884358,0.1062861415472472,0.8096212593146415,1.2351194579291935,0.7138176910586324,0.00140573667121,0.08606232938843579,0.1062961415472472,-1.065186903351615,-0.09171273236472786,1.2349902948540095,0.09166706128269184,mild overload,1,0
R3,18,2.0249098512122408,0.0109301322300699,0.0221325324277209,0.1507477352913494,0.1468173672233189,6.81083038975499,0.0202669991800251,3.671650344981949e-05,0.0221425324277209,0.15075773529134942,-1.6547727106257795,-0.8331929885184652,6.808062076161795,0.8330241449193115,mild overload,1,0
R3,19,2.7292152514365533,0.0328505750655519,0.0896562904873655,0.1333226106085956,0.672471215549163,1.4870247570930477,0.7909204253615802,0.0015868862120554,0.08966629048736549,0.1333326106085956,-1.0473707967202739,-0.17231984232522984,1.4868755011938577,0.1722775266159382,mild overload,1,0
R3,20,2.014142638259252,0.0099076350253981,0.019955390148965,0.1618360482533133,0.1233054505401642,8.109485084490887,0.0336551620938231,6.097836905093559e-05,0.019965390148965,0.1618460482533133,-1.699722198723484,-0.9089825060161459,8.105829490224254,0.9087979997017427,mild overload,1,0
R3,21,2.5636100362461836,0.0293482140780643,0.0752373761564271,0.1139461404058109,0.6602831443463788,1.514468363444035,0.5753195266261643,0.0011006528938766,0.0752473761564271,0.1139561404058109,-1.12350863913149,-0.18026321187130906,1.5142872246991754,0.18021112640432121,mild overload,1,0
R3,22,2.0002536165868263,0.0117841615573034,0.0235713117734395,0.1392014866317823,0.1693311114175013,5.905296348092151,0.1270231055612075,0.0002307236509462,0.0235813117734395,0.13921148663178232,-1.62743203977865,-0.7712375941988043,5.903042543569186,0.7710766489302576,mild overload,1,0
R3,23,2.5772232906009367,0.0308828433710453,0.0795919832158386,0.118528266051602,0.6714964655327245,1.4891798405165864,0.5546312689600443,0.0010570329123165,0.0796019832158386,0.11853826605160199,-1.0990761120491932,-0.17294980141422828,1.4890114701064148,0.17290095986199341,mild overload,1,0
R3,24,2.057283039523385,0.009159879845109,0.0188444654494148,0.1695534290787451,0.1111410981818883,8.997041199850539,0.2030438858409147,0.0003703497522132,0.0188544654494148,0.1695634290787451,-1.7245857759425478,-0.9540862420789975,8.992746547688926,0.9538928363327907,mild overload,1,0
R3,25,2.6674977929323735,0.0320476891972667,0.0854871402022915,0.1320307199884614,0.647474260047226,1.5444331772341235,0.7081243134644788,0.001392704672408,0.0854971402022915,0.1320407199884614,-1.0680484117646425,-0.18877078455593266,1.5442705998828565,0.18872621562968056,mild overload,1,0
R3,26,2.063587150142577,0.0099133100914973,0.0204569793201925,0.1453470510336142,0.1407447789957743,7.104663112556423,0.1500631171854025,0.000272863127425,0.0204669793201925,0.1453570510336142,-1.6889462492463825,-0.851536850783833,7.101538959890205,0.851353085530894,mild overload,1,0
R3,27,2.607310485334851,0.0324028959070129,0.0844844102535684,0.094652244905124,0.8925675008633003,1.1203383474263964,0.6113927025871067,0.0011778491274561,0.0844944102535684,0.094662244905124,-1.073172020947678,-0.04935406458720668,1.1202190135545282,0.04930681655933971,mild overload,1,0
R3,28,2.072886440888353,0.0122517923170551,0.0253965741706036,0.114916545898395,0.2209982294005663,4.524705593001279,0.1149754113540093,0.0002087389691513,0.0254065741706036,0.114926545898395,-1.5950538913883257,-0.6555915547460451,4.523102765714787,0.6554374152756988,mild overload,1,0
R3,29,2.5244789050630665,0.0328346330262899,0.0828903384303559,0.1047388126177568,0.7913928463177652,1.2635676368738669,0.6011254860811499,0.0011557257476201,0.0829003384303559,0.1047488126177568,-1.0814436964927172,-0.10160239210653868,1.263430458800205,0.10155478007167379,mild overload,1,0
R6,1,13.561181450764172,0.0146854734522283,0.1991523701760481,0.003918263046121,50.81372896701884,0.0196746007494494,3.4060143311830156,0.0360013924399387,0.1991623701760481,0.003928263046121,-0.7007927139478245,1.7059811522612363,0.019673711668813144,-1.7058930052291241,severe overload,1,1
R6,2,9.3199247485598,0.0188884712984171,0.1760391311165789,0.0598632783169699,2.940637322719992,0.3400547246657451,2.9326458864503113,0.0223863189467425,0.1760491311165789,0.059873278316969904,-0.754366114031493,0.4684429418885852,0.34003734035658895,-0.4684606175917298,severe overload,1,1
