run,tag,regime_id,cycle,force_p99_cold,force_p99_hot,force_p99_delta,loop_edge_fraction_cold,loop_edge_fraction_hot,loop_edge_fraction_delta,loop_force_share_cold,loop_force_share_hot,loop_force_share_delta,loop_boundary_force_share_cold,loop_boundary_force_share_hot,loop_boundary_force_share_delta,loop_bottom_force_share_cold,loop_bottom_force_share_hot,loop_bottom_force_share_delta,loop_side_force_share_cold,loop_side_force_share_hot,loop_side_force_share_delta,loop_conduit_force_share_cold,loop_conduit_force_share_hot,loop_conduit_force_share_delta,loop_force_weighted_z_cold,loop_force_weighted_z_hot,loop_force_weighted_z_delta,loop_force_weighted_r_cold,loop_force_weighted_r_hot,loop_force_weighted_r_delta,loop_z_entropy_cold,loop_z_entropy_hot,loop_z_entropy_delta,loop_r_entropy_cold,loop_r_entropy_hot,loop_r_entropy_delta,top5_force_share_cold,top5_force_share_hot,top5_force_share_delta,overload_asinh,loop_activation,force_p99_hot_minus_cold,dataset
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,29,0.0013494450934543978,0.0038581979605578362,0.0025087528671034385,0.5217661691542289,0.6247518972562756,0.10298572810204665,0.5028027182494214,0.5447634906442353,0.041960772394813994,0.2669409886527989,0.30032158297836703,0.033380594325568114,0.21614891325408586,0.23337949676632624,0.017230583512240383,0.15821355174671672,0.1383828252732832,-0.019830726473433535,0.10331681819554996,0.2542696595444146,0.15095284134886466,0.21920547355502984,0.2806078503887497,0.06140237683371985,0.7278996224897923,0.6905569580866938,-0.037342664403098524,0.7394028693534994,0.8286315888878157,0.08922871953431633,0.8415745670888403,0.8919684278845842,0.05039386079574393,0.1814589182788907,0.3171967466993198,0.13573782842042909,0.7607259091415697,0.04196077239481,0.0025087528671034,new-route extension
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,30,0.0011660496321361613,0.002388285198515463,0.0012222355663793019,0.49600376116596145,0.5270305907172996,0.031026829551338175,0.48871763581637245,0.5192794010422337,0.030561765225861237,0.31719987003575506,0.37904751019282273,0.061847640157067674,0.25814801118612807,0.32999768142443864,0.07184967023831057,0.10554433049758633,0.12627122446066505,0.020726893963078724,0.0332907081433631,0.201591114229916,0.1683004060865529,0.3032349392592155,0.20273718574864463,-0.10049775351057089,0.6725333207972727,0.6685885161194922,-0.003944804677780467,0.6710739802041641,0.6534420840830837,-0.017631896121080404,0.9083266124534691,0.9136201031557722,0.005293490702303116,0.1985568442097437,0.3613966572099994,0.1628398130002557,0.3969082289889156,0.0305617652258616,0.0012222355663793,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,1,0.0013333964885705188,0.0018540262353010227,0.0005206297467305039,0.632183908045977,0.4983271375464684,-0.13385677049950861,0.5638954617294941,0.48843297601584545,-0.07546248571364866,0.2702541660686451,0.25884564903203305,-0.011408517036612054,0.18709555132338282,0.06432575592045704,-0.12276979540292578,0.16304375207995,0.1312100372317357,-0.03183371484821432,0.29671315766261736,0.008281097370656866,-0.2884320602919605,0.2336363831915874,0.6309105710601174,0.39727418786852997,0.7298489141677267,0.7085515003648025,-0.02129741380292416,0.7677580834926951,0.9036409457195991,0.13588286222690393,0.8344195757594121,0.8670498335024197,0.03263025774300765,0.1661887347286965,0.3155738423225019,0.1493851075938054,0.17268373959511282,-0.07546248571365,0.0005206297467305,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,2,0.0012654695682001687,0.0014798621043462133,0.00021439253614604454,0.659033822069046,0.6504551751434792,-0.008578646925566868,0.5885008760570768,0.579627331247296,-0.008873544809780753,0.2447150769942952,0.30748373690826203,0.06276865991396682,0.17360828424970723,0.23415833179730444,0.06055004754759721,0.1446042145433431,0.14253893081305147,-0.002065283730291634,0.3324796460893927,0.36697529924460276,0.03449565315521008,0.23635819746139478,0.23782359832411656,0.0014654008627217885,0.6728835754578306,0.683749863100849,0.010866287643018335,0.7514374175436197,0.7979741145541187,0.046536697010499006,0.9102342884196614,0.8977174155784755,-0.012516872841185855,0.15363868296350897,0.2536566252283122,0.10001794226480326,0.07140348862922512,-0.0088735448097785,0.000214392536146,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,3,0.0011265148928234904,0.0014847582802266497,0.0003582433874031593,0.6630566350258011,0.6557066376083763,-0.007349997417424814,0.5868626652315854,0.5887685325957229,0.001905867364137559,0.24698718946076723,0.3323245197285041,0.08533733026773685,0.18642943868592074,0.2598289940595056,0.07339955537358486,0.1438581381304434,0.15898288009413455,0.015124741963691152,0.3305437392966999,0.3915454786416839,0.061001739344983985,0.21584210935517845,0.20625030266935612,-0.009591806685822324,0.6904270339467842,0.7041904444666497,0.013763410519865515,0.7013273771839735,0.7367580471092483,0.03543066992527477,0.8882888800579721,0.8695205718123974,-0.01876830824557474,0.15480871071163743,0.2772651579871808,0.12245644727554339,0.11913246364147238,0.00190586736414,0.0003582433874031,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,4,0.0010847409356885352,0.0012761989695583686,0.0001914580338698334,0.6695241096753861,0.640766421425925,-0.028757688249461122,0.591002049325453,0.5800190191845979,-0.01098303014085511,0.2589585295737838,0.35047877267600075,0.09152024310221696,0.18786082916745508,0.28905168338037274,0.10119085421291765,0.15550583098258175,0.1507772265371251,-0.004728604445456641,0.34396455145000054,0.37828338248668525,0.034318831036684705,0.21308050131145984,0.1809329099848561,-0.03214759132660375,0.692463001955685,0.6991600393308384,0.00669703737515337,0.6893460032821968,0.6833162684419046,-0.0060297348402921225,0.8871427672761429,0.8756857632583955,-0.011457004017747408,0.15188528887050615,0.28503211083830265,0.1331468219677965,0.06377610210391792,-0.0109830301408568,0.0001914580338698,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,5,0.0010526288837030943,0.0014383770116522259,0.00038574812794913154,0.6639665181584987,0.64426246394726,-0.019704054211238775,0.58454432931871,0.5838263818785593,-0.0007179474401507457,0.2646833479253888,0.35337320848957293,0.08868986056418415,0.20164352687209156,0.2941275401725676,0.09248401330047604,0.1520169293264929,0.14962415239753188,-0.0023927769289610323,0.336010362449244,0.38683467585267983,0.05082431340343585,0.20339928017994433,0.17916133899623646,-0.024237941183707867,0.6964233740511139,0.696210311099713,-0.0002130629514008886,0.6758709963935325,0.6802367881384139,0.0043657917448813865,0.8826628019596463,0.8786822169570436,-0.003980585002602677,0.15467341520982636,0.2904803131728082,0.13580689796298184,0.1282309991832713,-0.0007179474401496,0.0003857481279491,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,6,0.0009879500962569835,0.001596092709164334,0.0006081426129073504,0.6610957004160888,0.6489015663313816,-0.012194134084707153,0.5840546160992,0.5894566345728347,0.005402018473634751,0.269885411330524,0.35566951076517567,0.08578409943465165,0.2022191592211753,0.29576149131017354,0.09354233208899823,0.15356211148133173,0.15340533063699538,-0.0001567808443363461,0.32617687138528967,0.4016541097210132,0.0754772383357235,0.19932149644484792,0.1787869142822133,-0.020534582162634624,0.6957333133297667,0.7015077697053814,0.005774456375614689,0.6654796069138748,0.6783248070968352,0.012845200182960426,0.885910070979815,0.8748108286691552,-0.01109924231065984,0.15104453864235706,0.2819415988434665,0.13089706020110942,0.20135090926150423,0.0054020184736303,0.0006081426129073,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,7,0.0010270320402168663,0.001591441094434906,0.0005644090542180397,0.6593178036605657,0.6516222062004325,-0.007695597460133152,0.5812484583197893,0.5892849560361061,0.00803649771631676,0.2637587313415899,0.3596248919324515,0.09586616059086162,0.2011884544822699,0.30109488974467497,0.09990643526240506,0.1565975972853893,0.1439059984983603,-0.012691598787028996,0.32871710747491856,0.38833043544207013,0.059613327967151575,0.20866809066487763,0.18370189473714152,-0.024966195927736107,0.69499425242694,0.6879611574168806,-0.0070330950100594425,0.6907495034570589,0.6896101522090087,-0.0011393512480502022,0.8860839000141716,0.8896903654930043,0.003606465478832699,0.15429597458008473,0.28812867485490906,0.13383270027482433,0.18704380868555726,0.0080364977163185,0.000564409054218,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,8,0.0009838853598286902,0.001607441639134459,0.0006235562793057688,0.6600123482197983,0.64759434442071,-0.012418003799088306,0.5812732696833975,0.5871130083510814,0.005839738667683836,0.27122002171606635,0.3713954753496226,0.10017545363355623,0.19751557936558004,0.31909759017558526,0.12158201081000522,0.16213636614383797,0.15180566795020245,-0.010330698193635524,0.31502825797229883,0.40289819730366444,0.08786993933136561,0.2043810602430544,0.16620564013904077,-0.038175420104013646,0.7025013818192616,0.6948874343371487,-0.007613947482112859,0.6780073948797147,0.6486552444446659,-0.029352150435048796,0.8778819037595793,0.8846701064247698,0.006788202665190535,0.15233492212715644,0.2956989767010348,0.14336405457387835,0.20638384077767408,0.0058397386676805,0.0006235562793057,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,9,0.0010508067787625157,0.0014264949686135376,0.00037568818985102195,0.6622926298613,0.6457734039868787,-0.01651922587442134,0.5816229253363054,0.5869824335632758,0.0053595082269704,0.27691860276593167,0.3635262012623068,0.08660759849637512,0.19780685000076167,0.3026715424956363,0.10486469249487465,0.16284417257231504,0.1507747225473063,-0.012069450025008727,0.3263292437636422,0.39133394388985276,0.06500470012621057,0.2007368195232084,0.17402807564896644,-0.026708743874241964,0.7017109785003872,0.6920307934269755,-0.009680185073411729,0.6665967395250049,0.6659323830999874,-0.0006643564250174983,0.8809521828009736,0.8873138233539309,0.006361640552957293,0.15473594325490472,0.28329185096239967,0.12855590770749495,0.1249043688942901,0.0053595082269697,0.000375688189851,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,10,0.0010226004993671863,0.001529658385588178,0.0005070578862209918,0.6627597955706984,0.6443098662629321,-0.018449929307766344,0.5825076164664187,0.5841879558095001,0.0016803393430814273,0.26792060562080955,0.3664852781660047,0.09856467254519513,0.20424105428267827,0.3094902535193021,0.10524919923662382,0.1460511043569572,0.1512018061434848,0.005150701786527601,0.32461335842088296,0.39547095767457524,0.07085759925369228,0.19865378924786126,0.17068248249387194,-0.027971306753989317,0.6785525521938115,0.6970123926462785,0.018459840452466958,0.6623144705066945,0.6624540786139912,0.00013960810729674034,0.9041617950632508,0.8828827061702105,-0.02127908889304031,0.1546101334445492,0.2991072872302114,0.1444971537856622,0.1682247243849378,0.0016803393430776,0.0005070578862209,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,11,0.001017210626275246,0.0013405791724213829,0.00032336854614613687,0.659479808350445,0.643368898510386,-0.016110909840058918,0.5804612048003731,0.584826678182235,0.004365473381861884,0.2731839732548633,0.3686958220257977,0.09551184877093438,0.1991933144540649,0.308103881797164,0.10891056734309912,0.16007206853897024,0.1634888997610049,0.0034168312220346497,0.3240157045572321,0.38945650447247265,0.06544079991524054,0.19927049378333206,0.16910970927410446,-0.0301607845092276,0.6918441264112647,0.7068755193752849,0.01503139296402023,0.6644916722330565,0.6567590519473572,-0.007732620285699321,0.8906106137140687,0.8716176048835861,-0.018993008830482605,0.15314986368006578,0.2873479612122975,0.13419809753223172,0.10758187234867442,0.0043654733818648,0.0003233685461461,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,12,0.0010101920473114814,0.001473620480197379,0.0004634284328858976,0.6610192191789995,0.6486259391063661,-0.012393280072633406,0.5825088811512602,0.5894923734232704,0.006983492272010228,0.272818874475839,0.3576220106980504,0.08480313622221136,0.1959442220242586,0.2922747375949674,0.09633051557070882,0.15904854237607927,0.15337150178769887,-0.005677040588380394,0.329124177749936,0.3929309717535951,0.06380679400365907,0.2025610084058415,0.17858311864508106,-0.02397788976076043,0.6944714484888258,0.7027040603757247,0.008232611886898944,0.6703159802427768,0.6794436172569982,0.009127637014221368,0.8898420216399837,0.8747150997500717,-0.015126921889912048,0.1542322344507159,0.27939262080705146,0.12516038635633556,0.1538682751535038,0.0069834922720086,0.0004634284328858,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,13,0.001035677594585009,0.0014458032887347423,0.00041012569414973325,0.6632152222147516,0.6465830974524869,-0.01663212476226472,0.584285279948802,0.5864119430829975,0.0021266631341955167,0.28101473819137357,0.3670914763474071,0.0860767381560335,0.20308989797580293,0.3041760590945494,0.10108616111874649,0.16636331359941167,0.15741895024256228,-0.008944363356849394,0.340046448361766,0.3854667575870776,0.045420309225311595,0.2004141116169134,0.17157222288098073,-0.028841888735932658,0.691016511567675,0.6995148400765265,0.008498328508851571,0.6689989546797701,0.6634236326448707,-0.00557532203489941,0.8931371656363136,0.8791282161958134,-0.01400894944050024,0.15292522428736174,0.2924078228222299,0.13948259853486814,0.13628627699660098,0.0021266631341991,0.0004101256941497,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,14,0.0010044116200056351,0.0015915074474010657,0.0005870958273954305,0.6618734314589975,0.6534517139872756,-0.008421717471721824,0.5864525731474601,0.5925557288747535,0.006103155727293363,0.27747487660627723,0.35316579021699945,0.07569091361072222,0.20339503921891444,0.2914730922412218,0.08807805302230737,0.1598907384759286,0.161098528234149,0.00120778975822039,0.3320382625561844,0.3934886797494195,0.061450417193235074,0.20044961252047638,0.17936211182920705,-0.02108750069126933,0.6973622680997469,0.6970288385275224,-0.0003334295722244862,0.6674344858058314,0.6806459099643042,0.013211424158472762,0.8843635545036905,0.8856554878675432,0.001291933363852693,0.1513169565617852,0.28169945552264036,0.13038249896085516,0.19447051618290517,0.0061031557272904,0.0005870958273954,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,15,0.0010399382124187877,0.001488940255836974,0.00044900204341818636,0.6626190795652758,0.6520460671404068,-0.010573012424868966,0.5851870223348953,0.5922075942310709,0.007020571896175665,0.2823194312281906,0.35750351367125666,0.07518408244306607,0.20491194654839118,0.2949073270799578,0.08999538053156664,0.15876533893634842,0.15587328420158997,-0.0028920547347584535,0.3277920324634123,0.3907615060482792,0.06296947358486688,0.19778596330945664,0.17247584871005248,-0.02531011459940416,0.6891387596974439,0.6940976839848422,0.004958924287398303,0.6645001281104519,0.6652551965351647,0.0007550684247128459,0.896329034130623,0.8874372738248764,-0.008891760305746677,0.1534086284657731,0.27787155563886845,0.12446292717309534,0.14911414031613965,0.0070205718961772,0.0004490020434181,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,16,0.0010193207683114182,0.0015807165585725786,0.0005613957902611605,0.6632931619948066,0.6512274879203475,-0.012065674074459132,0.5846253155634429,0.5905770602519859,0.0059517446885429814,0.27591715157512725,0.36459412601062097,0.08867697443549372,0.20254162366448863,0.2970595024393922,0.09451787877490359,0.15653323990545737,0.1616622891858212,0.00512904928036384,0.33232637881306193,0.39930229768458075,0.06697591887151882,0.1995459553737089,0.17464435381322876,-0.02490160156048013,0.6868491131581582,0.7117800977455118,0.024930984587353544,0.665650768561751,0.6701668332077619,0.004516064646010953,0.8973132273855651,0.8649427574460556,-0.03237046993950943,0.15203209878104892,0.2891221838765312,0.1370900850954823,0.18605661493750256,0.0059517446885439,0.0005613957902611,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,17,0.0010143982252836844,0.0015530625895926063,0.0005386643643089219,0.660849721457816,0.6514888696154958,-0.009360851842320161,0.5822904918082669,0.5894270036152139,0.007136511806947077,0.28561767723481785,0.3636417355592013,0.07802405832438347,0.20023882053628345,0.29687591192329227,0.09663709138700882,0.17151348806640923,0.16101081543843737,-0.01050267262797186,0.3291071306576466,0.3880252189000835,0.05891808824243694,0.20697210564145666,0.17506784122979108,-0.03190426441166558,0.6937372924034387,0.6970915551468144,0.003354262743375691,0.6859197134251014,0.670667914583732,-0.015251798841369402,0.889663715027827,0.8832153892316982,-0.006448325796128862,0.15472877318628697,0.2915903393811958,0.1368615661949088,0.17860371721570129,0.0071365118069536,0.0005386643643089,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,18,0.0010958832558738624,0.001486682033518067,0.0003907987776442046,0.6598686011497399,0.6531945194715907,-0.006674081678149202,0.5815288850447246,0.5885118110546728,0.006982926009948209,0.2837023148845842,0.36238032820693705,0.07867801332235286,0.20409973265640907,0.2950467738473905,0.0909470411909814,0.16646074081547524,0.1553006273766375,-0.011160113438837743,0.32424504245704683,0.39742971016139,0.07318466770434318,0.1982368112628156,0.17486234824301847,-0.02337446301979712,0.69505803544088,0.7008767712734004,0.005818735832520461,0.6617645815098315,0.6728521868156941,0.011087605305862613,0.8888948401462662,0.8782576658103936,-0.010637174335872635,0.16034898566841502,0.2848987424235029,0.12454975675508786,0.12990062328566276,0.0069829260099456,0.0003907987776442,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,19,0.0009806266821138078,0.0016313420443921681,0.0006507153622783604,0.6604830241512075,0.6502283548731902,-0.010254669278017325,0.5827513658271287,0.5904462356442369,0.0076948698171082075,0.2808820524054211,0.37367710586505415,0.09279505345963307,0.21222976251893746,0.30386093693547234,0.09163117441653487,0.15520753936152248,0.1606938818765921,0.005486342515069603,0.32794087156971236,0.3951874479048568,0.06724657633514447,0.1908219174535504,0.17498995164023962,-0.015831965813310783,0.6826331659567935,0.6988830345820516,0.016249868625258124,0.6479289276939608,0.6719943882807987,0.024065460586837895,0.9011365727336397,0.8822462252815741,-0.018890347452065526,0.15551975427169015,0.29040476850574987,0.1348850142340597,0.21523933322731792,0.0076948698171092,0.0006507153622783,new-route extension
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,20,0.001018526735526148,0.0017543473384048437,0.0007358206028786956,0.6639541088580576,0.6628355971471404,-0.0011185117109172582,0.5870184931071224,0.5967872215394983,0.009768728432375862,0.2885568803081001,0.3683928486862444,0.07983596837814427,0.20139454838071558,0.29820708014162084,0.09681253176090526,0.17166055329149718,0.1683724908029513,-0.0032880624885458787,0.33777402077481744,0.4103732186336688,0.07259919785885138,0.199267495312233,0.1761606239818859,-0.023106871330347112,0.695299390020445,0.7084859584198171,0.013186568399372045,0.6638844789165987,0.6753689612936548,0.011484482377056016,0.8882271859696401,0.8708974856361502,-0.017329700333489906,0.1522028345657076,0.28731935268938913,0.13511651812368153,0.24287857985486258,0.0097687284323789,0.0007358206028786,new-route extension
