path,group,bytes,sha256,suggested_package
runs/regime_matrix_10k/a150_mu060_g000/cycle_2_hot.dump,atom_dump,1912730,0533c90fd6119589f268c1b3bfd6b6ee5f7e0fff2648bb817c876a2a8ae7006b,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/regime_matrix_10k/a150_mu060_g000/cycle_3_hot.dump,atom_dump,1912985,60adee34fd049b565e7ac0df46c36e97345b78477e9dcadb2dac3b34bcef743b,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/regime_matrix_10k/a150_mu060_g002/cycle_1_hot.dump,atom_dump,1912823,10295f17354fe29deaae1351ef3a911d6d06a6d6becee0711563e206c2cb5ad8,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_1_hot.dump,atom_dump,1911394,f39c03c4e93ac156057ccdafb0f0faa4c781ab3d9f01089ff0176a54fff2e6fd,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/regime_matrix_10k/a150_mu030_g002/cycle_1_hot.dump,atom_dump,1911540,04d30cb62880a81bdff344744131ade5f42023486d39830b70ac01d9f71f1fca,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/regime_matrix_10k/a150_mu060_g002/cycle_3_hot.dump,atom_dump,1911991,9c7650eb2a58e3e08ed8208e138e6663df15c7da6eee42c75cb2e0c73941bb23,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/confined_structural_10k_prod/cycle_14_cold.dump,atom_dump,1909995,5ef22fc933becf4719d92d63ffc1575407356601f3d4d5a629aced362b2fc1ee,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_1_cold.dump,atom_dump,1910929,590c7aa1e4ef55e6cc0d11d8eb917fd4d310b68c664b0e05805a7b5558607858,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_15_cold.dump,atom_dump,1909985,e71fd6d77dd5e18a40858952c2ff8959085fcb99b65ce6ef269ca3bde24ac536,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_16_cold.dump,atom_dump,1910105,6f374d7741c9a84714ce4ee07a3f08eb0f35273969c5520ee1707290abcd5fab,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_17_cold.dump,atom_dump,1910227,6f2946325e1e29e70b0971714b4b91e92ccd99f10a430e5c74e991dd6921524e,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_18_cold.dump,atom_dump,1910334,6fdf028a33be1111c413690d2d56f1192109d683d58dadc9e440d150d6e5a58e,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_20_cold.dump,atom_dump,1910144,26395374a164388d45c0f8671a0961c55a8419ed94e1a651f314d8832b33e213,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/regime_matrix_10k/a150_mu060_g000/cycle_4_hot.dump,atom_dump,1910650,8404c1a73011ababf088c5c9320863f5aed681ecf394a8820ff978a71585084e,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/confined_structural_10k_prod/cycle_15_cold.dump,atom_dump,1909053,b9ccc2c28aaf2fecf36de0f75015410877aa15562350e00952a1e3379a4e56f3,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_17_cold.dump,atom_dump,1909693,e0c671295c9b63fe601e81ede77f872bf483b99e7c453d4a7d6908e72119c37f,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_20_cold.dump,atom_dump,1909422,57923232188494343f9854df24765b2bb03817ee0851fa413bf73b049e65a69f,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_7_cold.dump,atom_dump,1909924,f5b88da7145524b175390f097cd695d6820ae6beb7cedc6227000852d699293e,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_8_cold.dump,atom_dump,1909547,8bf668225a5563f958aa6a1f738af6ba628efd50cb3ecca9698e7ab3f2643c57,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_11_cold.dump,atom_dump,1909049,54ab1d718ec79e6645a4446134dcd56d852f79e62724dc9fb7b694d928ff1ba7,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_12_cold.dump,atom_dump,1909445,6eb3d78ae30a70449512b8763bff1273f8a04aa2de802438c31ceb1b260d6d67,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_13_cold.dump,atom_dump,1909438,7f919d6b7e7df029e44fcb84d5303301aa9ef6846c182ecde024eccdc55f5444,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_14_cold.dump,atom_dump,1909599,fdc2de3b7c2edb1ff5db89e9a34f947fc662ae905c8ad731c2ae910ec3a054c3,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_19_cold.dump,atom_dump,1909974,87739d5f4032916446e5261185e4ab34103c0c378319f00506884f38f66e81b6,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/regime_matrix_10k/a150_mu060_g002/cycle_2_hot.dump,atom_dump,1909139,908041341c7240ac134bb8e0f55c944a043e5ae93e597f68197eff59efbf236a,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/confined_structural_10k_prod/cycle_10_cold.dump,atom_dump,1908342,5a0013ef79609be4513caa9c2a700031e6c8570c350a6d632e1cc1a46ef9a327,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_12_cold.dump,atom_dump,1907893,96000bde89d3ea9f8e3491ef51177f89d966eaec2a32503474c7d3ee6bc5fdcc,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_13_cold.dump,atom_dump,1908383,351ae97a9e29c3a1c6d81a03e08481d4a35a427457086b418eebfdfc9f9e20c1,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_16_cold.dump,atom_dump,1908708,e7109b532bf5c1f1d49aea7f05cf4a0cf194d8e968f2da377d0081df3e4c527a,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_18_cold.dump,atom_dump,1908268,2b253cb5387a8f6a3f4869027d39994c9f357b7e80ccd5edf632f4c5592121ea,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_19_cold.dump,atom_dump,1908257,5132625aeb750a579e10ad0ad74e8d6e4fe0a5c3375fb8267c64aed6f06ff004,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_3_cold.dump,atom_dump,1908346,bd64c8f5ee3b009ea972e62346da9dd931f30c4a4170fca797957734d22b9105,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_4_cold.dump,atom_dump,1908297,8fe1813789dab527fb9136d64a440a01b63d8d128b4aa939ceb4ab48bb5e1c4e,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_5_cold.dump,atom_dump,1908468,d566fd8712d35fa445260caebf41c31d12bdc492f3abaed4de8d1fd980eccb37,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_6_cold.dump,atom_dump,1908654,534ccbda1937163678d8d1e08fc92a5a38f84a285cd488d14aabca642ea9b311,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_9_cold.dump,atom_dump,1908162,e172fc73a47e37c0378ed2fc0f029bfb19c20e7d0a6e981d0dba2f0241695da3,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/contact_force_probe/a150_mu060_g020/cycle_1_hot.dump,atom_dump,1908466,cc6622b366d32254a8004e0dee3f96d3285d790716cd6d87e64b7f1e83e15ff3,archive_required__atom_dump__contact_force_probe.tar.zst
runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_2_hot.dump,atom_dump,1908270,a550960fd29f87e2d348a366901f35e048fcf58d4660b0c67be52d27ec659a81,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_1_hot.dump,atom_dump,1908466,cc6622b366d32254a8004e0dee3f96d3285d790716cd6d87e64b7f1e83e15ff3,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/long_cycles_10k/a150_mu060_g020_c30/cycle_1_hot.dump,atom_dump,1908189,6170b9dc1f68b9519638f29e6f464a41ddc54c01576ea05dabc9366e20811c47,archive_required__atom_dump__long_cycles_10k.tar.zst
runs/regime_matrix_10k/a150_mu030_g002/cycle_2_hot.dump,atom_dump,1908119,8d7ff69a0a3c9af1552044c2abfc9a33314d8e62ebe58830afd1dea77c1b2f57,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/regime_matrix_10k/a150_mu060_g020/cycle_1_hot.dump,atom_dump,1908189,6170b9dc1f68b9519638f29e6f464a41ddc54c01576ea05dabc9366e20811c47,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/confined_structural_10k_prod/cycle_11_cold.dump,atom_dump,1907694,0ab98da12de8da977b89d4c47b2bbea82976ebbe0e7f5bb0540c0245e5748240,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_4_hot.dump,atom_dump,1907446,5df9b28f1763650dd61b52aa77d7e660a23b1abf617f594d5f09e3426b91e532,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/regime_matrix_10k/a150_mu030_g000/cycle_2_hot.dump,atom_dump,1907326,d3c05f3620255e9a3700e6997fc31e72adcb05a6d2024eca05b50ac17e45956f,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/long_cycle_force_probe/a150_mu030_g020_c30/cycle_1_hot.dump,atom_dump,1905982,7e119feef0c0fa3b5b5913ed950479c4f31a091c578d566116bd0cd66e108c45,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/regime_matrix_10k/a150_mu030_g020/cycle_1_hot.dump,atom_dump,1906145,62a0d8fd154a232cbed31dcc79ad0db065f975251f47555e485bf786706b3e40,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/contact_force_probe/a150_mu060_g020/cycle_2_hot.dump,atom_dump,1904830,4a5da80abe9d3b7507778b1fe1bf826d0e8a7ca28379252d4f1630f0fc1a7650,archive_required__atom_dump__contact_force_probe.tar.zst
runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_2_hot.dump,atom_dump,1904830,4a5da80abe9d3b7507778b1fe1bf826d0e8a7ca28379252d4f1630f0fc1a7650,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/long_cycles_10k/a150_mu060_g020_c30/cycle_2_hot.dump,atom_dump,1904263,25afeb7a9df6a67d8002734e8811433110292236ef592ecf913ad7e1c65d529a,archive_required__atom_dump__long_cycles_10k.tar.zst
runs/regime_matrix_10k/a150_mu060_g002/cycle_4_hot.dump,atom_dump,1904155,6bbbeaeef5d0234cb2069b05a5d0d36a24437e48bdfad70dee516a7ca44680a2,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/regime_matrix_10k/a150_mu060_g020/cycle_2_hot.dump,atom_dump,1904263,25afeb7a9df6a67d8002734e8811433110292236ef592ecf913ad7e1c65d529a,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/regime_matrix_10k/a150_mu060_g000/cycle_5_hot.dump,atom_dump,1902648,bfd38efa37e143204ca215d2a2de594e0e090363bb9db07375c3e01d8db4965e,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_5_hot.dump,atom_dump,1901842,f95d91b3a9b4297a447077e5b16b5c85da145562cbc1448a57e92352a1ed6242,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/free_quasistatic_10k_prod/cycle_2_cold.dump,atom_dump,1900736,c2592cfffd2c1bb5d4c4ed03aa4365acf372150e1848bed744e429903298c285,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_5_cold.dump,atom_dump,1900915,5ead39e73c76acdaa23e5d1b2ad11be3306125f0a8bb696a3f71e495974113f2,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_8_cold.dump,atom_dump,1901266,2cd5255ce0357f7cc6d3886da78a03c946ddde0a1ea27880165714e1f85fe520,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_9_cold.dump,atom_dump,1900779,a23ba937d4bda25b81cef6a780e1d6e7b5528cb9d36863a1e5a628199fa9c8e2,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/regime_matrix_10k/a150_mu030_g002/cycle_3_hot.dump,atom_dump,1900703,14b44af91be2b361fefc4769d9f966cd478af66971d3628a9ef1f3732aaa9ac0,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/confined_structural_10k_prod/cycle_2_cold.dump,atom_dump,1899701,2d120863a982af553d9431352addc0876e120fe35ee381697d71f43a68eb0adc,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_10_cold.dump,atom_dump,1900444,250baf3c7d4db8b498aec1539a01555ba3ed81c425e05059c5dc4e702ba76d23,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_3_cold.dump,atom_dump,1900506,25554e6d87a5e28ea41b9400ff98de43f9c4bfa1564d59fb23f0fa9a5394d737,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_4_cold.dump,atom_dump,1900402,d0f211bdaed75d9244d0580e6a5bff369ee102b509689f56291133c4cc1c2e99,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
